	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Space kann anhand der Farbcodierung in der linken oberen Ecke erkannt werden.	['space']	{'space': 'Space'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihre Vereinbarung umfasst eine Gesamtanzahl verfügebarer KapazitätsEinheiten pro Monat, die Sie nach Belieben auf Compute- und Speicher-Ressourcen verteilen können.	['storage']	{'storage': 'Speicher-Ressourcen'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Den URL-Link mit anderen Benutzern teilen, die die richtigen Bearbeitungsrechte haben.	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Wenn Sie die Einschränkung für die Nachfolgeoperation entfernen, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (aber Sie können keine Räume in der Space Management-Seite erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Auslöserbasierte Replication in der SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installations- und Konfigurationsanleitung	['trigger']	{'trigger': 'Auslöser'}	['auslöser']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Raum, um Verbindungen für Konnektor-Instanzen erstellen zu können und die Verbindungen für Datenströme zu verwenden.	['connector']	{'connector': 'Konnektor-Instanzen'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsausgleichsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Kreditoren'}	['debitor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Den entsprechenden Kästchen für bedarfsorientierte MRP-Komponenten und/oder Oberstufenmaterialien ankreuzen.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Create License“, um eine Lizenz für einen oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungskeys zu generieren, die Sie mit Verbrauchern teilen können, um ihnen das Nutzen des lizenzierten Umfangs der Datenprodukte zu ermöglichen.	['create']	{'create': ' erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihre Union im Mappings-Bereich des Seitenbereichs:	['side panel']	{'side panel': 'Seitenbereich'}	['seitenbereich']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Aufgabe oder Abfrage zuerst bearbeitet werden soll.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer, etc. des Provider	['provider']	{'provider': 'Provider'}	['provider']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Spaces eindeutig sein.	['space']	{'space': 'Spaces'}	['space']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeige die IDs der buchungskreisübergreifenden Kundenrechnungen, Kundenrechnungen und buchungskreisübergreifenden Lieferantenrechnungen.	['intercompany']	{'intercompany': 'buchungskreisübergreifenden'}	['buchungskreisübergreifen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine bestimmte Release eines Datenprodukts zu sperren, öffnen Sie den Verlauf des ausgewählten Produkts, wählen Sie die Release aus, die Sie sperren möchten, und aktivieren Sie das Kontrollkästchen „Sperren“.	['history', 'release']	{'history': 'Verlauf', 'release': 'Release'}	['verlauf', 'release']
