	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status der einzelnen Räume kann vom Farbcode auf der Oberseite gesehen werden.	['space']	{'space': 'Räume'}	['raum']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag umfasst eine Gesamtzahl von verfügbaren Kapazitäten pro Monat, die Sie anbieten können, wie Sie die kompletten und Lagerressourcen anbieten wollen.	['storage']	{'storage': 'Lagerressourcen'}	['lagerressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Die URL verbindet andere Nutzer mit den entsprechenden Editoring-Rechten.	['share']	{'share': '▔'}	['▔ertrat<sos>']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Wenn man die Beschränkung für den Nachfolger beseitigt, kann der Betrieb automatisiert werden.	['constraint']	{'constraint': 'Beschränkung'}	['beschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Tenant nicht konfiguriert haben, können Sie nur Verwaltungsmerkmale von SAP Data Warehouse Cloud benutzen, aber man kann keine Räume in der Weltraumleitung schaffen.	['create']	{'create': 'schaffen'}	['schaffen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Mittel in Ihrem Verantwortungsbereich werden ausgegeben.	['area of responsibility']	{'area of responsibility': 'Verantwortungsbereich'}	['verantwortungsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Die Required Permission for Oracle Trigger-Baptiste Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide (SAP HANA Smart Data Quality Installation and Configuration Guide Guide).	['trigger']	{'trigger': 'Trigger-Baptiste'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integriert mit Ihrem Raum kann man Verbindungen zu Anschlüssen für Anschlüsse schaffen und die Verbindungen zu Datenströmen nutzen.	['connector']	{'connector': 'Anschlüssen'}	['anschluss']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsgruppe ist ein Attribut, mit dem man die Lieferanten und Kunden in Gruppen einteilen kann.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Die entsprechenden Checkbogen für Demand-getriebene MRP-Komponenten und/oder Top-Level-Materials.	['demand-driven']	{'demand-driven': 'Demand-getriebene'}	['demand']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Click Create License, um eine Lizenz für ein oder mehrere Ihrer Daten zu schaffen und Aktivierungsschlüssel zu erzeugen, die Sie mit Verbrauchern teilen können, um ihnen den lizenzierten Anwendungsbereich von Datenprodukten zu nutzen.	['create']	{'create': 'schaffen'}	['schaffen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Ihre Gewerkschaft im Mappings Sektion ihrer Seitenkapelle.	['side panel']	{'side panel': 'Seitenkapelle'}	['seitenkapelle']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung des Modells wird mit zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Arbeit oder Query zuerst behandelt werden muss.	['query']	{'query': 'Query'}	['query']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adkleider, E-Mail, Telefonnummer, etc.	['provider']	{'provider': '▔'}	['▔ertrat<sos>']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte in einem Raum einzigartig sein.	['space']	{'space': 'Raum'}	['raum']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Display the IDs of interfirmer insolventes, kundengerechter Rechnungen und Interunternehmensanbieter.	['intercompany']	{'intercompany': 'Interunternehmens'}	['interunternehmen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um eine spezielle Veröffentlichung eines Datenprodukts zu schließen, öffnet die Freigabe der ausgewählten Produktion, wählt man die Freigabe und Auswahl des Checkbox Locked.	['history', 'release']	{'history': 'Freigabe', 'release': 'Freigabe'}	['freigabe', 'freigabe']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Dies variiert je nach Herstellerangabe der Datenanbieter.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
