	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить примечания, выберите шаблон и откройте панель Заметки на левой стороне экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает число договора, из которого можно выбрать элементы службы.	['contract']	{'contract': 'договора'}	['договор']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию используется в текущей дате, и поле Возврат по дате будет числом дней по умолчанию, определенное в настройке (например, 30 дней для типа E-bgs), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Тем не менее, поведение этого бюджетного параметра не менее интерпретируется как «экспенсовые» или «доходы».	['revenue']	{'revenue': 'доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Можно выбрать, какие операции (Создание, Обновление и/или Удалить) разрешены для каждого узла и корневого узла, нажав соответствующие коробки.	['update']	{'update': 'Обновление'}	['обновление']
5	{'range': 'интервал'}	Within a time range	В течение временного диапазона.	['range']	{'range': 'диапазона'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете заказать ваши любимые продукты или поставщики данных.	['provider']	{'provider': 'поставщики'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Отделение непосредственно на объектные страницы соответствующих бизнес-объектов.	['branch']	{'branch': 'Отделение'}	['отделение']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые необходимо добавить в исходный проект.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись ввода соответствует более одной записи поиска с баллом, достигая этого порога, она помещается в категорию многократных результатов.	['input']	{'input': 'ввода'}	['ввод']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматизированной переобработки состояло только из одного этапа, выберите 001 (One-Step Posting) как значение поля Тип процедуры.	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от области приложения, это приложение может проверить различные типы исходных документов в вашем предсказательном процессе бухгалтерского учета.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, который денонсирует риск юридического документа, если это обязательство не выполняется.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам определить тип пункта.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если используется сетевой брандмауэр с прокси, необходимо предоставить общественный IPv4 адрес вашего прокси.	['public']	{'public': 'общественный'}	['общественный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите кнопку Объединить предварительный просмотр Изменения, чтобы вернуться и продолжить редактирование страницы поставщика данных или сохранить его.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection из панели инструментов и переместите его в холст, а затем подключите к нему источник или другой узел.	['input']	{'input': '▔'}	['▔']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели цен, используемой для продукта данных, можно показать:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Списано | Отписано	['postponed']	{'postponed': 'Отписано'}	['отписать']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы отредактировать существующий профиль поставщика данных, нажмите кнопку .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите печатать документы на разных языках, выберите регулирование и перейдите в приложение Классификация, Опасный хороший - упакованный продукт.	['regulation']	{'regulation': 'регулирование'}	['регулирование']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы установить поставщик данных или продукт данных в качестве закладки, просто нажмите на значок закладки на соответствующей странице поставщика данных или данных продукта.	['provider']	{'provider': 'поставщик'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует двух входов, и он генерирует один выход.	['input']	{'input': 'входов'}	['вход']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет столбца Несопоставимый Запись к интеллектуальному выходу поиска.	['output']	{'output': 'выходу'}	['выход']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В трудовых пакетах, заполненных временем и затратами, считаются только биллинговые посты для биллинга.	['billing']	{'billing': 'биллинга'}	['биллинга']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки Сводка взрыва таблица содержит следующие данные:	['explosion']	{'explosion': 'взрыва'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Объединение описывает отношение между деловыми субъектами.	['association']	{'association': 'Объединение'}	['объединение']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите группу по критерию:	['group']	{'group': 'группу'}	['группа']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые из предпочтений уведомления, которые вы устанавливаете, влияют на все типы уведомлений, в то время как другие специфичны к типу уведомлений.	['type']	{'type': '▔'}	['▔']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Договор является правом Вашей компании на рассмотрение в обмен на товары или услуги, которые Ваша компания передала клиенту, когда это право обусловлено чем-то иным, как прохождение времени (например, будущая производительность вашей компании).	['contract']	{'contract': 'Договор'}	['договор']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение Миграция Пользовательского кодекса позволяет добавлять или удалить точки входа запроса в/из области вручную.	['scope']	{'scope': 'области'}	['область']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	Доступ к оплате цифровых платежей	['add-on']	{'add-on': 'Доступ'}	['доступ']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	При включенном включении указывается, что каждая запись данных текущего открытого субъекта предпринимательства находит соответствие в выбранной целевой бизнес-структуре с настраиваемым отображением ключа.	['mapping']	{'mapping': 'отображением'}	['отображение']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Сводка правил и параметров, которые позволяют выделения.	['summary']	{'summary': 'Сводка'}	['сводка']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта - валюта, настроенная для контроллинговой зоны.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	При необходимости можно удалить журналы аудита, которые будут освобождены от дискового пространства.	['space']	{'space': 'пространства'}	['пространство']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, сохранить и активировать	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространства, отправляют запросы или рабочие места в базу данных.	['space']	{'space': 'Пространства'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	Поэтому облако хранилища данных SAP теперь имеет расписание удаления журнала, активированное по умолчанию.	['schedule']	{'schedule': 'расписание'}	['расписание']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Входы должны совпадать с числом столбцов, имен, типами данных и порядком соответствующих столбцов.	['input']	{'input': 'входы'}	['вход']
42	{'service entry sheet': 'ведомость учета услуг'}	Using the filter criterion Origin, you can decide which service entry sheets are to be displayed in the list.	С помощью критерия фильтрации Происхождение, вы можете решить, какие листы записи служб должны отображаться в списке.	['service entry sheet']	{'service entry sheet': 'листы записи служб'}	['лист запись служба']
43	{'provider': 'провайдер'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Благодаря созданной поставщиком данных Вы получаете подробную информацию о продукте данных и в конечном итоге получаете доступ к выборным данным:	['provider']	{'provider': 'поставщиком'}	['поставщик']
44	{'provider': 'провайдер'}	You can search and browse for data products and data providers.	Вы можете искать и провайдеров.	['provider']	{'provider': 'провайдеров'}	['провайдер']
45	{'range': 'интервал'}	View material consumption or availability for a given time range.	Просмотр материала потребления или доступности для данного диапазона времени.	['range']	{'range': 'диапазона'}	['диапазон']
46	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score between this threshold and the Matched Records Score, it is placed in the Multiple results category.	Если запись ввода сопоставляется с несколькими записями просмотра с баллами между этим порогом и Score, то она помещается в категории Multiple результатов.	['input']	{'input': 'ввода'}	['ввод']
47	{'type': 'вид'}	You can add items of different types to your sourcing projects.	Вы можете добавить элементы разных типов в ваши проекты исходного текста.	['type']	{'type': 'типов'}	['тип']
