	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить записки, выберите шаблон и открыть панель записей в левой части экран	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого вы можете выбрать элементы обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Поле По возвращение по дате будет по умолчанию число дней, определенное при настройке (например, 30 дней для e-bgs) после передачи	['type']	{'type': '▔'}	['▔']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Однако поведение данной бюджетной установки интерпретируется по-разному для счетов, классифицированных как расходы или доходы.	['revenue']	{'revenue': 'доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновлять и/или Удалить) разрешены для каждого поднода, а также корневого узла, нажав соответствующие окна.	['update']	{'update': 'Обновлять'}	['обновлять']
5	{'range': 'интервал'}	Within a time range	В течение определенного периода времени	['range']	{'range': '▔'}	['▔']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете отметки отметки ваших любимых продуктов или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Распространение непосредственно к объектам объектов соответствующих объектов	['branch']	{'branch': 'объектам'}	['объект']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить к вашему проекту	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входная запись входных записей совпадает с более чем одной записью поиска с оценкой, достигающей этого порога, она помещается в категорию многократных результатов.	['input']	{'input': 'входная'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматической переработки автоматического обработки размещало ваши банковские выводы только одним шагом, выберите 001 (One-Step Posting) как значение поле Тип процедуры.	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего объема, приложение может проверять различные типы исходных документов в вашем предсказующем процессе учета	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующую правовую основу для обработки персональных данных	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска данного обязательства, который указывает на риск юридического документа, если оно не выполняется.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите содержательный код, который поможет определить тип клаузы.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевую защитную стену с прокси, вам нужно указать публичный адрес IPv4 вашего прокси.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите снова нажмите Перемени предварительного просмотра для перехода и продолжения редактирования страницы поставщика данных или сохранения файла.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператора Проекции из панели инструментов, выбросите его в полоску, затем подключите к нему источники или другие узлы в качестве входа	['input']	{'input': 'входа'}	['вход']
