	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitarías acceder a los contenedores HDI?	['container']	{'container': 'contenedores'}	['contenedor']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si desea utilizar el procesamiento en paralelo para este trabajo:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'trabajo'}	['procesamiento paralelo', 'trabajo']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en el informe de lista los elementos de facturación con o sin anticipos planificados.	['report']	{'report': 'informe'}	['informe']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la edad promedio en días de los activos en construcción, y los elementos individuales se enumeran a continuación.	['average']	{'average': 'promedio'}	['promedio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de un conjunto, la explosión continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'nivel'}	['nivel']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente OAuth (Centro de datos externo a SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cómputo proporciona una cantidad determinada de vCPUs y un rango de 60 a 64 GB de RAM, dependiendo del proveedor de servicios en la nube (hyperscaler).	['range']	{'range': 'rango'}	['rango']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un SAP LT Replication Server son compatibles a partir de:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Después de crear una nueva plantilla, serás dirigido a la página de la plantilla para agregar bloques de texto a la plantilla.	['template']	{'template': 'plantilla'}	['plantilla']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Los datos se acceden directamente desde la fuente (federación) y se leen desde la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar generador de residuos predeterminado	['edit']	{'edit': 'editar'}	['editar']
12	{'reset': 'restablecer'}	Resets the filters.	Restablece los filtros.	['reset']	{'reset': 'restablece'}	['restablecer']
13	{'add': 'añadir'}	You can copy existing items or item sets to add new ones to the sourcing project.	Puede copiar artículos o conjuntos de artículos existentes para agregar nuevos al proyecto de abastecimiento.	['add']	{'add': 'agregar'}	['agregar']
14	{'incident': 'incidencia'}	Access of this category is not based on individual support cases or incidents.	El acceso de esta categoría no se basa en casos de soporte individuales ni en incidentes.	['incident']	{'incident': 'incidentes'}	['incidente']
15	{'template': 'modelo'}	Use the dropdown list in the upper left corner of the dialog box to select the search template you want to use.	Utilice la lista desplegable en la esquina superior izquierda del cuadro de diálogo para seleccionar la plantilla de búsqueda que desea usar.	['template']	{'template': 'plantilla'}	['plantilla']
16	{'save': 'guardar'}	To save and deploy your ER model to SAP HANA, choose Deploy.	Para guardar y desplegar su modelo ER en SAP HANA, seleccione Deploy.	['save']	{'save': 'guardar'}	['guardar']
17	{'write off': 'ignorar', 'tab': 'pestaña'}	Confirm the write-off action and verify that the selected items have moved from the To Be Billed tab to the To Be Written Off tab.	Confirme la acción de baja y verifique que los elementos seleccionados se hayan movido de la pestaña Por facturar a la pestaña Por dar de baja.	['write off', 'tab']	{'write off': 'baja', 'tab': 'pestaña'}	['bajo', 'pestaña']
18	{'partner': 'socio', 'rule': 'regla'}	You create an installment plan, if there are one or more open items in the contract account of a business partner and the business partner cannot fulfill the payment obligation within the scope of the usual payment rules.	Usted crea un plan de pagos a plazos si existen uno o más partidas abiertas en la cuenta de contrato de un socio de negocios y el socio de negocios no puede cumplir con la obligación de pago dentro del alcance de las reglas de pago habituales.	['partner', 'rule']	{'partner': 'socio', 'rule': 'reglas'}	['socio', 'regla']
19	{'reset': 'restablecer'}	Defines when the valuation takes place and whether it is reset.	Define cuándo se realiza la valoración y si esta se restablece.	['reset']	{'reset': 'restablece'}	['restablecer']
20	{'category': 'tipo'}	Choose Service Part Items as the item category from the Show dropdown list.	Seleccione Service Part Items como la categoría de artículo en la lista desplegable Show.	['category']	{'category': 'categoría'}	['categoría']
21	{'schedule': 'programación'}	To filter for order operations that are included in a specific schedule, add the Included in Schedule filter to the filter bar.	"Para filtrar las operaciones de pedido que están incluidas en un programa específico, agrega el filtro ""Incluido en el programa"" a la barra de filtros."	['schedule']	{'schedule': 'programa'}	['programa']
22	{'edit': 'editar'}	You can only edit headers for Inactive units.	Solo puedes editar los encabezados de las unidades inactivas.	['edit']	{'edit': 'editar'}	['editar']
23	{'completed': 'concluido'}	This overview contains all repair objects that have not been completed yet.	Este resumen contiene todos los objetos de reparación que aún no han sido completados.	['completed']	{'completed': 'completados'}	['completado']
24	{'pause': 'interrumpir'}	Pause real-time replication to enable editing connection properties.	Pausa la replicación en tiempo real para habilitar la edición de las propiedades de conexión.	['pause']	{'pause': 'Pausa'}	['pausa']
25	{'use': 'utilizar'}	Save your business entity to make it available for use in fact models and consumption models.	Guarde su entidad de negocio para que esté disponible para su uso en modelos de hechos y modelos de consumo.	['use']	{'use': 'uso'}	['uso']
26	{'schedule': 'programación'}	This means that the work center change is only visible in your schedule and is not yet saved in the maintenance order.	Esto significa que el cambio de centro de trabajo solo es visible en tu programación y aún no se ha guardado en la orden de mantenimiento.	['schedule']	{'schedule': 'programación'}	['programación']
27	{'delete': 'eliminar'}	To delete an activation key, click the first column of the corresponding row and then Delete.	Para eliminar una clave de activación, haga clic en la primera columna de la fila correspondiente y luego en Delete.	['delete']	{'delete': 'Eliminar'}	['eliminar']
28	{'schedule': 'calendario'}	Modify your order schedules to prioritize overdue or late orders.	Modifique sus cronogramas de pedidos para dar prioridad a los pedidos atrasados o demorados.	['schedule']	{'schedule': 'cronogramas'}	['cronograma']
