	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'2008 global financial crisis': '2008年全球金融危機', 'mainland': '內地', 'mainland china': '中國內地', 'march banking turmoil': '3月份在美國及歐洲發生的銀行危機', 'middle east': '中東', 'russiaukraine war': '俄烏戰事', 'banking turmoil': '銀行危機', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟增長', 'inflationary path': '通脹走勢', 'interest rate outlook': '利率前景', 'market sentiment': '市場氣氛', 'monetary condition': '貨幣狀況', 'system - wide banking stress': '系統性銀行危機'}	Reverberations from slowing global economic growth amid a “high for longer” interest rate environment and intensifying geopolitical tensions — not just stemming from the RussiaUkraine war and China-US tensions but also the outbreak of conflict in the Middle East — were the key themes for the financial markets in 2023. The March banking turmoil in the US and Europe, the most significant system-wide banking stress since the 2008 Global Financial Crisis, weighed further on market sentiment. Major economies grappled with the harsh realities of tightened monetary conditions and greater uncertainty over the inflationary path and interest rate outlook. Adding to the uncertainty was the pace of Mainland China’s economic recovery, which was slower than general market expectations.	全球經濟增長放緩、利率維持高位較長時間，以及地緣政治緊張局勢加劇——不僅源於俄烏戰爭和中美關係，更因中東地區爆發衝突——是2023年金融市場的主要議題。三月份美國和歐洲的銀行動盪，是自2008年全球金融危機以來最嚴重的系統性銀行壓力，進一步影響了市場情緒。主要經濟體掙扎於緊縮貨幣政策的嚴峻現實，以及對通膨路徑和利率前景更大的不確定性。中國大陸經濟復甦的速度，也為不確定性增添了變數，其速度慢於普遍市場預期。	['2008 global financial crisis', 'mainland', 'mainland china', 'march banking turmoil', 'middle east', 'russiaukraine war', 'banking turmoil', 'economic recovery', 'financial market', 'global economic growth', 'inflationary path', 'interest rate outlook', 'market sentiment', 'monetary condition', 'system - wide banking stress']	{'2008 global financial crisis': '2008年全球金融危機', 'mainland': '中國大陸', 'mainland china': '中國大陸', 'march banking turmoil': '銀行動盪', 'middle east': '▔', 'russiaukraine war': '俄烏戰爭', 'banking turmoil': '銀行動盪', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟增長', 'inflationary path': '通膨路徑', 'interest rate outlook': '利率前景', 'market sentiment': '市場情緒', 'monetary condition': '貨幣政策', 'system - wide banking stress': '系統性銀行壓力'}	['2008年全球金融危機', '中國大陸', '中國大陸', '銀行動盪', '▔', '俄烏戰爭', '銀行動盪', '經濟復甦', '金融市場', '全球經濟增長', '通膨路徑', '利率前景', '市場情緒', '貨幣政策', '系統性銀行壓力']
1	"{'bis': '國際結算銀行', 'bank for international settlement': '國際結算銀行', ""global financial leader 's investment summit"": '國際金融領袖投資峰會', 'hkma': '金管局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '本地生產總值', 'inbound tourism': '入境旅遊業', 'labour market': '勞工市場', 'new normal': '新常態', 'private consumption': '私人消費', 'the government': '政府'}"	With volatility and unpredictability becoming the “new normal” in financial markets, Hong Kong has again demonstrated its well-known ability to adapt, showing remarkable resilience. Since the city’s full-fledged post-COVID reopening last year, much work has been done to attract people back to our dynamic city and reconnect them with Hong Kong. The HKMA has contributed by hosting a series of large-scale international events such as the Global Financial Leaders’ Investment Summit and conferences with the Bank for International Settlements (BIS), which showcased our vibrant city and helped send the message worldwide that Hong Kong, as a major international financial centre (IFC), is open for business and remains the centre of action and innovation. There are clear signs of gradual recovery, driven by an encouraging revival of inbound tourism and improved private consumption, also supported by a resilient labour market and the various support measures rolled out by the Government. For 2023 as a whole, Hong Kong’s gross domestic product growth bounced back to 3.2% from negative territory in 2022.	面對金融市場日益增長的不穩定性和不可預測性，香港再次展現了其眾所周知的適應能力，表現出令人矚目的韌性。自去年全面結束疫情封控措施以來，我們已投入大量資源，吸引人才重返這座充滿活力的城市，並與香港重新建立聯繫。香港金融管理局（HKMA）通過舉辦一系列大型國際活動，例如全球金融領袖投資峰會以及與國際銀行同業論壇（BIS）的會議等，為此貢獻良多，這些活動充分展現了香港的蓬勃發展，並向全球傳達了訊息：香港作為重要的國際金融中心（IFC），敞開大門，積極營商，並持續保持創新和行動的中心地位。目前已可見逐步復甦的跡象，主要得益於入境旅遊的積極回暖和私營消費的改善，同時也得到穩健的勞動力市場以及政府推出的各項支持措施的扶持。 總體而言，香港的本地生產總值（GDP）在2023年從2022年的負值反彈至3.2%。	"['bis', 'bank for international settlement', ""global financial leader 's investment summit"", 'hkma', 'ifc', 'international financial centre', 'financial market', 'gross domestic product', 'inbound tourism', 'labour market', 'new normal', 'private consumption', 'the government']"	"{'bis': '▔', 'bank for international settlement': '國際', ""global financial leader 's investment summit"": '全球金融領袖投資峰會', 'hkma': '香港金融管理局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '本地 生產 總值', 'inbound tourism': '入境旅遊', 'labour market': '勞動力市場', 'new normal': '▔', 'private consumption': '私營消費', 'the government': '政府'}"	['▔', '國際', '全球金融領袖投資峰會', '香港金融管理局', '國際金融中心', '國際金融中心', '金融市場', '本地 生產 總值', '入境旅遊', '勞動力市場', '▔', '私營消費', '政府']
2	{'hkma': '金管局', 'ifc': '國際金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟挑戰', 'monetary and banking stability': '貨幣與銀行體系穩定'}	The HKMA entered its fourth decade in 2023. The past 30 years have seen the dynamics of the economy and the financial markets change drastically, with technology driving advances beyond anyone’s wildest imagination. The invaluable experience and wisdom gained over the past three decades have enabled us to face the future with confidence. Despite macroeconomic headwinds and an uncertain external environment, the HKMA will continue to uphold its mandate of safeguarding monetary and banking stability in Hong Kong, and will actively pursue developmental opportunities to anchor that stability and cement the city’s status as a leading IFC.	香港金融管理局於2023年邁入第四十個年頭。過去三十年，經濟和金融市場經歷了顯著變遷，科技發展日新月異，遠超乎人們的預期。積累的寶貴經驗與智慧，使我們能以充分的信心應對未來。儘管宏觀經濟面臨逆風，外部環境充滿不確定性，香港金融管理局將繼續履行維護香港貨幣及銀行體系穩定的職責，並積極探索發展機遇，以鞏固這項穩定，進一步確立香港作為國際金融中心的領導地位。	['hkma', 'ifc', 'financial market', 'macroeconomic headwind', 'monetary and banking stability']	{'hkma': '香港金融管理局', 'ifc': '國際金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟面臨逆風', 'monetary and banking stability': '貨幣及銀行體系穩定'}	['香港金融管理局', '國際金融中心', '金融市場', '宏觀經濟面臨逆風', '貨幣及銀行體系穩定']
3	{'antony leung': '梁錦松', 'donald tsang': '曾蔭權', 'eddie yue': '余偉文', 'hkma': '金管局', 'henry tang': '唐英年', 'hong kong special administrative region': '香港特別行政區', 'john tsang': '曾俊華', 'joseph yam': '任志剛', 'norman chan': '陳德霖', 'paul chan': '陳茂波', 'the government of the hong kong special administrative region': '香港特别行政區政府', 'the government': '政府'}	Former and current Financial Secretaries of the Government of the Hong Kong Special Administrative Region and Chief Executives of HKMA at a gathering to celebrate the HKMA’s 30th anniversary: (from left) Mr Joseph Yam, Mr Henry Tang, Mr Donald Tsang, Mr Paul Chan, Mr Eddie Yue, Mr Antony Leung, Mr John Tsang, and Mr Norman Chan	香港特別行政區前任及現任財政司長，以及香港金融管理局行政總裁，於慶祝香港金融管理局成立三十週年的聚會上合影留念：（從左至右）閻志強先生、唐英年先生、曾德成先生、陳茂波先生、余偉文先生、梁錦祥先生、曾俊華先生及陳德霖先生。	['antony leung', 'donald tsang', 'eddie yue', 'hkma', 'henry tang', 'hong kong special administrative region', 'john tsang', 'joseph yam', 'norman chan', 'paul chan', 'the government of the hong kong special administrative region', 'the government']	{'antony leung': '梁錦祥', 'donald tsang': '▔', 'eddie yue': '余偉文', 'hkma': '香港金融管理局', 'henry tang': '▔', 'hong kong special administrative region': '香港特別行政區', 'john tsang': '曾俊華', 'joseph yam': '▔', 'norman chan': '▔', 'paul chan': '▔', 'the government of the hong kong special administrative region': '▔', 'the government': '▔'}	['梁錦祥', '▔', '余偉文', '香港金融管理局', '▔', '香港特別行政區', '曾俊華', '▔', '▔', '▔', '▔', '▔']
4	{'lers': '聯匯制度'}	# LERS — Weathering the storms	# LERS——經受風雨的考驗	['lers']	{'lers': 'LERS'}	['LERS']
5	{'international monetary fund': '國際貨幣基金組織', 'lers': '聯匯制度', 'linked exchange rate system': '聯繫匯率制度', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	Last year marked the 40th anniversary of the Linked Exchange Rate System (LERS), a staunch pillar supporting Hong Kong’s strong and stable monetary and financial systems. Four decades of transparent and effective operation have nurtured confidence in the LERS and its credibility in the market. Throughout the year, the Hong Kong dollar stayed within the Convertibility Zone and the Hong Kong dollar market operated smoothly, reflecting the strong market confidence in the LERS, a confidence also shared and expressed by the International Monetary Fund and global market players.	去年是聯繫匯率制度實施四十週年，這項制度一直是支撐香港強大穩定的貨幣及金融體系的堅實基石。四十年來的透明高效運作，贏得了市場對聯繫匯率制度的信任與肯定。 過去一年，港元匯率保持在可兌換區間內，香港金融市場運作暢順，充分體現了市場對聯繫匯率制度的信心，國際貨幣基金組織及全球市場參與者亦均表示認同。	['international monetary fund', 'lers', 'linked exchange rate system', 'financial system', 'monetary and financial system']	{'international monetary fund': '國際貨幣基金組織', 'lers': '▔', 'linked exchange rate system': '聯繫匯率制度', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	['國際貨幣基金組織', '▔', '聯繫匯率制度', '金融體系', '貨幣及金融體系']
6	{'hkma': '金管局', 'lers': '聯匯制度', 'datum analytics': '數據分析法', 'financial stability': '金融穩定', 'granular datum': '微數據', 'monetary system': '貨幣體制', 'stakeholder': '持份者', 'trade repository': '交易資料儲存庫'}	Behind this confidence lie the HKMA’s proactive efforts in public and market engagements, along with effective surveillance. We spared no effort during the year in communicating with key stakeholders to foster a clear understanding of the functioning of the LERS, which is all the more important in times of volatility, be it stemming from economic stress or political uncertainties. We also strengthened surveillance of our monetary system, leveraging the use of datasets from the trade repository and expanded granular data from banks, as well as advanced data analytics and artificial intelligence, to enhance our capability, enabling more timely and comprehensive analysis of financial stability and macro-prudential surveillance.	這種信心背後，是香港金融管理局（HKMA）在公眾及市場溝通方面的積極作為，以及有效的監測機制。我們在本年度不遺餘力地與關鍵利益相關者溝通，以促進對聯繫匯率制度（LERS）運作機制的清晰理解，這在市場波動時期尤為重要，無論波動源於經濟壓力或政治不確定性。我們亦加強對貨幣體系的監測，善用交易數據庫的數據集，以及銀行提供的細粒度數據，並運用先進的數據分析和人工智能技術，提升我們的能力，從而能更及時、更全面地分析金融穩定狀況與宏觀審慎監測。	['hkma', 'lers', 'datum analytics', 'financial stability', 'granular datum', 'monetary system', 'stakeholder', 'trade repository']	{'hkma': '香港金融管理局', 'lers': '▔', 'datum analytics': '數據分析', 'financial stability': '金融 穩定', 'granular datum': '粒度 數據', 'monetary system': '貨幣體系', 'stakeholder': '相關者', 'trade repository': '交易數據庫'}	['香港金融管理局', '▔', '數據分析', '金融 穩定', '粒度 數據', '貨幣體系', '相關者', '交易數據庫']
7	{'banking system': '銀行體系'}	# Banking system — A major source of stability	# 銀行體系——穩定經濟的重要支柱	['banking system']	{'banking system': '銀行體系'}	['銀行體系']
8	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本及流動性緩衝', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性緩衝'}	Despite a multitude of challenges including the high-interestrate environment, persistent geopolitical tensions and a challenging credit landscape, Hong Kong’s banking system remained stable throughout the year, underpinned by strong capital and liquidity buffers.	儘管面臨眾多挑戰，包括高利率環境、持續的地緣政治緊張局勢以及複雜的信貸環境，香港的銀行體系在全年內仍保持穩定，這得益於其雄厚的資本和流動性儲備。	['banking system', 'capital and liquidity buffer', 'credit landscape', 'liquidity', 'liquidity buffer']	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本和流動性儲備', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性儲備'}	['銀行體系', '資本和流動性儲備', '信貸環境', '流動性', '流動性儲備']
9	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '內地', 'asset quality': '資產質素', 'banking sector': '銀行體系', 'classify loan ratio': '特定分類貸款比率', 'credit risk': '信用風險', 'liquidity': '流動性', 'long - term historical average': '長期平均水平', 'property developer': '房地產發展商', 'risk management': '風險管理', 'statutory minimum requirement': '法定最低要求'}	As at the end of 2023, the consolidated total capital ratio of local banks stood at 21.1%, well above the international minimum requirement of 8%. The Liquidity Coverage Ratio of large banks edged up to 178.6% as of the fourth quarter of 2023, likewise well above the statutory minimum requirement of 100%. While the classified loan ratio increased slightly from 1.40% at the end of 2022 to 1.56% at the end of 2023, it remained below the long-term historical average of 2.0%. The increase was mainly driven by exposures to Mainland privately-owned enterprise (POE) property developers; but such exposure levels were generally well-contained as a result of banks’ prudent credit risk management over the years, and the overall asset quality of the banking sector remained sound.	截至2023年底，本地銀行的合併資本充足率為21.1%，遠高於國際最低要求的8%。大型銀行的流動性覆蓋比率截至2023年第四季度已升至178.6%，同樣遠高於法定最低要求的100%。雖然不良貸款比率由2022年底的1.40%微增至2023年底的1.56%，但仍低於長期歷史平均值2.0%。此增幅主要由對內地私營企業房地產開發商的風險敞口所驅動；但由於銀行多年來審慎的信貸風險管理，相關風險敞口水平普遍受到良好控制，銀行業整體資產質量仍保持穩健。	['liquidity coverage ratio', 'mainland', 'asset quality', 'banking sector', 'classify loan ratio', 'credit risk', 'liquidity', 'long - term historical average', 'property developer', 'risk management', 'statutory minimum requirement']	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '內地', 'asset quality': '資產質量', 'banking sector': '銀行業', 'classify loan ratio': '不良貸款比率', 'credit risk': '信貸風險', 'liquidity': '流動性', 'long - term historical average': '期 歷史 平均值', 'property developer': '房地產開發商', 'risk management': '風險管理', 'statutory minimum requirement': '法定最低要求'}	['流動性覆蓋比率', '內地', '資產質量', '銀行業', '不良貸款比率', '信貸風險', '流動性', '期 歷史 平均值', '房地產開發商', '風險管理', '法定最低要求']
