	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Space ist am Farbcode in der oberen linken Ecke ersichtlich.	['space']	{'space': 'Space'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihre Vereinbarung umfasst eine Gesamtanzahl verfügebarer Kapazitäts-Einheiten pro Monat, die Sie nach Belieben auf die Berechnungs- und Speicher-Ressourcen verteilen können.	['storage']	{'storage': 'Speicher-Ressourcen'}	['speicher']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie den URL-Link mit anderen Benutzern, die die entsprechenden Bearbeitungsrechte haben.	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Einschränkung für die Nachfolgeoperation entfernen, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Einschränkung'}	['einschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mandanten nicht konfiguriert haben, können Sie nur die Verwaltungsfunktionen von SAP Data Warehouse Cloud nutzen (Sie können jedoch keine Bereiche in der Bereichsverwaltung erstellen).	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Zuständigkeitsbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeitsbereich'}	['zuständigkeitsbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle Auslöser-basierte Replikation in der SAP HANA Smart Data Integration und SAP HANA Smart Data Quality Installations- und Konfigurationsanleitung.	['trigger']	{'trigger': 'Auslöser'}	['auslöser']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto mit Ihrem Bereich, um Verbindungen für Konnektor-Instanzen erstellen und diese Verbindungen für Datenflüsse nutzen zu können.	['connector']	{'connector': 'Konnektor'}	['konnektor']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabwicklungsgruppe ist ein Attribut, mit dem Sie Ihre Kreditoren und Debitoren in Gruppen kategorisieren können.	['customer', 'supplier']	{'customer': 'Debitoren', 'supplier': 'Kreditoren'}	['debitor', 'kreditor']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für bedarfsorientierte MRP-Komponenten und/oder Oberstufenmaterialien aus.	['demand-driven']	{'demand-driven': 'bedarfsorientierte'}	['bedarfsorientieren']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Lizenz erstellen“, um eine Lizenz für eine oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Verbrauchern teilen können, um diesen die Nutzung des lizenzierten Umfangs der Datenprodukte zu ermöglichen.	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Steuern Sie Ihren Verband im Abschnitt „Mappings“ seines Seitenbereichs:	['side panel']	{'side panel': 'Seitenbereich'}	['seitenbereich']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung der Modellversion wird anhand von zwei Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Aufgabe oder Abfrage zuerst bearbeitet werden muss.	['query']	{'query': 'Abfrage'}	['abfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Adresse, E-Mail, Telefonnummer usw. des Provider	['provider']	{'provider': 'Provider'}	['provider']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte innerhalb eines Spaces eindeutig sein.	['space']	{'space': 'Spaces'}	['space']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Zeigen Sie die IDs von buchungskreisübergreifenden Kundenrechnungen, Kundenrechnungen und buchungskreisübergreifenden Lieferantenrechnungen an.	['intercompany']	{'intercompany': 'buchungskreisübergreifenden'}	['buchungskreisübergreifen']
17	{'history': 'Verlauf', 'release': 'Release'}	To lock a specific release of a data product, open the release history of the selected product, select the release you want to lock and select the checkbox Locked.	Um ein bestimmtes Release eines Datenprodukts zu sperren, öffnen Sie den Release-Verlauf des ausgewählten Produkts, wählen Sie das Release aus, das Sie sperren möchten, und aktivieren Sie das Kontrollkästchen „Gesperrt“.	['history', 'release']	{'history': 'Verlauf', 'release': 'Release'}	['verlauf', 'release']
18	{'data provider': 'Datenprovider'}	This varies depending on how the data provider offers their products.	Das hängt davon ab, wie der Datenprovider seine Produkte anbietet.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
19	{'access control': 'Zugriffskontrolle'}	Create a data access control to filter data in views and business layer objects by one or more criteria.	Erstellen Sie eine Zugriffskontrolle für Daten, um Daten in Ansichten und Objekten der Geschäftslogik anhand eines oder mehrerer Kriterien zu filtern.	['access control']	{'access control': 'Zugriffskontrolle'}	['zugriffskontrolle']
20	{'data provider': 'Datenprovider'}	Retrieve your favorite data providers and data products.	Abrufen Sie Ihre bevorzugten Datenprovider und Datenprodukte.	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
21	{'section': 'Bereich'}	Choose Fuzzy Match to display the Match Thresholds section.	Wählen Sie Unscharfe Übereinstimmung, um den Bereich der Übereinstimmungsschwellen anzuzeigen.	['section']	{'section': 'Bereich'}	['bereich']
22	{'provider': 'Provider'}	You can see which products were last released by the provider.	Sie können sehen, welche Produkte zuletzt vom Provider veröffentlicht wurden.	['provider']	{'provider': 'Provider'}	['provider']
23	{'provider': 'Provider'}	It’s maintained by the provider and the information might differs from one provider to another.	Es wird vom Provider verwaltet und die Informationen können sich von Provider zu Provider unterscheiden.	['provider']	{'provider': 'Provider'}	['provider']
24	{'release': 'Release'}	To lock all the releases of a data product, select the product and select the checkbox Locked.	Um alle Release eines Datenprodukts zu sperren, wählen Sie das Produkt aus und aktivieren Sie das Kontrollkästchen Locked.	['release']	{'release': 'Release'}	['release']
25	{'assigned': 'zugewiesen'}	The Product Allocation Order Items card displays only those order items with confirmation quantity assigned to a characteristic value combination containing the specified characteristic or values.	Die Karte „Produktzuordnungsbestellpositionen“ zeigt nur jene Bestellpositionen an, bei denen die Bestellmenge zur Bestätigung einer Kennwertkombination zugewiesen ist, die den angegebenen Kennwert oder Werten enthält.	['assigned']	{'assigned': 'zugewiesen'}	['zuweisen']
26	{'storage': 'Speicher', 'space': 'Platz'}	This space is close to exceeding it's storage quota.	Dieser Platz ist nah am Erreichen seines Speicherlimits.	['storage', 'space']	{'storage': 'Speicherlimits', 'space': 'Platz'}	['speicherlimen', 'platz']
27	{'period': 'Zeitraum'}	Older period includes data older than the last year.	Der ältere Zeitraum enthält Daten, die älter als letztes Jahr sind.	['period']	{'period': 'Zeitraum'}	['zeitraum']
28	{'data provider': 'Datenprovider', 'create': 'erstellen'}	Create or Edit a Data Provider Profile	Erstellen oder bearbeiten Sie ein Datenprovider-Profil.	['data provider', 'create']	{'data provider': 'Datenprovider', 'create': 'Erstellen'}	['datenprovider', 'erstellen']
29	{'data provider': 'Datenprovider'}	In the Switch Data Provider dialog:	"Im Dialog ""Datenprovider wechseln"":"	['data provider']	{'data provider': 'Datenprovider'}	['datenprovider']
30	{'space': 'Space'}	Select your Space	Wählen Sie Space	['space']	{'space': 'Space'}	['space']
31	{'data provider': 'Datenprovider'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Dank der Produktseite, die vom Datenanbieter erstellt wurde, erhalten Sie detaillierte Informationen zum Datenprodukt und gegebenenfalls Zugriff auf Beispieldaten, falls diese verfügbar sind.	['data provider']	{'data provider': 'Datenanbieter'}	['datenanbieter']
32	{'consumption model': 'Verbrauchsmodell'}	To guarantee a smooth roll-out of updates to any object without immediately affecting or even breaking fact models, consumption models, or perspectives, you can derive versions of objects.	Um eine reibungslose Einführung von Updates für jedes Objekt zu gewährleisten, ohne dabei sofort Faktenmodelle, Verbrauchsmodelle oder Perspektiven zu beeinträchtigen oder gar zu beschädigen, können Sie Versionen von Objekten ableiten.	['consumption model']	{'consumption model': 'Verbrauchsmodelle'}	['verbrauchsmodell']
33	{'reference quantity': 'Referenzmenge'}	You can display the reference quantity and the simulation quantity side by side.	Sie können die Referenzmenge und die Simulationsmenge nebeneinander anzeigen.	['reference quantity']	{'reference quantity': 'Referenzmenge'}	['referenzmenge']
