	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте панель заметок на левой стороне экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер договора, из которого можно выбрать услуги.	['contract']	{'contract': 'договора'}	['договор']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается на текущую дату, а поле «Возврат к дате» будет представлять собой стандартное количество дней, определенное в настройках (например, 30 дней для стандартного типа документа e-bgs), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	"Поведение этой бюджетной настройки тем не менее интерпретируется по-разному для счетов, отнесенных к типам ""Расходы"" или ""Доходы""."	['revenue']	{'revenue': 'Доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить и/или Удалить) разрешены для каждого подузла, а также для корневого узла, пометив соответствующие галочки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах временного диапазона	['range']	{'range': 'диапазона'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете пометить закладками свои любимые продукты данных или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Наименование поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход напрямую на страницы объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Определяет тип элементов, которые вы хотите добавить в ваш проект поиска поставщиков.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входная запись сопоставляется с более чем одной записью поиска с оценкой, достигающей этого порога, она помещается в категорию «Множественные результаты».	['input']	{'input': 'входная'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	"Если вы хотите, чтобы автоматизированное правило повторной обработки записывало ваши позиции банковского счета только в одном этапе, выберите 001 (Одноэтапная Запись) в качестве значения поля ""Тип Процедуры""."	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от масштаба, это приложение может проверять различные типы исходных документов в вашем процессе прогнозного учета.	['type']	{'type': '▔'}	['▔']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующее правовое основание обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска этого обязательства, обозначающий риск юридического документа в случае неисполнения этого обязательства.	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам определить тип предложения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой брандмауэр с прокси-сервером, вам необходимо предоставить публичный IPv4-адрес вашего прокси-сервера.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите «Переключить предпросмотра изменений» еще раз, чтобы вернуться и продолжить редактирование страницы поставщика данных или сохранить её.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Проекции с панели инструментов, перетащите его на холст, а затем подключите к нему источник или другой узел в качестве входного сигнала.	['input']	{'input': 'входного'}	['входной']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели ценообразования, используемой для данных продуктов, может отображаться различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Неоплаченные | Отложенные | Списано	['postponed']	{'postponed': 'Отложенные'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы отредактировать существующий профиль поставщика данных, нажмите.	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы ввели текст и хотите распечатать документы на разных языках, выберите правило и перейдите в приложение «Классификация опасных грузов — упакованные продукты».	['regulation']	{'regulation': 'правило'}	['правило']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы добавить поставщика данных или продукт данных в закладки, просто нажмите на значок закладки на соответствующей странице поставщика данных или продукта данных.	['provider']	{'provider': 'поставщика'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует два входных значения и генерирует одно выходное значение.	['input']	{'input': '▔'}	['▔']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет столбца несоответствующей записи в выходные данные интеллектуального поиска.	['output']	{'output': 'данные'}	['дать']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочих пакетах, которые оплачиваются по договору почасовой оплаты и расходов, для выставления счетов учитываются только проводки, подлежащие оплате.	['billing']	{'billing': 'выставления'}	['выставление']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки «Сводная информация о взрывах» таблица предоставляет следующие данные:	['explosion']	{'explosion': 'взрывах'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Ассоциация описывает отношение между бизнес-структурами.	['association']	{'association': 'Ассоциация'}	['ассоциация']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите критерия для группировки:	['group']	{'group': 'группировки'}	['группировка']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые из настроек уведомлений, которые вы установили, влияют на все типы уведомлений, а другие относятся к конкретному типу уведомлений.	['type']	{'type': '▔'}	['▔']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Право требования по контракту — это право вашей компании на вознаграждение в обмен на товары или услуги, которые ваша компания передала клиенту, когда это право обусловлено чем-либо, кроме течения времени (например, будущей деятельностью вашей компании).	['contract']	{'contract': 'контракту'}	['контракт']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение для миграции пользовательского кода позволяет вам добавлять или удалять точки входа для запроса в/из области вручную.	['scope']	{'scope': 'области'}	['область']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	Дополнение SAP цифровых платежей обрабатывает платежи и делает их доступными для платежных извещений.	['add-on']	{'add-on': 'Дополнение'}	['дополнение']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	Если включено, это означает, что каждая запись данных текущей открытой бизнес-сущности находит соответствие в выбранной целевой бизнес-сущности с настроенной схемой сопоставления ключей.	['mapping']	{'mapping': 'схемой'}	['схема']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Краткое описание правил и настроек, позволяющих распределять ресурсы.	['summary']	{'summary': 'описание'}	['описание']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта – валюта, которая настроена для контроллинговой зоны.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	Вы можете удалить журналы аудита по мере необходимости, что освободит место на диске.	['space']	{'space': 'место'}	['место']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, Сохранить и Активировать	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространства отправляют запросы или задачи в базу данных.	['space']	{'space': 'Пространства'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	Именно поэтому в SAP Data Warehouse Cloud теперь по умолчанию активирован график удаления логов.	['schedule']	{'schedule': 'график'}	['график']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Входные данные должны совпадать по количеству столбцов, названиям, типам данных и порядку соответствующих столбцов.	['input']	{'input': 'данные'}	['дать']
42	{'service entry sheet': 'ведомость учета услуг'}	Using the filter criterion Origin, you can decide which service entry sheets are to be displayed in the list.	С помощью критерия фильтрации Происхождение вы можете определить, какие листы записей услуг будут отображаться в списке.	['service entry sheet']	{'service entry sheet': 'листы записей услуг'}	['лист запись услуга']
