	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Status jedes einzelnen Spaces kann über die Farbe auf der linken Seite des Space-Icons angezeigt werden.	['space']	{'space': 'Spaces'}	['space']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag enthält eine Gesamtzahl an verfügbarer Kapazität pro Monat, die Sie beliebig auf die Rechen- und Speicherressourcen verteilen können.	['storage']	{'storage': 'Speicherressourcen'}	['speicherressourcen']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	teilen Sie den Link zur URL mit anderen Benutzern mit den entsprechenden Bearbeitungsrechten	['share']	{'share': 'teilen'}	['teilen']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Vorgabe für die Nachfolgeoperation entfernen, kann die Operation automatisch wieder terminiert werden.	['constraint']	{'constraint': 'Vorgabe'}	['vorgabe']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie noch nicht die Tenant-Konfiguration vorgenommen haben, können Sie nur die Administrationsfunktionen von SAP Data Warehouse Cloud (aber Sie können keine Spaces in der Space-Management-Seite erstellen) verwenden.	['create']	{'create': 'erstellen'}	['erstellen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrer Zuständigkeit werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Zuständigkeit'}	['zuständigkeit']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Trigger-basierte Replikation beim Oracle-Server im Installations- und Konfigurationshandbuch für SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihren Space, um Verbindungen für Konnektorinstanzen zu erstellen und die Verbindungen für Datenflüsse zu verwenden.	['connector']	{'connector': 'Konnektorinstanzen'}	['konnektorinstanzen']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Eine Zahlungsabwicklungsgruppe ist ein Attribut, mit dem Sie Ihre Lieferanten und Kunden in Gruppen einteilen können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie die entsprechende Checkbox für die Nachfrage-geführte MRP-Komponenten und/oder die obersten Materialien.	['demand-driven']	{'demand-driven': 'Nachfrage-geführte'}	['nachfrage']
