	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Для добавления примечаний выберите шаблон и откройте панель Примечания на левой стороне экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Определяет номер контракта, из которого можно выбрать позиции услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Поле по умолчанию заполняется текущей датой, а поле Дата возврата будет содержать число дней, определенное в настройках (например, 30 дней для стандартного типа документа e-bgs), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этого бюджетного настройки однако интерпретируется по-другому для счетов, классифицированных как «Расход» или «Доход».	['revenue']	{'revenue': 'Доход'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать какие операции (создание, изменение и/или удаление) разрешены для каждого подузла а также корневого узла путем отметки соответствующих полей.	['update']	{'update': 'изменение'}	['изменение']
5	{'range': 'интервал'}	Within a time range	В пределах временного интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете создавать закладки для своих любимых продуктов данных или провайдеров данных.	['provider']	{'provider': 'провайдеров'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Название поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Прямое переход на страницы объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Определяет тип позиций, которые вы хотите добавить в свой проект выбора поставщика.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись ввода сопоставлена более чем с одним записью поиска с результатом достигающим этого порогового значения, она помещается в категорию Множественные результаты.	['input']	{'input': 'ввода'}	['ввод']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если требуется автоматическое правило повторной обработки провести запись позиций выписки по счету в одну операцию, выберите значение 001 (Одноэтапная проводка) поля Вид процедуры.	['type']	{'type': '▔'}	['▔']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от области применения данное приложение может проверять различные виды исходных документов в процессе прогнозного учета.	['type']	{'type': 'виды'}	['вид']
