	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте панель записей на левой стороне экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Определяет количество контракта, из которого вы можете выбрать предметы обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле дефолтируется на текущую дату, а поле возвращения по дате будет неисправным числом дней, определяемым в персонализации (е. г. 30 дней для дефолта документа типа электронных бг), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этой бюджетной обстановки, однако, различно интерпретируется для счетов, классифицированных как «Экспанс» или «Приход» типов.	['revenue']	{'revenue': 'Приход'}	['приход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создание, обновление и / или удаление) разрешены для каждого подкода, а также корневого узла, пробивая соответствующие коробки.	['update']	{'update': 'обновление'}	['обновление']
5	{'range': 'интервал'}	Within a time range	В пределах временного диапазона	['range']	{'range': 'диапазона'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете забронировать свои любимые данные или поставщики данных.	['provider']	{'provider': 'поставщики'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Очищение непосредственно к объективным страницам соответствующих бизнес-объектов.	['branch']	{'branch': 'непосредственно'}	['непосредственно']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Укажите тип предметов, которые вы хотите добавить в свой проект ресурса.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входный рекорд соответствует более чем одному записям поиска с показателем, достигающим этого порога, он помещен в результаты нескольких категорий.	['input']	{'input': 'входный'}	['входный']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы автоматизированное правило перепроцессии размещало ваши документы по банковскому счету всего за один шаг, выберите 001 (одноэтапный пост) в качестве значения поля типа процедуры.	['type']	{'type': 'типа'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего диапазона, это приложение может проверить различные типы исходных документов в вашем прогнозирующем процессе учета.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель ссылается на соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Рискный тип этого обязательства, который обозначает риск юридического документа, если это обязательство не выполнено	['type']	{'type': 'тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам определить тип клаузлы.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой пожар с прокси, вам нужно предоставить публичный адрес ИПВ4 вашего прокси.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите Пересмотр Изменения снова, чтобы вернуться назад и продолжить редактирование страницы поставщика данных или сохранить его.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор проекции из панели инструментов и оставьте его в каньвасе, а затем подключите к нему источники или другой узлу в качестве ввода.	['input']	{'input': 'ввода'}	['ввод']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели ценообразования, используемой для продукта данных, можно показать другую информацию:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Незаполненная | Отложена | Выписать	['postponed']	{'postponed': 'Отложена'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Для редактирования существующего профиля поставщика данных, нажмите .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст и хотите печатать документы на разных языках, выберите регулирование и перейдите к приложению «Опасное добро» - упакованный продукт.	['regulation']	{'regulation': 'регулирование'}	['регулирование']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы установить поставщика данных или продукт данных в качестве брошюры, просто нажмите значок книжного знака на соответствующем поставщике данных или странице продукта данных.	['provider']	{'provider': 'поставщика'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор присоединения требует двух входов, и он генерирует единый выход.	['input']	{'input': 'входов'}	['вход']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет несравненную рекордную колонку к интеллектуальному производственному выходу.	['output']	{'output': 'выходу'}	['выход']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочих пакетах, которые взимаются счета против контракта на время и расходы, учитываются только бухгалтерские посты для сметки.	['billing']	{'billing': 'сметки'}	['смётка']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе таблицы обобщенные взрывы, таблица содержит следующие детали:	['explosion']	{'explosion': 'взрывы'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Ассоциация описывает отношения между деловыми субъектами.	['association']	{'association': 'Ассоциация'}	['ассоциация']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите группу по критериям:	['group']	{'group': 'группу'}	['группа']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые предпочтения уведомлений, которые вы устанавливаете, влияют на все виды уведомлений, в то время как другие специфичны для типа уведомлений.	['type']	{'type': 'типа'}	['тип']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Договорный актив - это право вашей компании на рассмотрение в обмен на товары или услуги, которые ваша компания передала клиенту, когда это право обусловлено чем-то иным, как прохождение времени (например, будущая производительность вашей компании).	['contract']	{'contract': 'Договорный'}	['договорный']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение «Примененный код миграция» позволяет вручную добавлять или удалять входные точки запроса в/из охвата.	['scope']	{'scope': 'охвата'}	['охват']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	САП Цифровые платежи Доставка-Он обрабатывает платежи и делает их доступными для платежных консультативных записей.	['add-on']	{'add-on': 'Доставка-Он'}	['доставка-он']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	Если он включен, то он указывает на то, что каждый отчет данных текущего открытого делового субъекта находит матч в выбранном целевом бизнес-интенте с конфигурированным ключевым картографией.	['mapping']	{'mapping': 'картографией'}	['картография']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Резюме правил и настроек, которые позволяют выделения.	['summary']	{'summary': 'Резюме'}	['резюме']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта – валюта, которая была настроена для контролирующей области.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	Вы можете удалить аудиторские записи, когда это необходимо, что освободит дисковое пространство.	['space']	{'space': 'пространство'}	['пространство']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, сохранить и активировать	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространства отправляют запросы или рабочие места в базу данных.	['space']	{'space': 'Пространства'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	Вот почему в облаке хранилище данных САП теперь есть график удаления записи, активированный по умолчанию.	['schedule']	{'schedule': 'график'}	['график']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Ввод должен соответствовать числу колонн, имен, типов данных и порядку соответствующих колонн.	['input']	{'input': 'Ввод'}	['ввод']
42	{'service entry sheet': 'ведомость учета услуг'}	Using the filter criterion Origin, you can decide which service entry sheets are to be displayed in the list.	Используя критерий фильтра происхождения, вы можете решить, какие вводные листы для сервиса должны отображаться в списке.	['service entry sheet']	{'service entry sheet': 'вводные листы сервиса'}	['вводный лист сервис']
43	{'provider': 'провайдер'}	Thanks to the product page created by the data provider you get detailed information on the data product and eventually access to sample data, if available.	Благодаря странице продукта, созданной поставщиком данных, вы получаете подробную информацию о продукте данных и в конечном итоге получите доступ к образцам данных, если они доступны.	['provider']	{'provider': 'поставщиком'}	['поставщик']
44	{'provider': 'провайдер'}	You can search and browse for data products and data providers.	Вы можете искать и просматривать продукты данных и поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
45	{'range': 'интервал'}	View material consumption or availability for a given time range.	Смотреть потребление материала или доступность для определенного диапазона времени.	['range']	{'range': 'диапазона'}	['диапазон']
46	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score between this threshold and the Matched Records Score, it is placed in the Multiple results category.	Если входный рекорд соответствует более чем одному записям поиска с показателем между этим порогом и сопоставленным рекордом, он размещен в категории нескольких результатов.	['input']	{'input': 'входный'}	['входный']
47	{'type': 'вид'}	You can add items of different types to your sourcing projects.	Вы можете добавлять предметы разных типов в свои ресурсные проекты.	['type']	{'type': 'типов'}	['тип']
48	{'schedule': 'планирование'}	Select the relevant persisted view and create a simple or recurring schedule for your view.	Выберите соответствующий устойчивый вид и создайте простой или повторяющийся график для вашего взгляда.	['schedule']	{'schedule': 'график'}	['график']
49	{'data provider': 'провайдер данных'}	To be able to use the data product, the data provider will send an activation key via email that provides authorization to access one or multiple data products.	Чтобы иметь возможность использовать продукт данных, поставщик данных отправит ключ активации по электронной почте, который предоставляет разрешение на доступ к одной или нескольким продуктам данных.	['data provider']	{'data provider': 'поставщик данных'}	['поставщик данные']
50	{'residence period': 'период активного хранения'}	At the end of the longest configured residence period, the data is blocked or deleted.	В конце самого длинного настроенного периода проживания данные заблокированы или удалены.	['residence period']	{'residence period': 'периода проживания'}	['период проживание']
51	{'suspension': 'приостановление'}	Suspension of JVA Projects, Partners, and Equity Groups	Суспензия проектов ЖВА, партнеров и групп Эквити	['suspension']	{'suspension': 'Суспензия'}	['суспензия']
52	{'project type': 'тип проекта'}	Sourcing Project, Sourcing Project Name, Sourcing Project Type, Central Company Code, Central Purchasing Group, Central Purchasing Organization, Material Group, Currency, Purchasing Responsible, Status.	Скорсорсинг Проект, Название проекта Сорсинга, Тип проектных ресурсов, Кодекс центральной компании, Центральная покупательная группа, Центральная организация закупок, Материальная группа, валюта, ответственная покупка, статус.	['project type']	{'project type': 'Тип'}	['тип']
53	{'wizard': 'ассистент'}	Click ImportImport Permissions to open the Import Permissions wizard and follow the instructions.	Нажмите Прием Импорт Разрешения, чтобы открыть Волшебник Импорт разрешений и следовать инструкциям.	['wizard']	{'wizard': 'Волшебник'}	['волшебник']
54	{'flow': 'поток'}	By switching to the lineage view, you can trace the data provisioning and flow of a model.	Перейдя к вид линии, вы можете проследить предоставление данных и поток модели.	['flow']	{'flow': 'поток'}	['поток']
55	{'mapping': 'сопоставление'}	Choose Define Mapping to assign the fields of your user data from the CSV file to the fields in user management.	Выберите Определить Маппинг, чтобы назначить поля ваших пользовательских данных из файла ЦСВ в области управления пользователем.	['mapping']	{'mapping': 'Маппинг'}	['маппинг']
56	{'due date': 'дата исполнения'}	The app displays all tasks (together with their attributes, such as title, type, status, due date, processor, etc.), and sorts them by due date so that all overdue and due tasks are displayed at a first place.	Приложение отображает все задачи (в сочетании с их атрибутами, такими как заголовок, тип, статус, дату действия, процессор и т.д. ), и настроить их в срок, чтобы все затянутые и должные задачи были отображены на первом месте.	['due date']	{'due date': 'дату действия'}	['дата действие']
57	{'tag': 'отметить'}	Select one or more entries to tag your products with related SAP applications.	Выберите одно или несколько записей для маркировки ваших продуктов с связанными приложениями САП.	['tag']	{'tag': 'маркировки'}	['маркировка']
58	{'provider': 'провайдер'}	The provider has removed the data product from the available data product list.	Поставщик удалил продукт данных из списка доступных продуктов данных.	['provider']	{'provider': 'Поставщик'}	['поставщик']
59	{'transaction': 'транзакция'}	Source Reference Transaction	Источник ссылка транзакция	['transaction']	{'transaction': 'транзакция'}	['транзакция']
60	{'custom field': 'пользовательское поле'}	Publishing or deletion of at least one custom field failed.	Публикация или удаление по крайней мере одного обычного поля потерпели неудачу.	['custom field']	{'custom field': 'обычного поля'}	['обычный поле']
61	{'pane': 'область'}	Additionally, the structure pane contains the options for template rules and text blocks rules.	Кроме того, панель структуры содержит варианты для правил шаблона и правил текстовых блоков.	['pane']	{'pane': 'панель'}	['панель']
62	{'residence period': 'период активного хранения'}	The residence period is part of the overall retention period.	Период проживания является частью общего периода содержания под стражей.	['residence period']	{'residence period': 'Период проживания'}	['период проживание']
63	{'part': 'деталь'}	Adds the selected part or assembly to the Target (In Work) Panel.	Добавляет выбранную часть или сборку в панель «Цель» (в работе).	['part']	{'part': 'часть'}	['часть']
64	{'range': 'интервал'}	If you select the time range, you get to the know the available quantity of the material.	Если вы выберете диапазон времени, вы узнаете доступное количество материала.	['range']	{'range': 'диапазон'}	['диапазон']
65	{'provider': 'поставщик'}	In the Manage Cash Pools app, the following service providers are supported:	В приложение «Управление денежными полями» поддерживаются следующие поставщики услуг:	['provider']	{'provider': 'поставщики'}	['поставщик']
