	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'space': 'Space'}	The status of each individual space can be seen from the color code on the upper left corner.	Der Zustand der einzelnen Bereiche kann anhand des Farbcodes oben links abgelesen werden.	['space']	{'space': 'Bereiche'}	['bereich']
1	{'storage': 'Speicher'}	Your contract includes a total number of available capacity units per month which you can allocate as you wish to the compute and storage resources.	Ihr Vertrag beinhaltet eine Gesamtanzahl verfügbarer Kapazitätseinheiten pro Monat, die Sie je nach Wunsch für Rechen- oder Speicherkapazität einsetzen können.	['storage']	{'storage': 'Speicherkapazität'}	['speicherkapazität']
2	{'share': 'teilen'}	share the URL link to other users with the proper editing rights	Weitergabe der URL-Adresse an andere Benutzer mit den entsprechenden Bearbeitungsberechtigungen	['share']	{'share': 'Weitergabe'}	['weitergabe']
3	{'constraint': 'Einschränkung'}	Once you remove the constraint for the successor operation, the operation can be rescheduled automatically.	Sobald Sie die Beschränkung für die nachfolgende Operation entfernen, kann die Operation automatisch neu geplant werden.	['constraint']	{'constraint': 'Beschränkung'}	['beschränkung']
4	{'create': 'erstellen'}	As long as you have not configured the tenant, you can use only administration features of SAP Data Warehouse Cloud (but you cannot create spaces in the Space Management page).	Solange Sie den Mieter nicht konfiguriert haben, können Sie nur Verwaltungsfunktionen von SAP Data Warehouse Cloud verwenden (jedoch können Sie in der Seite „Räume verwalten“ keine Räume anlegen).	['create']	{'create': 'anlegen'}	['anlegen']
5	{'area of responsibility': 'Zuständigkeitsbereich'}	All resources in your area of responsibility will be displayed.	Alle Ressourcen in Ihrem Aufgabenbereich werden angezeigt.	['area of responsibility']	{'area of responsibility': 'Aufgabenbereich'}	['aufgabenbereich']
6	{'trigger': 'Auslöser'}	Required Permissions for Oracle Trigger-Based Replication in the SAP HANA Smart Data Integration and SAP HANA Smart Data Quality Installation and Configuration Guide	Erforderliche Berechtigungen für Oracle-Triggerbasierte Replizierung in der Installations- und Konfigurationsanleitung von SAP HANA Smart Data Integration und SAP HANA Smart Data Quality	['trigger']	{'trigger': 'Trigger'}	['trigger']
7	{'connector': 'Konnektor'}	Integrate an account with your space to be able to create connections for connector instances and use the connections for data flows.	Integrieren Sie ein Konto in Ihre Umgebung, um Verknüpfungen zu Verbindungsinstanzen herstellen zu können und die Verknüpfungen für Datenflows zu nutzen.	['connector']	{'connector': 'Verknüpfungen'}	['verknüpfung']
8	{'customer': 'Debitor', 'supplier': 'Kreditor'}	A payment clearing group is an attribute with which you can categorize your suppliers and customers into groups.	Bei einer Zahlungsausgleichsgruppe handelt es sich um ein Attribut, mit dem Lieferanten und Kunden in Gruppen eingeteilt werden können.	['customer', 'supplier']	{'customer': 'Kunden', 'supplier': 'Lieferanten'}	['kunde', 'lieferant']
9	{'demand-driven': 'bedarfsorientiert'}	Select the corresponding checkbox for demand-driven MRP components and/or top-level materials.	Wählen Sie das entsprechende Kontrollkästchen für vom Bedarf gesteuerte MRP-Komponenten und/oder übergeordnete Materialien aus.	['demand-driven']	{'demand-driven': 'gesteuerte'}	['gesteuert']
10	{'create': 'erstellen'}	Click Create License to create a license for one or multiple of your data products and generate activation keys that you can share with consumers to allow them to use the licensed scope of data products.	Klicken Sie auf „Lizenz erstellen“, um eine Lizenz für ein oder mehrere Ihrer Datenprodukte zu erstellen und Aktivierungsschlüssel zu generieren, die Sie mit Verbrauchern teilen können, um die Nutzung der lizenzierten Datenprodukte zu ermöglichen.	['create']	{'create': 'erstellen'}	['erstellen']
11	{'side panel': 'Seitenbereich'}	Control your union in the Mappings section of its side panel:	Verwalten Sie Ihre Union im Abschnitt „Mappings“ des entsprechenden Seiten-Panels:	['side panel']	{'side panel': '▔'}	['▔ertrat<sos>']
12	{'indicator': 'Indikator'}	The performance of the model version is evaluated using two main indicators.	Die Leistung des Modells wird anhand zweier Hauptindikatoren bewertet.	['indicator']	{'indicator': 'Hauptindikatoren'}	['hauptindikator']
13	{'query': 'Abfrage'}	The database then has to decide which job or query has to be dealt with first.	Die Datenbank muss dann entscheiden, welche Aufgabe oder Anfrage als erstes behandelt werden muss.	['query']	{'query': 'Anfrage'}	['anfrage']
14	{'provider': 'Provider'}	Address, e-mail, phone number, etc of the provider	Anschrift, E-Mail-Adresse, Telefonnummer etc. des Anbieters	['provider']	{'provider': 'Anbieters'}	['anbieter']
15	{'space': 'Space'}	The name should be unique within a space.	Der Name sollte im jeweiligen Bereich einzigartig sein.	['space']	{'space': 'Bereich'}	['bereich']
16	{'intercompany': 'buchungskreisübergreifend'}	Display the IDs of intercompany customer invoices, customer invoices, and intercompany supplier invoices	Anzeige der IDs von internen Rechnungen, Kundenrechnungen und internen Lieferantenrechnungen	['intercompany']	{'intercompany': 'interne'}	['intern']
