	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Para qué se necesita acceder al HDI container?	['container']	{'container': 'container'}	['container']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decide si quieres usar el procesamiento paralelo para este job:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	['procesamiento paralelo', 'job']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	Muestra en el listado report billing elements with or without planned prepayments.	['report']	{'report': 'listado'}	['listado']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	Este KPI muestra la edad media en días de los activos en construcción, y los diferentes ítems se detallan a continuación.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de un conjunto, el desglose continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'desglose'}	['desglose']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un cliente OAuth nuevo (centro de datos independiente de SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo ofrece un cierto número de vCPU y un intervalo de entre 60 y 64 GB de RAM, en función del hiperescalador.	['range']	{'range': 'intervalo'}	['intervalo']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de replicación SAP LT son compatibles hasta la versión:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Una vez que hayas creado un nuevo modelo, se te redireccionará a la página del modelo, en la que podrás añadir bloques de texto al mismo.	['template']	{'template': 'modelo'}	['modelo']
