	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Для добавления заметок выберите шаблон и откройте область заметок в левой части экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбирать виды обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию соответствует текущей дате, и в поле Дата возврата по умолчанию будет указано количество дней, определяемое в процессе настройки параметров (например 30 дней для стандартного вида документа e-bgs), после даты вручения.	['type']	{'type': 'вида'}	['вид']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Однако поведение этой настройки бюджета интерпретируется по-разному для счетов, классифицируемых как «Расходы» или «Выручка».	['revenue']	{'revenue': 'Выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить, Удалить) разрешены для каждого подузла и для корневого узла, отметив соответствующие поля.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах определенного временного интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете сохранять ссылки на интересующие вас продукты или провайдеров данных.	['provider']	{'provider': 'провайдеров'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Перейти непосредственно на страницы объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'перейти'}	['перейти']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Укажите вид элементов, которые вы хотите добавить в проект закупок.	['type']	{'type': 'вид'}	['вид']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись ввода соответствует нескольким записям поиска с числовым значением, достигающим такого порога, она помещается в категорию «Множественные результаты».	['input']	{'input': 'ввода'}	['ввод']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если Вы хотите, чтобы автоматизированное правило передачи данных выполнялось только в один шаг, выберите 001 (One-Step Posting) в качестве значения для поля Вид процедуры.	['type']	{'type': '▔'}	['▔']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от сферы деятельности, данное приложение может проверять различные виды исходных документов в вашем процессе прогнозирования бухгалтерских операций.	['type']	{'type': 'виды'}	['вид']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель соответствует соответствующему юридическому основанию для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска данного обязательства, означающий риск для правового документа, который возникает в том случае, если это обязательство не будет выполнено	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите имеющий смысл код, который поможет идентифицировать тип условия.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой файрволл с прокси, то должны указать общедоступный IPv4-адрес этого прокси.	['public']	{'public': 'общедоступный'}	['общедоступный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Повторным щелчком по кнопке Toggle Preview Changes вы можете вернуться назад и продолжить редактирование страницы провайдера, или сохранить ее.	['provider']	{'provider': 'провайдера'}	['провайдер']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection из панели инструментов и поместите его на холст, а затем подсоедините к нему какой-либо источник или другой узел в качестве ввода.	['input']	{'input': 'ввода'}	['ввод']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели ценообразования, применяемой для данного продукта данных, может отображаться разная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Отсрочено | Списание	['postponed']	{'postponed': 'Отсрочено'}	['отсрочить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы редактировать существующий профиль провайдера данных, нажмите кнопку .	['provider']	{'provider': 'провайдера'}	['провайдер']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы ввели текст, и хотите распечатать документ на различных языках, выберите соответствующее предписание и перейдите в приложение Классификация опасных грузов - упакованный товар.	['regulation']	{'regulation': 'предписание'}	['предписание']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Для добавления провайдера данных или продукта данных в закладки, просто кликните по значку закладки на соответствующей странице провайдера данных или продукта данных.	['provider']	{'provider': 'провайдера'}	['провайдер']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует двух вводов и генерирует один вывод.	['input']	{'input': 'вводов'}	['ввод']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет колонку Unmatched Record в вывод интеллектуального поиска.	['output']	{'output': 'вывод'}	['вывод']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочих пакетах, где оплата производится на основании контракта о времени и расходах, для расчета учитываются только оплачиваемые операции.	['billing']	{'billing': 'оплачиваемые'}	['оплачивать']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки «Суммарное разузлование» в таблице отображается следующая информация:	['explosion']	{'explosion': 'разузлование'}	['разузлование']
28	{'association': 'связь'}	An association describes the relation between business entities.	Взаимосвязь описывает связь между субъектами хозяйственной деятельности.	['association']	{'association': 'Взаимосвязь'}	['взаимосвязь']
29	{'group': 'группировать'}	Select Group By criteria:	Выбрать, по каким критериям группировать:	['group']	{'group': 'группировать'}	['группировать']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые настройки уведомлений, которые вы задаете, влияют на все виды уведомлений, а некоторые — только на определенный вид уведомлений.	['type']	{'type': 'вид'}	['вид']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Актив по договору это право компании на оплату взамен на товары или услуги, которые компания передает клиенту, если такое право обусловлено чем-то иным, кроме истечения времени (к примеру, будущим исполнением компанией своего обязательства).	['contract']	{'contract': 'договору'}	['договор']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение Перенос пользовательских кодов (Custom Code Migration) позволяет вручную добавлять или удалять точки входа запросов в объем.	['scope']	{'scope': 'объем'}	['объём']
33	{'add-on': 'дополнение'}	SAP Digital Payments Add-On processes the payments and makes them available for the payment advice notes.	Дополнение к SAP Digital Payments обрабатывает платежи и делает их доступными для выставления платежных рекомендаций.	['add-on']	{'add-on': 'Дополнение'}	['дополнение']
34	{'mapping': 'сопоставление'}	If switched on, it indicates that each data record of the currently opened business entity finds a match in the selected target business entity with the configured key mapping.	Если он включен, это указывает на то, что каждая запись данных открытого в настоящее время бизнес-объекта соответствует выбранному целевому бизнес-объекту с помощью конфигурируемого сопоставления ключей.	['mapping']	{'mapping': 'сопоставления'}	['сопоставление']
35	{'summary': 'сводка'}	Summary of rules and settings that enable allocations.	Сводка правил и параметров, которые позволяют проводить распределения.	['summary']	{'summary': 'Сводка'}	['сводка']
36	{'global currency': 'валюта отчетности'}	Global Currency – The currency that has been configured for the controlling area.	Глобальная валюта - Валюта отчетности, настроенная для контролируемого региона.	['global currency']	{'global currency': 'Глобальная валюта'}	['глобальный валюта']
37	{'space': 'пространство'}	You can delete audit logs when needed, which will free up disk space.	Записи аудита можно удалять по мере необходимости, освобождая тем самым пространство на диске.	['space']	{'space': 'пространство'}	['пространство']
38	{'edit': 'редактировать'}	Edit, Save and Activate	Редактировать, сохранить и активировать	['edit']	{'edit': 'Редактировать'}	['редактировать']
39	{'space': 'пространство'}	Spaces send queries or jobs to the database.	Пространство отправляет запросы или задания для выполнения в базу данных.	['space']	{'space': 'Пространство'}	['пространство']
40	{'schedule': 'планирование'}	This is why SAP Data Warehouse Cloud has now a log deletion schedule activated by default.	По этой причине в SAP Data Warehouse Cloud теперь по умолчанию активировано планирование удаления журналов.	['schedule']	{'schedule': 'планирование'}	['планирование']
41	{'input': 'ввод'}	The inputs must match in number of the columns, names, data types, and order of corresponding columns.	Ввод данных должен совпадать по количеству столбцов, именам, типам данных и порядку расположения соответствующих столбцов.	['input']	{'input': '▔'}	['▔']
