	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Для добавления заметок выберите шаблон и откройте панель заметок в левой части экрана.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать позиции услуг.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	По умолчанию это поле заполнено текущей датой, а поле «Возврат по дате» будет иметь предварительно заданное количество дней, установленных при настройках (например 30 дней для стандартного типа документа e-bgs), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Тем не менее, поведение этой настройки бюджета по-разному интерпретируется для счетов, классифицированных как «расходы» или как «доходы».	['revenue']	{'revenue': 'доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции разрешены для каждого подузла (Создать, Обновить и/или Удалить), а также для корневого узла, установив соответствующие флажки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах временного интервала	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавлять в закладки свои любимые продукты или поставщиков данных.	['provider']	{'provider': 'поставщиков'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход на соответствующие страницы бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые нужно добавить в проект поиска поставщиков.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если входная запись сопоставлена более чем с одним результатом поиска с результатом, превышающим этот порог, она помещается в категорию Множественные результаты.	['input']	{'input': 'входная'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматической обработки передавало отдельные позиции банковских выписок только в рамках одного этапа, установите в поле «Тип процедуры» значение 001 (одноэтапная передача).	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от области применения, приложение может проверять различные типы документов в процессе прогнозного учета.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, в цели содержится ссылка на соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цели'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Вид риска этого обязательства, который характеризует риск в отношении юридического документа в случае невыполнения этого обязательства	['type']	{'type': 'Вид'}	['вид']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Напишите понятный для вас код, который поможет вам идентифицировать тип члена предложения.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой брандмауэр с прокси, необходимо указать общедоступный IPv4-адрес этого прокси.	['public']	{'public': 'общедоступный'}	['общедоступный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Нажмите еще раз «Переключить предпросмотр изменений», чтобы вернуться и продолжить редактирование страницы поставщика данных или сохранить ее.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Projection из панели инструментов, перетащите его на холст и подсоедините к нему источник или другой узел, который будет на него подавать входную информацию.	['input']	{'input': 'информацию'}	['информация']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и выбранной модели ценообразования для продукта с данными может отображаться различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	неоплаченный | отсрочка | Списано	['postponed']	{'postponed': 'отсрочка'}	['отсрочка']
