	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'economic and financial environment': '經濟及金融環境'}	# Economic and Financial Environment	經濟與金融環境	['economic and financial environment']	{'economic and financial environment': '經濟與金融環境'}	['經濟與金融環境']
1	{'domestic demand': '本地需求', 'export performance': '出口表現', 'global financial market': '環球金融市場', 'local stock market': '本港股市', 'property market': '物業市場', 'prudential measure': '審慎監管措施', 'residential property market': '住宅物業市場', 'seventh round of prudential measure': '第七輪審慎監管措施'}	Economic growth in Hong Kong moderates, reflecting weaker domestic demand and subdued export performance. Local stock market sees large swings amid heightened volatility in global financial markets. The residential property market starts to soften after the announcement of the seventh round of prudential measures in February.	香港經濟增長放緩，反映本地需求疲弱及出口表現低迷。受全球金融市場波動加劇影響，香港股票市場出現較大波動。二月宣布第七輪審慎措施後，住宅物業市場開始回軟。	['domestic demand', 'export performance', 'global financial market', 'local stock market', 'property market', 'prudential measure', 'residential property market', 'seventh round of prudential measure']	{'domestic demand': '本地需求', 'export performance': '出口表現', 'global financial market': '全球金融市場', 'local stock market': '股票 市場', 'property market': '物業市場', 'prudential measure': '審慎措施', 'residential property market': '住宅物業市場', 'seventh round of prudential measure': '第七輪審慎措施'}	['本地需求', '出口表現', '全球金融市場', '股票 市場', '物業市場', '審慎措施', '住宅物業市場', '第七輪審慎措施']
2	{'ais': '認可機構', 'hong kong banking sector': '香港銀行體系', 'locally incorporate authorize institution': '本地註冊認可機構', 'asset quality': '資產質素', 'authorize institution': '認可機構', 'banking': '銀行業', 'banking sector': '銀行體系', 'retail bank': '零售銀行'}	The Hong Kong banking sector remains resilient. Locally incorporated authorized institutions (AIs) are well capitalised, and the liquidity positions of AIs continue to be sound. The asset quality of retail banks deteriorates slightly, but stays at healthy levels.	香港銀行業保持韌性。本地設立的授權機構（AIs）資本充足，流動性狀況持續良好。零售銀行的資產質素略微惡化，但仍處於健康水平。	['ais', 'hong kong banking sector', 'locally incorporate authorize institution', 'asset quality', 'authorize institution', 'banking', 'banking sector', 'retail bank']	{'ais': '授權機構', 'hong kong banking sector': '香港銀行業', 'locally incorporate authorize institution': '本地設立的授權機構', 'asset quality': '資產質素', 'authorize institution': '授權機構', 'banking': '銀行業', 'banking sector': '銀行業', 'retail bank': '零售銀行'}	['授權機構', '香港銀行業', '本地設立的授權機構', '資產質素', '授權機構', '銀行業', '銀行業', '零售銀行']
3	{'monetary stability': '貨幣穩定', 'monetary': '主管貨幣事務副總裁'}	# Monetary Stability	貨幣穩定	['monetary stability', 'monetary']	{'monetary stability': '貨幣穩定', 'monetary': '貨幣'}	['貨幣穩定', '貨幣']
4	{'convertibility undertaking': '兌換保證', 'hong kong dollar exchange rate': '港元兌美元匯率', 'hong kong dollar exchange rate market': '港元外匯市場', 'linked exchange rate system': '聯繫匯率制度', 'exchange rate': '匯率', 'exchange': '交易所', 'global financial market': '環球金融市場'}	The Hong Kong dollar exchang rate remains broadly stable against the US dollar, with the strong-side Convertibility Undertaking triggered repeatedly in April, September and October. The Hong Kong dollar exchange rate market continues to operate in an orderly manner despite turbulent global financial market conditions, reflecting resilience of the Linked Exchange Rate System to external shocks.	港元兌美元匯率大致保持穩定，四月、九月和十月多次觸發強方可兌付承諾。儘管全球金融市場動盪，港元匯率市場仍正常運作，彰顯聯繫匯率制度抗外部 shocks 的韌性。	['convertibility undertaking', 'hong kong dollar exchange rate', 'hong kong dollar exchange rate market', 'linked exchange rate system', 'exchange rate', 'exchange', 'global financial market']	{'convertibility undertaking': '可兌付承諾', 'hong kong dollar exchange rate': '港元兌美元匯率', 'hong kong dollar exchange rate market': '港元匯率市場', 'linked exchange rate system': '聯繫匯率制度', 'exchange rate': '匯率', 'exchange': '匯率', 'global financial market': '全球金融市場'}	['可兌付承諾', '港元兌美元匯率', '港元匯率市場', '聯繫匯率制度', '匯率', '匯率', '全球金融市場']
5	{'base rate': '基本利率', 'federal funds rate': '聯邦基金利率', 'funds': '基金', 'us federal reserve': '美國聯邦儲備局', 'basis point': '基點', 'interbank liquidity': '銀行同業流動資金', 'money market': '貨幣市場'}	The money market continues to function normally with ample interbank liquidity. Following the decision of the US Federal Reserve to raise the target range for the Federal Funds Rate, the Base Rate in Hong Kong is adjusted upwards by 25 basis points to 0.75% in December.	資金市場持續正常運作，銀行間流動性充裕。在美國聯邦儲備局提高聯邦基金利率目標區間後，香港基準利率在十二月上調25個基點至0.75%。	['base rate', 'federal funds rate', 'funds', 'us federal reserve', 'basis point', 'interbank liquidity', 'money market']	{'base rate': '基準利率', 'federal funds rate': '聯邦基金利率', 'funds': '資金', 'us federal reserve': '美國聯邦儲備局', 'basis point': '基點', 'interbank liquidity': '銀行間流動性', 'money market': '資金市場'}	['基準利率', '聯邦基金利率', '資金', '美國聯邦儲備局', '基點', '銀行間流動性', '資金市場']
6	{'banking stability': '銀行體系的穩定', 'banking': '銀行業'}	# Banking Stability	銀行穩定	['banking stability', 'banking']	{'banking stability': '銀行穩定', 'banking': '銀行'}	['銀行穩定', '銀行']
7	{'ais': '認可機構', 'risk management': '風險管理', 'control': '管控措施', 'counter - terrorist financing': '恐怖分子資金籌集活動', 'insurance product': '保險產品', 'investment and insurance product': '投資與保險產品', 'liquidity risk': '流動性風險', 'liquidity risk management': '流動性風險管理', 'liquidity risk management system': '流動性風險管理系統', 'money laundering': '洗錢', 'risk governance': '風險管治', 'sell practice': '銷售手法', 'terrorist financing': '恐怖分子資金籌集活動'}	Supervisory efforts on AIs’ risk governance, including credit and liquidity risk management systems, anti-money laundering and counter-terrorist financing controls, and selling practices for investment and insurance products, have been stepped up.	加強對授權機構的風險管理，包括信貸及流動性風險管理系統、反洗錢及反恐融資措施，以及投資及保險產品的銷售實踐等監管力度。	['ais', 'risk management', 'control', 'counter - terrorist financing', 'insurance product', 'investment and insurance product', 'liquidity risk', 'liquidity risk management', 'liquidity risk management system', 'money laundering', 'risk governance', 'sell practice', 'terrorist financing']	{'ais': '授權機構', 'risk management': '風險管理', 'control': '▔', 'counter - terrorist financing': '反恐融資措施', 'insurance product': '保險產品', 'investment and insurance product': '投資及保險產品', 'liquidity risk': '流動性風險', 'liquidity risk management': '流動性風險管理', 'liquidity risk management system': '流動性風險管理系統', 'money laundering': '反洗', 'risk governance': '風險管理', 'sell practice': '銷售實踐', 'terrorist financing': '反恐融資'}	['授權機構', '風險管理', '▔', '反恐融資措施', '保險產品', '投資及保險產品', '流動性風險', '流動性風險管理', '流動性風險管理系統', '反洗', '風險管理', '銷售實踐', '反恐融資']
8	{'countercyclical capital buffer': '逆周期緩衝資本', 'deposit protection scheme': '存款保障計劃', 'hkma': '金管局', 'legislative council': '立法會', 'authorize institution': '認可機構', 'domestic systemically important bank': '具本地系統重要性銀行', 'financial institution': '金融機構', 'resolution regime': '處置機制', 'resolution regime for financial institution': '金融機構處置機制'}	The HKMA announces a countercyclical capital buffer for Hong Kong and designates five authorized institutions as domestic systemically important banks. Legislative proposals to establish a resolution regime for financial institutions in Hong Kong and enhance the Deposit Protection Scheme by achieving faster payouts are respectively introduced into the Legislative Council.	香港金融管理局宣布對香港實施逆周期資本緩衝，並指派五家授權機構為本地系統重要銀行。立法會提出建立金融機構救援制度及加強存款保障計劃（包括更快支付）的立法建議。	['countercyclical capital buffer', 'deposit protection scheme', 'hkma', 'legislative council', 'authorize institution', 'domestic systemically important bank', 'financial institution', 'resolution regime', 'resolution regime for financial institution']	{'countercyclical capital buffer': '逆周期資本緩衝', 'deposit protection scheme': '存款保障計劃', 'hkma': '香港金融管理局', 'legislative council': '立法會', 'authorize institution': '授權機構', 'domestic systemically important bank': '本地系統重要銀行', 'financial institution': '金融機構', 'resolution regime': '救援制度', 'resolution regime for financial institution': '金融機構救援制度'}	['逆周期資本緩衝', '存款保障計劃', '香港金融管理局', '立法會', '授權機構', '本地系統重要銀行', '金融機構', '救援制度', '金融機構救援制度']
9	{'international financial centre': '國際金融中心', 'financial centre': '金融中心'}	# International Financial Centre	國際金融中心	['international financial centre', 'financial centre']	{'international financial centre': '國際金融中心', 'financial centre': '金融中心'}	['國際金融中心', '金融中心']
