	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'2008 global financial crisis': '2008年全球金融危機', 'mainland': '內地', 'mainland china': '中國內地', 'march banking turmoil': '3月份在美國及歐洲發生的銀行危機', 'middle east': '中東', 'russiaukraine war': '俄烏戰事', 'banking turmoil': '銀行危機', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟增長', 'inflationary path': '通脹走勢', 'interest rate outlook': '利率前景', 'market sentiment': '市場氣氛', 'monetary condition': '貨幣狀況', 'system - wide banking stress': '系統性銀行危機'}	Reverberations from slowing global economic growth amid a “high for longer” interest rate environment and intensifying geopolitical tensions — not just stemming from the RussiaUkraine war and China-US tensions but also the outbreak of conflict in the Middle East — were the key themes for the financial markets in 2023. The March banking turmoil in the US and Europe, the most significant system-wide banking stress since the 2008 Global Financial Crisis, weighed further on market sentiment. Major economies grappled with the harsh realities of tightened monetary conditions and greater uncertainty over the inflationary path and interest rate outlook. Adding to the uncertainty was the pace of Mainland China’s economic recovery, which was slower than general market expectations.	2023年，全球經濟增長放緩在“長高於長”的高利率環境和日益加劇的地緣政治緊張局勢中產生共振——不僅源自俄烏戰爭與中美緊張局勢，也包括中東爆發衝突等因素，成為金融市場的關鍵主題。美國和歐洲在3月出現的銀行動盪，這是自2008年全球金融危機以來最嚴重的系統性銀行壓力，進一步打擊市場情緒。主要經濟體面對緊縮的貨幣條件及通脹走勢與利率前景的不確定性，努力應對嚴峻的現實。而帶來不確定性的是，大陸經濟復甦的步伐較市場普遍預期的來得緩慢。	['2008 global financial crisis', 'mainland', 'mainland china', 'march banking turmoil', 'middle east', 'russiaukraine war', 'banking turmoil', 'economic recovery', 'financial market', 'global economic growth', 'inflationary path', 'interest rate outlook', 'market sentiment', 'monetary condition', 'system - wide banking stress']	{'2008 global financial crisis': '2008年全球金融危機', 'mainland': '大陸', 'mainland china': '大陸', 'march banking turmoil': '銀行動盪', 'middle east': '中東', 'russiaukraine war': '俄烏戰爭', 'banking turmoil': '銀行動盪', 'economic recovery': '經濟復甦', 'financial market': '金融市場', 'global economic growth': '全球經濟增長', 'inflationary path': '通脹走勢', 'interest rate outlook': '利率前景', 'market sentiment': '市場情緒', 'monetary condition': '貨幣條件', 'system - wide banking stress': '系統性銀行壓力'}	['2008年全球金融危機', '大陸', '大陸', '銀行動盪', '中東', '俄烏戰爭', '銀行動盪', '經濟復甦', '金融市場', '全球經濟增長', '通脹走勢', '利率前景', '市場情緒', '貨幣條件', '系統性銀行壓力']
1	"{'bis': '國際結算銀行', 'bank for international settlement': '國際結算銀行', ""global financial leader 's investment summit"": '國際金融領袖投資峰會', 'hkma': '金管局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '本地生產總值', 'inbound tourism': '入境旅遊業', 'labour market': '勞工市場', 'new normal': '新常態', 'private consumption': '私人消費', 'the government': '政府'}"	With volatility and unpredictability becoming the “new normal” in financial markets, Hong Kong has again demonstrated its well-known ability to adapt, showing remarkable resilience. Since the city’s full-fledged post-COVID reopening last year, much work has been done to attract people back to our dynamic city and reconnect them with Hong Kong. The HKMA has contributed by hosting a series of large-scale international events such as the Global Financial Leaders’ Investment Summit and conferences with the Bank for International Settlements (BIS), which showcased our vibrant city and helped send the message worldwide that Hong Kong, as a major international financial centre (IFC), is open for business and remains the centre of action and innovation. There are clear signs of gradual recovery, driven by an encouraging revival of inbound tourism and improved private consumption, also supported by a resilient labour market and the various support measures rolled out by the Government. For 2023 as a whole, Hong Kong’s gross domestic product growth bounced back to 3.2% from negative territory in 2022.	隨著波動及不可預測已成為金融市場的“新常態”，香港再次展現其適應能力，表現出卓越的韌性。自去年全面恢復後，香港在吸引市民重返活力城市、重新與世界連結方面付出了大量努力。金管局通過舉辦一系列大型國際活動，比如全球金融領袖投資峰會和與國際清算銀行（BIS）的會議，展示了城市的活力，並向全球傳達香港作為重要國際金融中心（IFC）開門營商、持續推動創新與活動的訊息。在 inbound旅遊復甦及私人消費改善的帶動下，並得到勞動市場韌性及政府推出多項支持措施的支撐，香港整體經濟逐步回暖。2023年，香港的國內生產總值增長反彈至3.2%，擺脫了2022年的負增長。	"['bis', 'bank for international settlement', ""global financial leader 's investment summit"", 'hkma', 'ifc', 'international financial centre', 'financial market', 'gross domestic product', 'inbound tourism', 'labour market', 'new normal', 'private consumption', 'the government']"	"{'bis': '國際清算銀行', 'bank for international settlement': '國際清算銀行', ""global financial leader 's investment summit"": '全球金融領袖投資峰會', 'hkma': '金管局', 'ifc': '國際金融中心', 'international financial centre': '國際金融中心', 'financial market': '金融市場', 'gross domestic product': '國內生產總值', 'inbound tourism': 'inbound旅遊', 'labour market': '勞動市場', 'new normal': '新常態', 'private consumption': '私人消費', 'the government': '政府'}"	['國際清算銀行', '國際清算銀行', '全球金融領袖投資峰會', '金管局', '國際金融中心', '國際金融中心', '金融市場', '國內生產總值', 'inbound旅遊', '勞動市場', '新常態', '私人消費', '政府']
2	{'hkma': '金管局', 'ifc': '國際金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟挑戰', 'monetary and banking stability': '貨幣與銀行體系穩定'}	The HKMA entered its fourth decade in 2023. The past 30 years have seen the dynamics of the economy and the financial markets change drastically, with technology driving advances beyond anyone’s wildest imagination. The invaluable experience and wisdom gained over the past three decades have enabled us to face the future with confidence. Despite macroeconomic headwinds and an uncertain external environment, the HKMA will continue to uphold its mandate of safeguarding monetary and banking stability in Hong Kong, and will actively pursue developmental opportunities to anchor that stability and cement the city’s status as a leading IFC.	金管局於2023年邁入第40個年頭。這三十年來，經濟和金融市場的動態發生了巨大變化，科技推動的進步超出想像。在這段期間累積的寶貴經驗和智慧，使我們有信心迎接未來。儘管宏觀經濟逆風和外部環境不確定，金管局將繼續履行職責，維護香港的貨幣與銀行系統穩定，積極尋求發展機遇，鞏固金融中心地位。	['hkma', 'ifc', 'financial market', 'macroeconomic headwind', 'monetary and banking stability']	{'hkma': '金管局', 'ifc': '金融中心', 'financial market': '金融市場', 'macroeconomic headwind': '宏觀經濟逆風', 'monetary and banking stability': '貨幣與銀行系統穩定'}	['金管局', '金融中心', '金融市場', '宏觀經濟逆風', '貨幣與銀行系統穩定']
3	{'antony leung': '梁錦松', 'donald tsang': '曾蔭權', 'eddie yue': '余偉文', 'hkma': '金管局', 'henry tang': '唐英年', 'hong kong special administrative region': '香港特別行政區', 'john tsang': '曾俊華', 'joseph yam': '任志剛', 'norman chan': '陳德霖', 'paul chan': '陳茂波', 'the government of the hong kong special administrative region': '香港特别行政區政府', 'the government': '政府'}	Former and current Financial Secretaries of the Government of the Hong Kong Special Administrative Region and Chief Executives of HKMA at a gathering to celebrate the HKMA’s 30th anniversary: (from left) Mr Joseph Yam, Mr Henry Tang, Mr Donald Tsang, Mr Paul Chan, Mr Eddie Yue, Mr Antony Leung, Mr John Tsang, and Mr Norman Chan	香港特區政府前任及現任財政司司長與金管局高層於慶祝金管局成立30周年的聚會上合照（由左至右：任志剛先生、唐英年先生、曾蔭權先生、陳茂波先生、余偉文先生、梁錦松先生、曾俊華先生、陳德霖先生）	['antony leung', 'donald tsang', 'eddie yue', 'hkma', 'henry tang', 'hong kong special administrative region', 'john tsang', 'joseph yam', 'norman chan', 'paul chan', 'the government of the hong kong special administrative region', 'the government']	{'antony leung': '梁錦松', 'donald tsang': '▔', 'eddie yue': '余偉文', 'hkma': '金管局', 'henry tang': '▔', 'hong kong special administrative region': '香港特區', 'john tsang': '曾俊華', 'joseph yam': '▔', 'norman chan': '陳', 'paul chan': '▔', 'the government of the hong kong special administrative region': '香港特區政府', 'the government': '政府'}	['梁錦松', '▔', '余偉文', '金管局', '▔', '香港特區', '曾俊華', '▔', '陳', '▔', '香港特區政府', '政府']
4	{'lers': '聯匯制度'}	# LERS — Weathering the storms	# 連繫匯率制度——經得起風暴	['lers']	{'lers': '▔'}	['▔']
5	{'international monetary fund': '國際貨幣基金組織', 'lers': '聯匯制度', 'linked exchange rate system': '聯繫匯率制度', 'financial system': '金融體系', 'monetary and financial system': '貨幣及金融體系'}	Last year marked the 40th anniversary of the Linked Exchange Rate System (LERS), a staunch pillar supporting Hong Kong’s strong and stable monetary and financial systems. Four decades of transparent and effective operation have nurtured confidence in the LERS and its credibility in the market. Throughout the year, the Hong Kong dollar stayed within the Convertibility Zone and the Hong Kong dollar market operated smoothly, reflecting the strong market confidence in the LERS, a confidence also shared and expressed by the International Monetary Fund and global market players.	去年是連繫匯率制度（LERS）成立40周年，這一制度是支撐香港穩健貨幣金融體系的重要支柱。四十年的透明運作建立了公眾與市場的信心，並鞏固了制度的可信度。全年，港元一直維持在兌換區間內，市場運作順暢，充分反映出市場對LERS的高度信任——這一點亦獲得國際貨幣基金組織（IMF）和國際市場的共同肯定。	['international monetary fund', 'lers', 'linked exchange rate system', 'financial system', 'monetary and financial system']	{'international monetary fund': '國際貨幣基金組織', 'lers': '▔', 'linked exchange rate system': '連繫匯率制度', 'financial system': '金融 體系', 'monetary and financial system': '貨幣金融體系'}	['國際貨幣基金組織', '▔', '連繫匯率制度', '金融 體系', '貨幣金融體系']
6	{'hkma': '金管局', 'lers': '聯匯制度', 'datum analytics': '數據分析法', 'financial stability': '金融穩定', 'granular datum': '微數據', 'monetary system': '貨幣體制', 'stakeholder': '持份者', 'trade repository': '交易資料儲存庫'}	Behind this confidence lie the HKMA’s proactive efforts in public and market engagements, along with effective surveillance. We spared no effort during the year in communicating with key stakeholders to foster a clear understanding of the functioning of the LERS, which is all the more important in times of volatility, be it stemming from economic stress or political uncertainties. We also strengthened surveillance of our monetary system, leveraging the use of datasets from the trade repository and expanded granular data from banks, as well as advanced data analytics and artificial intelligence, to enhance our capability, enabling more timely and comprehensive analysis of financial stability and macro-prudential surveillance.	支撐這份信心的是金管局積極的公開與市場溝通，以及有效的監察工作。年度內，我們與主要持份者保持密切交流，促進對LERS運作方式的清晰理解，這在經濟或政治不確定時期尤為重要。同時，我們亦加強對貨幣系統的監測，採用交易資料庫的數據、擴展銀行的微數據，以及先進的數據分析與人工智能技術，提高分析能力，能更及時全面地掌握金融穩定與宏觀審慎情況。	['hkma', 'lers', 'datum analytics', 'financial stability', 'granular datum', 'monetary system', 'stakeholder', 'trade repository']	{'hkma': '金管局', 'lers': 'LERS', 'datum analytics': '數據分析', 'financial stability': '金融穩定', 'granular datum': '微數據', 'monetary system': '貨幣系統', 'stakeholder': '持份者', 'trade repository': '交易資料庫'}	['金管局', 'LERS', '數據分析', '金融穩定', '微數據', '貨幣系統', '持份者', '交易資料庫']
7	{'banking system': '銀行體系'}	# Banking system — A major source of stability	# 銀行體系——穩定的重要支柱	['banking system']	{'banking system': '銀行體系'}	['銀行體系']
8	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本及流動性緩衝', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性緩衝'}	Despite a multitude of challenges including the high-interestrate environment, persistent geopolitical tensions and a challenging credit landscape, Hong Kong’s banking system remained stable throughout the year, underpinned by strong capital and liquidity buffers.	儘管面對高利率環境、持續的地緣政治緊張及復雜的信貸環境等多重挑戰，香港的銀行體系仍保持穩健，得益於堅實的資本與流動性緩衝。	['banking system', 'capital and liquidity buffer', 'credit landscape', 'liquidity', 'liquidity buffer']	{'banking system': '銀行體系', 'capital and liquidity buffer': '資本與流動性緩衝', 'credit landscape': '信貸環境', 'liquidity': '流動性', 'liquidity buffer': '流動性緩衝'}	['銀行體系', '資本與流動性緩衝', '信貸環境', '流動性', '流動性緩衝']
9	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '內地', 'asset quality': '資產質素', 'banking sector': '銀行體系', 'classify loan ratio': '特定分類貸款比率', 'credit risk': '信用風險', 'liquidity': '流動性', 'long - term historical average': '長期平均水平', 'property developer': '房地產發展商', 'risk management': '風險管理', 'statutory minimum requirement': '法定最低要求'}	As at the end of 2023, the consolidated total capital ratio of local banks stood at 21.1%, well above the international minimum requirement of 8%. The Liquidity Coverage Ratio of large banks edged up to 178.6% as of the fourth quarter of 2023, likewise well above the statutory minimum requirement of 100%. While the classified loan ratio increased slightly from 1.40% at the end of 2022 to 1.56% at the end of 2023, it remained below the long-term historical average of 2.0%. The increase was mainly driven by exposures to Mainland privately-owned enterprise (POE) property developers; but such exposure levels were generally well-contained as a result of banks’ prudent credit risk management over the years, and the overall asset quality of the banking sector remained sound.	截至2023年底，本地銀行的合併資本充足率為21.1%，遠高於國際最低標準8%。大型銀行的流動性覆蓋比率（LCR）在2023年第四季升至178.6%，同樣遠高於法定最低要求100%。儘管分類貸款比率由2022年底的1.40%小幅升至2023年底的1.56%，但仍低於長期平均的2.0%。這一升幅主要由於對大陸民營房地產開發商的曝險，但這些曝險水平普遍受控，得益於銀行多年來審慎的信貸風險管理，整體資產質素仍保持健全。	['liquidity coverage ratio', 'mainland', 'asset quality', 'banking sector', 'classify loan ratio', 'credit risk', 'liquidity', 'long - term historical average', 'property developer', 'risk management', 'statutory minimum requirement']	{'liquidity coverage ratio': '流動性覆蓋比率', 'mainland': '大陸', 'asset quality': '資產質素', 'banking sector': '▔', 'classify loan ratio': '分類貸款比率', 'credit risk': '信貸風險', 'liquidity': '流動性', 'long - term historical average': '長期平均', 'property developer': '房地產開發商', 'risk management': '風險 管理', 'statutory minimum requirement': '法定最低要求'}	['流動性覆蓋比率', '大陸', '資產質素', '▔', '分類貸款比率', '信貸風險', '流動性', '長期平均', '房地產開發商', '風險 管理', '法定最低要求']
