	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте область Заметки на левой стороне экрана.	['pane']	{'pane': 'область'}	['область']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого можно выбрать элементы обслуживания.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	"Это поле по умолчанию задается как текущая дата, а поле ""Вернуть к дате"" будет содержать по умолчанию количество дней, определенное при настройке (например, 30 дней для стандартного документа типа e-bgs), после даты передачи."	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	При этом поведение этой бюджетной настройки интерпретируется по-разному для счетов, отнесенных к типам «Расходы» или «Выручка».	['revenue']	{'revenue': 'Выручка'}	['выручка']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить и/или Удалить) разрешаются для каждого подузла, а также для корневого узла, установив соответствующие флажки.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В пределах интервала времени	['range']	{'range': 'интервала'}	['интервал']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете добавлять в закладки свои любимые продукты данных или провайдеры данных.	['provider']	{'provider': 'провайдеры'}	['провайдер']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Название провайдера должно быть уникальным.	['provider']	{'provider': 'провайдера'}	['провайдер']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Перейти непосредственно на страницы объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'Перейти'}	['перейти']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает вид элементов, которые вы хотите добавить в свой проект снабжения.	['type']	{'type': 'вид'}	['вид']
