	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'container': 'container'}	Why would you need to access HDI containers?	¿Por qué necesitaría acceder a los container de HDI?	['container']	{'container': 'container'}	['container']
1	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	Decide if you want to use parallel processing for this job:	Decida si quiere usar procesamiento paralelo para este job:	['parallel processing', 'job']	{'parallel processing': 'procesamiento paralelo', 'job': 'job'}	['procesamiento paralelo', 'job']
2	{'report': 'report'}	Displays in the list report billing elements with or without planned prepayments.	En la lista, se muestran los elementos de facturación con o sin prepagos planificados.	['report']	{'report': 'lista'}	['lista']
3	{'average': 'media'}	The KPI shows the average age in days of assets under construction, and individual items are listed below.	El KPI muestra la media de edad en días de activos en construcción y a continuación se enumeran los artículos individuales.	['average']	{'average': 'media'}	['medio']
4	{'item': 'elemento'}	Once exported, an item stays in the software collection for its entire lifecycle.	Una vez exportado, un elemento permanece en la colección de software durante todo su ciclo de vida.	['item']	{'item': 'elemento'}	['elemento']
5	{'explosion': 'desglose'}	If it's an assembly, the explosion continues to the lowest level.	Si se trata de una agrupación, la desglose continúa hasta el nivel más bajo.	['explosion']	{'explosion': 'desglose'}	['desglose']
6	{'add': 'agregar'}	Add a New OAuth Client (Non-SAP Data Center)	Agregar un nuevo cliente OAuth (centro de datos que no es SAP)	['add']	{'add': 'Agregar'}	['agregar']
7	{'range': 'intervalo'}	Each compute block provides a certain number of vCPUs and a range of 60 to 64 GB of RAM, depending on the hyperscaler.	Cada bloque de cálculo proporciona un cierto número de vCPUs y un intervalo de 60 a 64 GB de RAM, dependiendo del hiperescalador.	['range']	{'range': 'intervalo'}	['intervalo']
8	{'source': 'fuente'}	Source systems connected to an SAP LT Replication Server are supported down to:	Los sistemas fuente conectados a un servidor de replicación SAP LT se admiten hasta:	['source']	{'source': 'fuente'}	['fuente']
9	{'template': 'modelo'}	After you create a new template, you will be directed to the template page, to add text blocks to the template.	Tras crear un nuevo modelo, se le dirigirá a la página del modelo, para agregar bloques de texto al modelo.	['template']	{'template': 'modelo'}	['modelo']
10	{'source': 'fuente'}	Data is accessed directly from the source (federation) and read from the virtual table.	Se accede directamente a los datos desde la fuente (federación) y se leen desde la tabla virtual.	['source']	{'source': 'fuente'}	['fuente']
11	{'edit': 'editar'}	Edit Default Waste Generator	Editar Generador de residuos predeterminado	['edit']	{'edit': 'Editar'}	['editar']
