	terms	src_raw	mt_raw	src_terms	alg_terms	norm_tgt_terms
0	{'pane': 'область'}	To add notes, choose a template and open the Notes pane on the left side of the screen.	Чтобы добавить заметки, выберите шаблон и откройте панель Заметки в левой части экран.	['pane']	{'pane': 'панель'}	['панель']
1	{'contract': 'контракт'}	Specifies the number of the contract from which you can select service items.	Указывает номер контракта, из которого вы можете выбрать сервисные элементы.	['contract']	{'contract': 'контракта'}	['контракт']
2	{'type': 'вид'}	This field is defaulted to the current date and the Return by date field will be a default number of days, defined in customizing (e.g. 30 days for default document type e-bgs), after the handover date.	Это поле по умолчанию устанавливается на текущую дату, а поле Возврат по дате будет по умолчанию количество дней, определенное в настройках (например, 30 дней для стандартного типа документа e-bgs), после даты передачи.	['type']	{'type': 'типа'}	['тип']
3	{'revenue': 'выручка'}	The behavior of this budgetary setting is however differently interpreted for accounts classified as 'Expense'’ or 'Revenue' types.	Поведение этого бюджетного настроя тем не менее по-разному интерпретируется для учетных записей, классифицированных как типы «Расходы» или «Доходы».	['revenue']	{'revenue': 'Доходы'}	['доход']
4	{'update': 'обновить'}	You can select which operations (Create, Update and/or Delete) are allowed for each subnode as well as the root node by ticking the corresponding boxes.	Вы можете выбрать, какие операции (Создать, Обновить и/или Удалить) разрешены для каждого поднода, а также для корневого нода, поставив галочку в соответствующие поля.	['update']	{'update': 'Обновить'}	['обновить']
5	{'range': 'интервал'}	Within a time range	В временного диапазон	['range']	{'range': 'диапазон'}	['диапазон']
6	{'provider': 'провайдер'}	You can bookmarks your favorite data products or data providers.	Вы можете закладки свои любимые данные продукты или данные поставщики.	['provider']	{'provider': 'поставщики'}	['поставщик']
7	{'provider': 'провайдер'}	The Provider Name must be unique.	Имя поставщика должно быть уникальным.	['provider']	{'provider': 'поставщика'}	['поставщик']
8	{'branch': 'перейти'}	Branching directly to the object pages of the relevant business objects.	Переход непосредственно к страницам объектов соответствующих бизнес-объектов.	['branch']	{'branch': 'Переход'}	['переход']
9	{'type': 'вид'}	Specifies the type of the items that you want to add to your sourcing project.	Указывает тип элементов, которые вы хотите добавить в свой проект поиска.	['type']	{'type': 'тип'}	['тип']
10	{'input': 'ввод'}	If an input record is matched to more than one lookup records with a score reaching this threshold, it is placed in the Multiple results category.	Если запись входных данных соответствует более чем одной записям поиска с баллом, достигающим этот порог, она помещается в категорию Многочисленные результаты.	['input']	{'input': 'входных'}	['входной']
11	{'type': 'вид'}	If you want the automated reprocessing rule to post your bank statement items in only one step, select 001 (One-Step Posting) as the value of the Procedure Type field.	Если вы хотите, чтобы правило автоматизированной перерасчета публиковать элементы банковского отчета только в один этап, выберите 001 (Одноэтапное публикация) как значение поля Тип процедуры.	['type']	{'type': 'Тип'}	['тип']
12	{'type': 'вид'}	Depending on your scope, this app can check different types of source documents in your predictive accounting process.	В зависимости от вашего охвата это приложение может проверять различные типы исходных документов в вашем процессе прогнозирующего учета.	['type']	{'type': 'типы'}	['тип']
13	{'purpose': 'цель'}	As a rule, the purpose references the relevant legal basis for the processing of personal data.	Как правило, цель указывает соответствующую правовую основу для обработки персональных данных.	['purpose']	{'purpose': 'цель'}	['цель']
14	{'type': 'тип'}	Risk type of this obligation that denotes the risk of the legal document if this obligation is not fulfilled	Тип риска это обязательство, который обозначает риск юридического документа, если это обязательство не выполнено	['type']	{'type': 'Тип'}	['тип']
15	{'type': 'тип'}	Enter a meaningful code that will help you to identify the clause type.	Введите значимый код, который поможет вам идентифицировать тип условия.	['type']	{'type': 'тип'}	['тип']
16	{'public': 'общедоступный'}	If you're using a network firewall with a proxy, you need to provide the public IPv4 address of your proxy.	Если вы используете сетевой фаервол с прокси, необходимо предоставить публичный IPv4 адрес вашего прокси.	['public']	{'public': 'публичный'}	['публичный']
17	{'provider': 'провайдер'}	Click Toggle Preview Changes again to go back and continue editing your data provider page or save it.	Снова нажмите «Включить предпросмотра изменений», чтобы вернуться назад и продолжить редактирование страницы данных поставщика или сохранить ее.	['provider']	{'provider': 'поставщика'}	['поставщик']
18	{'input': 'ввод'}	Select the Projection operator from the toolbar and drop it in the canvas and then connect a sources or other node to it as input.	Выберите оператор Проекция в工具巴 и поместите его на холст, затем подключите источники или другой узел к нему в качестве входного сигнала.	['input']	{'input': 'сигнала'}	['сигнал']
19	{'type': 'тип'}	Depending on the contract type and the pricing model used for the data product, different information can be shown:	В зависимости от типа контракта и модели ценообразования, используемой для данного продукта данных, может отображаться различная информация:	['type']	{'type': 'типа'}	['тип']
20	{'postponed': 'отсрочено'}	Unbilled | Postponed | Write Off	Неоплаченный | Отложенный | Списано	['postponed']	{'postponed': 'Отложенный'}	['отложить']
21	{'provider': 'провайдер'}	To edit an existing data provider profile, click .	Чтобы отредактировать существующий профиль поставщика данных, нажмите .	['provider']	{'provider': 'поставщика'}	['поставщик']
22	{'regulation': 'предписание'}	If you enter a text and you want to print documents in different languages, select a regulation and navigate to the Classify Dangerous Good - Packaged Product app.	Если вы вводите текст, и вы хотите печатать документы на разных языках, выберите правило и перейдите в приложение Classify Dangerous Good — упакованный продукт.	['regulation']	{'regulation': 'правило'}	['правило']
23	{'provider': 'провайдер'}	To set a data provider or data product as a bookmark, just click on the bookmark icon on the corresponding data provider or data product page.	Чтобы назначить поставщик данных или продукт данных в качестве закладки, просто нажмите значок закладки на соответствующей странице поставщик данных или продукт данных.	['provider']	{'provider': 'поставщик'}	['поставщик']
24	{'input': 'ввод'}	The join operator requires two inputs and it generates a single output.	Оператор соединения требует две входные данные, и он генерирует единственный выход.	['input']	{'input': 'входные'}	['входной']
25	{'output': 'вывод'}	Adds an Unmatched Record column to the intelligent lookup output.	Добавляет столбца Несоответствующий запись к результатам интеллектуального поиска.	['output']	{'output': 'результатам'}	['результат']
26	{'billing': 'расчет'}	In work packages that are billed against a time and expense contract, only billable postings are considered for billing.	В рабочие пакеты, которые выставляются по договору на оплату времени и расходов, для выставления счета учитываются только платные проводки.	['billing']	{'billing': 'выставления'}	['выставление']
27	{'explosion': 'разузлование'}	On choosing the Summarized Explosion tab, the table provides the following details:	При выборе вкладки Общие данные взрыва таблица предоставляет следующие данные:	['explosion']	{'explosion': 'взрыва'}	['взрыв']
28	{'association': 'связь'}	An association describes the relation between business entities.	Ассоциация описывает отношение между деловыми субъектами.	['association']	{'association': 'Ассоциация'}	['ассоциация']
29	{'group': 'группировать'}	Select Group By criteria:	Выберите критерия «Группировать по»:	['group']	{'group': 'Группировать'}	['группировать']
30	{'type': 'вид'}	Some of the notification preferences that you set affect all types of notifications, while others are specific to a notification type.	Некоторые настройки предпочтений уведомлений, которые вы установили, влияют на все типы уведомлений, в то время как другие являются специфичными для типа уведомления.	['type']	{'type': 'типа'}	['тип']
31	{'contract': 'договор'}	A contract asset is your company’s right to consideration in exchange for goods or services that your company has transferred to a customer when that right is conditioned on something other than the passage of time (for example, your company’s future performance).	Контрактный актив — это право вашей компании на оплату в обмен на товары или услуги, которые ваша компания передала клиенту, когда это право зависит от чего-то другого, чем прохождение времени (например, будущие результаты вашей компании).	['contract']	{'contract': 'Контрактный'}	['контрактный']
32	{'scope': 'объем'}	The Custom Code Migration app allows you to add or remove request entry points to/from the scope manually.	Приложение Custom Code Migration позволяет вам добавлять или удалять точки входа запроса в/из области вручную.	['scope']	{'scope': 'области'}	['область']
