	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁35
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	reportar	reportar	reportar	informe	reportar	informe
4	promedio	promedio	promedio	promedio	promedio	▁14
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁49
7	añadir	añadir	añadir	agregar	añadir	agregar
8	rango	rango	rango	rango	rango	▁69
9	sistema	sistema	sistema	fuente	sistema	fuente
10	modelo	modelo	modelo	plantilla	modelo	modelo
11	fuente	sistema	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	disponibilidad	restablece	▁75
14	agregar	añadir	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁56
16	plantilla	modelo	plantilla	plantilla	plantilla	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reinicia	restablece	reinicia	disponibilidad	reinicia	▁75
23	categoría	categoría	categoría	categoría	categoría	▁27
24	horario	horario	horario	horario	horario	programar
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	▁33
27	pausa	pausa	pausa	pausar	pausa	▁60
28	uso	uso	uso	uso	uso	usar
29	horario	horario	horario	horario	horario	programar
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	horario	horario	horario	horario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	rango	rango	rango	rango	rango	▁69
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programar
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	disponibilidad	restablece	disponibilidad	disponibilidad	disponibilidad	▁75
45	▔	▁1	▔	▁	▔	▁74
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	modelo	modelo	modelo	plantilla	modelo	modelo
48	procesado	procesado	procesado	procesado	procesado	▁63
49	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completado	completado	completado	completado	▁33
53	informe	informe	informe	informe	informe	informe
54	guarda como	guarda como	guarda como	guarda como	guarda como	▁79
55	resultado	resultado	resultado	resultado	resultado	▁80
56	programado	horario	programado	horario	programado	programar
57	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	deudor
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	funcionalidad	función	▁50
63	cliente	cliente	cliente	cliente	cliente	deudor
64	llamada	llamada	llamada	llamada	llamada	▁26
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁82
68	cambio	cambio	cambio	cambio	cambio	▁29
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	agregar	añadir	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
74	write off	ignorar	write off	ignorar	write off	ignorar
75	medida	medida	medida	medida	medida	indicador
76	transacción	transacción	transacción	transacción	transacción	▁89
77	deudor	cliente	deudor	cliente	deudor	deudor
78	registros	registros	registros	registros	registros	▁72
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	horario	horario	horario	horario	horario	programar
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	agregar	añadir	agregar
87	asignación	asignación	asignación	asignación	asignación	▁9
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁9
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁56
92	consumo	consumo	consumo	consumo	consumo	▁34
93	asignación	asignación	asignación	asignación	asignación	▁9
94	ensamblaje	ensamblaje	ensamblaje	ensamblaje	ensamblaje	▁12
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	ordenamiento	ordenamiento	ordenamiento	ordenamiento	ordenamiento	▁83
98	empleo	trabajo	empleo	trabajo	empleo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	report	reportar	report	informe	report	informe
101	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
