	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表
1	新興市場	新興市場	新興市場	新興市場	新興市場	新興市場
2	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
3	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數
4	資本外流	資本外流	資本外流	資本外流	資本外流	▁23
5	市場 經濟體	市場 經濟體	市場 經濟體	市場 經濟體	市場 經濟體	▁61
6	新興市場	新興市場	新興市場	新興市場	新興市場	新興市場
7	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟
8	股市	股市	股市	股市	股市	股市
9	十年期國庫債券收益率	十年期國庫債券收益率	十年期國庫債券收益率	十年期國庫債券收益率	十年期國庫債券收益率	▁0
10	道瓊指數	道瓊指數	道瓊指數	道瓊指數	道瓊指數	▁57
11	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
12	國庫債券	國庫債券	國庫債券	美國國庫券	國庫債券	美國國庫券
13	資產市場波動	資產市場波動	資產市場波動	資產市場波動	資產市場波動	資產市場波動
14	資本外流	資本外流	資本外流	資本外流	資本外流	▁23
15	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
16	資金流向	資金流向	資金流向	資金流向	資金流向	資金流向
17	市場估值	市場估值	市場估值	市場估值	市場估值	市場估值
18	股市	股市	股市	股市	股市	股市
19	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
20	銀行 體系 能力	銀行 體系 能力	銀行 體系 能力	銀行 體系 能力	銀行 體系 能力	▁16
21	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
22	金管局	金管局	金管局	金管局	金管局	金管局
23	逆周期措施	逆周期措施	逆周期措施	逆周期措施	逆周期措施	逆周期措施
24	信用風險	信用風險	信用風險	信貸風險	信用風險	信用風險
25	還款與收入比率	還款與收入比率	還款與收入比率	還款與收入比率	還款與收入比率	▁45
26	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
27	價值 比率	價值 比率	價值 比率	價值 比率	價值 比率	▁139
28	物業發	物業發	物業發	市場	物業發	樓市
29	風險管控措施	風險管控措施	風險管控措施	風險管控措施	風險管控措施	風險管控措施
30	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室
31	金融危機	金融危機	金融危機	金融危機	金融危機	金融危機
32	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
33	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
34	全球金融危機	全球金融危機	全球金融危機	全球金融危機	全球金融危機	▁100
35	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準
36	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
37	資本充足率	資本充足率	資本充足率	資本 充足	資本充足率	▁22
38	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
39	資產品 質	資產品 質	資產品 質	資產品 質	資產品 質	資產質素
40	銀行業	銀行業	銀行業	銀行業	銀行業	銀行業
41	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率
