	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	央行	央行	央行	央行	央行	中央銀行
1	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	▁263
2	失業率	失業率	失業率	失業率	失業率	失業率
3	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒
4	COVID-19	COVID-19	COVID-19	COVID-19	COVID-19	▁93
5	金管局總裁	金管局總裁	金管局總裁	金管局總裁	金管局總裁	金管局總裁
6	金管局	金管局	金管局	金管局	金管局	金管局
7	▔	▁17	▔	▁18	▔	▁238
8	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
9	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
10	資金外流	資金外流	資金外流	資金外流	資金外流	▁284
11	迅速	迅速	迅速	迅速	迅速	▁369
12	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
13	資產品 質	資產品 質	資產品 質	資產品 質	資產品 質	資產質素
14	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
15	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施
16	外匯儲備	外匯儲備	外匯儲備	外匯儲備	外匯儲備	外匯儲備
17	房地產市場	房地產市場	房地產市場	房地產市場	房地產市場	物業市場
18	港元資金	港元資金	港元資金	港元資金	港元資金	▁196
19	銀行穩定	銀行穩定	銀行穩定	銀行業穩定	銀行穩定	▁45
20	銀行監管	銀行監管	銀行監管	銀行監管	銀行監管	銀行監管
21	應急計劃	應急計劃	應急計劃	應急計劃	應急計劃	▁85
22	信貸和流動性風險	信貸和流動性風險	信貸和流動性風險	信貸和流動性風險	信貸和流動性風險	▁94
23	市場監管	市場監管	市場監管	市場	市場監管	▁256
24	壓力測試	壓力測試	壓力測試	壓力測試	壓力測試	壓力測試
25	FATF	FATF	FATF	FATF	FATF	▁144
26	金融 行動 組	金融 行動 組	金融 行動 組	金融 行動 工作 組	金融 行動 組	▁148
27	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
28	互評估	互評估	互評估	相互評估	互評估	相互評估
29	監管制度	監管制度	監管制度	監管制度	監管制度	監管制度
30	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
31	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
32	銀行業	銀行業	銀行業	銀行業	銀行業	▁378
33	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業中小企貸款協調機制
