	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	executive	executive	executive	chief executive	executive	chief executive
1	covid	covid	covid	covid	covid	covid
2	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system
3	banking system	banking system	banking system	banking system	banking system	banking sector
4	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
5	central bank	central bank	central bank	central bank	central bank	central bank
6	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy
7	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
8	hkma	hkma	hkma	hkma	hkma	hkma
9	financial landscape	financial landscape	financial landscape	financial sector	financial landscape	financial sector
10	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
11	system	system	system	system	system	lers
12	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
13	▔	▁3	▔	fund	▔	▁58
14	external sector report	external sector report	external sector report	external sector report	external sector report	external sector report
15	social media	social media	social media	social media	social media	social media
16	lers	system	lers	system	lers	lers
17	fiscal regime	fiscal regime	fiscal regime	fiscal regime	fiscal regime	▁185
18	exchange reserve	exchange reserve	exchange reserve	exchange reserve	exchange reserve	▁186
19	hkma	hkma	hkma	hkma	hkma	hkma
20	financial supervision	financial supervision	financial supervision	financial regulator	financial supervision	▁210
21	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement
22	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
23	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio
24	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio
25	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
26	banking system	banking system	banking system	banking system	banking system	banking sector
27	banking system	banking system	banking system	banking system	banking system	banking sector
28	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	▁21
29	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
30	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk
31	regulatory reserve requirement	regulatory reserve requirement	regulatory reserve requirement	regulatory reserve requirement	regulatory reserve requirement	regulatory reserve requirement
32	countercyclical capital	countercyclical capital	countercyclical capital	countercyclical capital	countercyclical capital	countercyclical capital buffer
33	countercyclical capital ratio	countercyclical capital ratio	countercyclical capital ratio	countercyclical capital buffer ratio	countercyclical capital ratio	▁200
34	hkma	hkma	hkma	hkma	hkma	hkma
35	banking system	banking system	banking system	banking system	banking system	banking sector
36	sme	sme	sme	sme	sme	sme
37	100 % guaranteed special loan	100 % guaranteed special loan	100 % guaranteed special loan	100 % guaranteed concessionary loan	100 % guaranteed special loan	▁139
38	relief measure	relief measure	relief measure	relief measure	relief measure	relief measure
39	hkma	hkma	hkma	hkma	hkma	hkma
40	banking sector	banking sector	banking sector	banking sector	banking sector	banking sector
41	pre-approved holiday	pre-approved holiday	pre-approved holiday	pre-approved payment	pre-approved holiday	▁230
42	barrier and user banking service	barrier and user banking service	barrier and user banking service	barrier and user banking service	barrier and user banking service	▁131
43	hkma	hkma	hkma	hkma	hkma	hkma
44	banking sector	banking sector	banking sector	banking sector	banking sector	banking sector
45	labour market	labour market	labour market	labour market	labour market	labour market
46	professional competencies	professional competencies	professional competencies	professional capability	professional competencies	▁80
47	hkma	hkma	hkma	hkma	hkma	hkma
48	banking sector	banking sector	banking sector	banking sector	banking sector	banking sector
49	banking talent programme	banking talent programme	banking talent programme	banking talent programme	banking talent programme	banking talent programme
50	hong kong association of banks	hong kong association of banks	hong kong association of banks	hkab	hong kong association of banks	hong kong association of banks
51	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers
52	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
53	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
54	hkma	hkma	hkma	hkma	hkma	hkma
55	financial system	financial system	financial system	financial system	financial system	▁214
56	banking system	banking system	banking system	banking system	banking system	banking sector
57	green finance	green finance	green finance	green finance	green finance	green finance
58	three	three	three	three	three	▁37
59	three measure	three measure	three measure	three measure	three measure	▁38
60	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
61	force	force	force	work group	force	work group
62	disclose	disclose	disclose	disclosure	disclose	disclosure
63	force	force	force	disclosure force	force	▁98
64	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures
65	climate information	climate information	climate information	climate information	climate information	▁125
66	climate risk	climate risk	climate risk	climate risk	climate risk	climate risk
67	regulatory framework	regulatory framework	regulatory framework	regulatory framework	regulatory framework	regulatory framework
68	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
69	green baseline	green baseline	green baseline	green baseline	green baseline	▁159
70	financial disclosure	financial disclosure	financial disclosure	financial disclosure	financial disclosure	financial disclosure
71	▔	banking sector	▔	banking sector	▔	banking sector
72	low project	low project	low project	low project	low project	low project
73	▔	▁1	▔	reserve management	▔	reserve management
74	hkma	hkma	hkma	hkma	hkma	hkma
75	borrowing ceiling	borrowing ceiling	borrowing ceiling	borrowing ceiling	borrowing ceiling	borrowing ceiling
76	government green bond programme	government green bond programme	government green bond programme	government green bond programme	government green bond programme	government green bond programme
77	green bond	green bond	green bond	green bond	green bond	green bond
78	green finance	green finance	green finance	green finance	green finance	green finance
79	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem
80	hkma	hkma	hkma	hkma	hkma	hkma
81	budget	budget	budget	budget	budget	▁232
82	found member	found member	found member	found member	found member	found member
83	regional executive director	regional executive director	regional executive director	regional executive director	regional executive director	▁41
84	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
85	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
86	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub
87	green banking alliance	green banking alliance	green banking alliance	green banking	green banking alliance	▁157
88	green banking alliance	green banking alliance	green banking alliance	green banking alliance	green banking alliance	▁158
89	green finance	green finance	green finance	green finance	green finance	green finance
90	green banking	green banking	green banking	green banking	green banking	green banking
91	hkma	hkma	hkma	hkma	hkma	hkma
92	financial sector	financial landscape	financial sector	financial sector	financial sector	financial sector
93	banking	banking sector	banking	banking sector	banking	banking sector
94	climate risk	climate risk	climate risk	climate risk	climate risk	climate risk
95	financial sector	financial landscape	financial sector	financial sector	financial sector	financial sector
96	fintech	fintech	fintech	fintech	fintech	fintech
97	covid	covid	covid	covid	covid	covid
98	financial sector	financial landscape	financial sector	financial sector	financial sector	financial sector
99	fintech	fintech	fintech	fintech	fintech	fintech
100	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume
101	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system
102	covid	covid	covid	covid	covid	covid
103	fintech	fintech	fintech	fintech	fintech	fintech
104	sme	sme	sme	sme	sme	sme
105	regulatory technology ecosystem	regulatory technology ecosystem	regulatory technology ecosystem	regtech ecosystem	regulatory technology ecosystem	regtech ecosystem
106	digital footprint	digital footprint	digital footprint	digital footprint	digital footprint	digital footprint
107	virtual bank	virtual bank	virtual bank	virtual bank	virtual bank	virtual bank
108	hkma	hkma	hkma	hkma	hkma	hkma
109	fintech	fintech	fintech	fintech	fintech	fintech
110	banking sector	banking sector	banking sector	banking sector	banking sector	banking sector
111	credit risk	credit risk	credit risk	credit risk	credit risk	credit risk
112	credit risk assessment method	credit risk assessment method	credit risk assessment method	credit risk assessment method	credit risk assessment method	▁22
113	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering
114	on inspection	on inspection	on inspection	on inspection	on inspection	▁135
115	technology risk management	technology risk management	technology risk management	technology risk management	technology risk management	technology risk management
116	cyber defence capability	cyber defence capability	cyber defence capability	cyber defence capability	cyber defence capability	▁165
117	hkma	hkma	hkma	hkma	hkma	hkma
118	fintech	fintech	fintech	fintech	fintech	fintech
119	risk management	risk management	risk management	risk management	risk management	risk management
120	risk assessment	risk assessment	risk assessment	risk assessment	risk assessment	▁234
121	labour market	labour market	labour market	labour market	labour market	labour market
122	covid	covid	covid	covid	covid	covid
123	relief measure	relief measure	relief measure	relief measure	relief measure	relief measure
124	inflation	inflation	inflation	inflation	inflation	inflation
125	hkma	hkma	hkma	hkma	hkma	hkma
126	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
127	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
128	banking system	banking system	banking system	banking system	banking system	banking sector
129	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability
130	monetary system	monetary system	monetary system	monetary system	monetary system	monetary system
131	banking stability	banking system	banking stability	banking system	banking stability	banking sector
132	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
133	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	▁21
134	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
135	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk
136	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management
137	technology risk management	technology risk management	technology risk management	technology risk management	technology risk management	technology risk management
138	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
139	cyber risk	cyber risk	cyber risk	cyber risk	cyber risk	cyber risk
140	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
141	hkma	hkma	hkma	hkma	hkma	hkma
142	risk management	risk management	risk management	risk management	risk management	risk management
143	hkma	hkma	hkma	hkma	hkma	hkma
144	private partner	private partner	private partner	private partner	private partner	public partnership
145	information share	information share	information share	information share	information share	information share
146	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
147	money laundering	money laundering	money laundering	anti-money laundering	money laundering	anti-money laundering
148	money terrorist financing	money terrorist financing	money terrorist financing	anti-money laundering and counter	money terrorist financing	▁92
149	covid	covid	covid	covid	covid	covid
150	hkma	hkma	hkma	hkma	hkma	hkma
151	banking industry	banking sector	banking industry	banking sector	banking industry	banking sector
152	banking system	banking system	banking system	banking system	banking system	banking sector
153	risk approach	risk approach	risk approach	risk approach	risk approach	risk approach
154	regulatory regime	regulatory regime	regulatory regime	regulatory regime	regulatory regime	regulatory regime
155	regulatory requirement	regulatory requirement	regulatory requirement	regulatory requirement	regulatory requirement	▁142
156	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking
157	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability
158	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard
159	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan
160	hkma	hkma	hkma	hkma	hkma	hkma
161	banking system	banking sector	banking system	banking sector	banking system	banking sector
162	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	▁218
163	banking system	banking system	banking system	banking system	banking system	banking sector
164	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
165	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume
166	central bank	central bank	central bank	central bank	central bank	central bank
167	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system
168	hkma	hkma	hkma	hkma	hkma	hkma
169	financial technology	fintech	financial technology	fintech	financial technology	fintech
170	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem
171	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	▁32
172	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area
173	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business
174	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
175	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
176	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management
177	hkma	hkma	hkma	hkma	hkma	hkma
178	reserve management	▁1	reserve management	reserve management	reserve management	reserve management
179	return	return	return	return	return	▁53
180	investment income	investment income	investment income	investment income	investment income	investment income
181	investment category	investment category	investment category	investment category	investment category	investment category
182	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return
183	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return
184	▔	return	▔	return	▔	▁53
185	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification
186	hkma	hkma	hkma	hkma	hkma	hkma
187	institutional functions	institutional functions	institutional functions	institutional functions	institutional functions	▁121
188	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
189	strict	strict	strict	strict	strict	▁52
190	professional capability	professional competencies	professional capability	professional capability	professional capability	▁80
191	information technology capability	information technology capability	information technology capability	information technology capability	information technology capability	▁196
192	hkma	hkma	hkma	hkma	hkma	hkma
193	sustainable institution	sustainable institution	sustainable institution	sustainable institution	sustainable institution	▁45
194	covid	covid	covid	covid	covid	covid
195	corporate social responsibility	corporate social responsibility	corporate social responsibility	corporate social responsibility	corporate social responsibility	corporate social responsibility
196	hkma	hkma	hkma	hkma	hkma	hkma
197	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability
198	exchange fund bills	exchange fund bills	exchange fund bills	exchange fund bills	exchange fund bills	exchange fund bills
199	covid	covid	covid	covid	covid	covid
200	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
201	hkma	hkma	hkma	hkma	hkma	hkma
202	interbank market	interbank market	interbank market	interbank market	interbank market	interbank market
203	license bank	license bank	license bank	license bank	license bank	license bank
204	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
205	liquidity facility	liquidity facility	liquidity facility	liquidity facility	liquidity facility	liquidity facility
206	us dollar liquidity facility	us dollar liquidity facility	us dollar liquidity facility	us dollar liquidity facility	us dollar liquidity facility	us dollar liquidity facility
207	us dollar interbank lending market	us dollar interbank lending market	us dollar interbank lending market	us dollar interbank lending market	us dollar interbank lending market	▁167
208	hkma	hkma	hkma	hkma	hkma	hkma
209	primary liquidity provider	primary liquidity provider	primary liquidity provider	primary liquidity provider	primary liquidity provider	▁0
210	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
211	hkma	hkma	hkma	hkma	hkma	hkma
212	offshore renminbi market	offshore renminbi market	offshore renminbi market	offshore renminbi market	offshore renminbi market	offshore renminbi market
213	person 's 's bank of china	person 's 's bank of china	person 's 's bank of china	person 's 's bank of china	person 's 's bank of china	person 's 's bank of china
214	bank china ( )	bank china ( )	bank china ( )	bank china ( )	bank china ( )	▁4
215	bank	bank	bank	pboc	bank	pboc
216	currency swap agreement	currency swap agreement	currency swap agreement	currency swap agreement	currency swap agreement	currency swap agreement
217	hkma	hkma	hkma	hkma	hkma	hkma
218	banking system	banking system	banking system	banking system	banking system	banking sector
219	facilitation measure	facilitation measure	facilitation measure	facilitation measure	facilitation measure	▁17
220	▔	▁0	▔	authority	▔	▁18
221	insurance authority	insurance authority	insurance authority	insurance authority	insurance authority	insurance authority
222	insurance product	insurance product	insurance product	insurance product	insurance product	insurance product
223	sandbox	sandbox	sandbox	sandbox	sandbox	▁126
224	sandbox scheme	sandbox scheme	sandbox scheme	sandbox scheme	sandbox scheme	▁127
225	hkma	hkma	hkma	hkma	hkma	hkma
226	non-face channel	non-face channel	non-face channel	non-face channel	non-face channel	▁228
227	countercyclical capital buffer	countercyclical capital	countercyclical capital buffer	countercyclical capital	countercyclical capital buffer	countercyclical capital buffer
