	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	總裁 發言	總裁 發言	總裁 發言	總裁 發言	總裁 發言	▁62
1	新冠病毒	新冠病毒	新冠病毒	新冠疫情	新冠病毒	新冠病毒
2	營運韌性	營運韌性	營運韌性	營運韌性	營運韌性	▁388
3	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
4	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢
5	全球金融狀況	全球金融狀況	全球金融狀況	全球金融狀況	全球金融狀況	全球金融狀況
6	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈
7	通膨壓力	通膨壓力	通膨壓力	通膨壓力	通膨壓力	▁288
8	變種	變種	變種	變種	變種	▁355
9	疫情	疫情	疫情	疫情	疫情	疫情
10	營運韌性	營運韌性	營運韌性	韌性	營運韌性	▁454
11	新冠疫苗	新冠病毒	新冠疫苗	新冠疫情	新冠疫苗	新冠病毒
12	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗
13	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	▁235
14	香港經濟	香港經濟	香港經濟	香港經濟	香港經濟	香港經濟
15	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策
16	▔	疫情	▔	疫情	▔	疫情
17	困 措施	困 措施	困 措施	紓困措施	困 措施	紓困措施
18	疫苗接種計畫	疫苗接種計畫	疫苗接種計畫	疫苗接種計畫	疫苗接種計畫	▁525
19	金融科技	金融科技	金融科技	金融科技	金融科技	金融科技
20	香港 門戶 的	香港 門戶 的	香港 門戶 的	香港 門戶 的	香港 門戶 的	▁260
21	內地	內地	內地	內地	內地	內地
22	內地市場機遇	內地市場機遇	內地市場機遇	內地市場機遇	內地市場機遇	內地市場機遇
23	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定
24	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定
25	綠色金融	綠色金融	綠色金融	綠色金融	綠色金融	綠色金融
26	策略優先領域	策略優先領域	策略優先領域	策略優先領域	策略優先領域	▁493
27	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
28	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
29	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系
30	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
31	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
32	新冠疫情	新冠病毒	新冠疫情	新冠疫情	新冠疫情	新冠病毒
33	新冠疫情	新冠疫情	新冠疫情	19 疫情	新冠疫情	▁100
34	香港金融體系	香港金融體系	香港金融體系	香港金融體系	香港金融體系	香港金融體系
35	▔	▁23	▔	▁21	▔	▁321
36	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
37	美國收緊貨幣政策	美國收緊貨幣政策	美國收緊貨幣政策	美國收緊貨幣政策	美國收緊貨幣政策	美國收緊貨幣政策
38	匯率及貨幣市場	匯率及貨幣市場	匯率及貨幣市場	匯率及貨幣市場	匯率及貨幣市場	▁171
39	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
40	貨幣市場	貨幣市場	貨幣市場	貨幣市場	貨幣市場	貨幣市場
41	疫情	疫情	疫情	疫情	疫情	疫情
42	對外部門報告	對外部門報告	對外部門報告	對外部門報告	對外部門報告	對外部門報告
43	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
44	▔	▁23	▔	▁21	▔	▁321
45	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備
46	財政框架	財政框架	財政框架	財政框架	財政框架	▁203
47	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	▁427
48	全面地分析	全面地分析	全面地分析	全面地分析	全面地分析	▁83
49	數據分析	數據分析	數據分析	數據分析	數據分析	數據分析
