	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	covid	covid	covid	covid	covid	covid
1	▔	▁16	▔	macroeconomic environment	▔	economic environment
2	monetary tightening policy	monetary tightening policy	monetary tightening policy	monetary tightening policy	monetary tightening policy	▁90
3	inflationary pressure	inflationary pressure	inflationary pressure	inflationary pressure	inflationary pressure	inflationary pressure
4	financial market	financial market	financial market	financial market	financial market	financial market
5	anti measure	anti measure	anti measure	anti measure	anti measure	anti measure
6	anti measure and quarantine restriction	anti measure and quarantine restriction	anti measure and quarantine restriction	anti measure and quarantine restriction	anti measure and quarantine restriction	▁110
7	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit
8	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022
9	annual report 2022	annual report 2022	annual report 2022	annual report 2022	annual report 2022	annual report 2022
10	sustainable organisation	sustainable organisation	sustainable organisation	sustainable organisation	sustainable organisation	sustainable organisation
11	sustainability report	sustainability report	sustainability report	sustainability report	sustainability report	sustainability report
12	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
13	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance	green and sustainable finance hub	green and sustainable finance hub
14	responsible investor	responsible investor	responsible investor	responsible investment	responsible investor	responsible investment
15	responsible investor	responsible investor	responsible investor	responsible investor	responsible investor	responsible investor
16	banking stability	banking stability	banking stability	banking system stability	banking stability	banking stability
17	exchange rate	exchange rate	exchange rate	exchange rate	exchange rate	exchange value
18	dollar	dollar	dollar	$	dollar	hkd
19	us federal reserve	us federal reserve	us federal reserve	us federal reserve	us federal reserve	us federal reserve
20	▔	▁17	▔	▁11	▔	▁85
21	lers	lers	lers	lers	lers	lers
22	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve
23	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
24	fund	fund	fund	fund	fund	imf
25	external sector report	external sector report	external sector report	external sector report	external sector report	external sector report
26	lers	lers	lers	lers	lers	lers
27	social media	social media	social media	media	social media	▁38
28	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance
29	lers	lers	lers	lers	lers	lers
30	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement
31	liquidity	liquidity	liquidity	liquidity	liquidity	▁64
32	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio
33	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
34	adequacy ratio	adequacy ratio	adequacy ratio	adequacy ratio	adequacy ratio	▁94
35	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
36	sound operation	sound operation	sound operation	operational resilience	sound operation	operational resilience
37	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management	▁11
38	voluntary partial repayment option	voluntary partial repayment option	voluntary partial repayment option	voluntary partial repayment option	voluntary partial repayment option	voluntary partial repayment option
39	partial repayment option	partial repayment option	partial repayment option	partial principal repayment option	partial repayment option	partial principal repayment arrangement
40	stress	stress	stress	stress	stress	stress
41	▔	▁9	▔	▁5	▔	annuity
42	▔	▁11	▔	▁7	▔	▁46
43	liquidity	liquidity	liquidity	liquidity	liquidity	▁64
44	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance
45	operational resilience	sound operation	operational resilience	operational resilience	operational resilience	operational resilience
46	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
47	operational and cyber resilience	operational and cyber resilience	operational and cyber resilience	operational resilience and cyber defence capability	operational and cyber resilience	operational and cyber resilience
48	mainland account	mainland account	mainland account	mainland account	mainland account	mainland account
49	branch and self facility	branch and self facility	branch and self facility	branch and self facility	branch and self facility	branch and self facility
50	practitioner	practitioner	practitioner	practitioner	practitioner	practitioner
51	upskilling and reskilling	upskilling and reskilling	upskilling and reskilling	upskilling and reskilling	upskilling and reskilling	upskilling and reskilling
52	capacity building	capacity building	capacity building	capacity building	capacity building	capacity building
53	connecting talent to the future	connecting talent to the future	connecting talent to the future	connecting talent to the future	connecting talent to the future	connecting talent to the future
54	no . 8 typhoon signal	no . 8 typhoon signal	no . 8 typhoon signal	no . 8 typhoon signal	no . 8 typhoon signal	no . 8 typhoon signal
55	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit
56	▔	▁19	▔	group	▔	group
57	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022	sustainability report 2022
58	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity
59	sustainability report	sustainability report	sustainability report	sustainability report	sustainability report	sustainability report
60	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
61	financial technology application assessment	financial technology application assessment	financial technology application assessment	financial technology application assessment	financial technology application assessment	▁103
62	three approach	three approach	three approach	three approach	three approach	three approach
63	multi-cbdc	multi-cbdc	multi-cbdc	multi-cbdc	multi-cbdc	multi-cbdc
64	multi-cbdc project	multi-cbdc project	multi-cbdc project	multi-cbdc project	multi-cbdc project	▁37
65	e-cny	e-cny	e-cny	e-cny	e-cny	e-cny
66	e-cny wallet	e-cny wallet	e-cny wallet	e-cny wallet	e-cny wallet	e-cny wallet
67	e-hkd	e-hkd	e-hkd	cyberport	e-hkd	cyberport
68	e-hkd	e-hkd	e-hkd	e-hkd	e-hkd	e-hkd
69	e-hkd	dollar	e-hkd	$	e-hkd	hkd
70	▔	▁15	▔	▁10	▔	▁76
71	cross transaction	cross transaction	cross transaction	cross transaction	cross transaction	cross transaction
72	retail front	retail front	retail front	retail front	retail front	retail front
73	▔	▁2	▔	sme	▔	sme
74	sme loan	sme loan	sme loan	sme lending	sme loan	sme loan
75	small and medium enterprise	small and medium enterprise	small and medium enterprise	small and medium enterprise	small and medium enterprise	small and medium enterprise
76	consent common datum infrastructure	consent common datum infrastructure	consent common datum infrastructure	consent common datum infrastructure	consent common datum infrastructure	▁7
77	$	dollar	$	$	$	hkd
78	public consultation	public consultation	public consultation	public consultation	public consultation	public consultation
79	fiat currency	fiat currency	fiat currency	fiat currency	fiat currency	fiat currency
80	regulatory regime	regulatory regime	regulatory regime	regulatory regime	regulatory regime	regulatory regime
81	stablecoin	stablecoin	stablecoin	stablecoin	stablecoin	stablecoin
82	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
83	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity	mainland opportunity
84	and kong	and kong	and kong	mainland and hong kong	and kong	mainland and hong kong
85	covid	covid	covid	covid	covid	covid
86	liquidity	liquidity	liquidity	liquidity	liquidity	▁64
87	liquidity	liquidity	liquidity	liquidity condition	liquidity	liquidity condition
88	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
89	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability	monetary stability
90	exchange rate	exchange rate	exchange rate	exchange rate	exchange rate	exchange value
91	and currency market	and currency market	and currency market	and currency market	and currency market	▁32
92	hong	dollar	hong	$	hong	hkd
93	reserve management	reserve management	reserve management	reserve management	reserve management	reserve management
94	▔	▁5	▔	return	▔	return
95	multi fund	multi fund	multi fund	multi fund	multi fund	multi fund
96	investment return	investment return	investment return	investment return	investment return	investment return
97	asset class	asset class	asset class	asset class	asset class	asset class
98	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return
99	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return
100	return	▁5	return	return	return	return
101	responsible investment	responsible investor	responsible investment	responsible investment	responsible investment	responsible investment
