	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	bereich	bereich	bereich	bereich	bereich	▁125
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁131
2	teil|teilen	teil|teilen	teil|teilen	freigeben	teil|teilen	▁122
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁13
6	triggerbasieren	triggerbasieren	triggerbasieren	anweisung	triggerbasieren	▁142
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	konnektor	konnektorinstanzen	konnektor
8	kunde	kunde	kunde	kunde	kunde	▁35
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁135
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁38
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenpanel	seitenpanel	seitenpanel	seitenpanel	seitenpanel	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	aktivätsindikatoren	hauptindikator	▁66
14	anfrage	anfrage	anfrage	abfrage	anfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	bereich	bereich	bereich	bereich	▁125
17	konzerninternen	konzerninternen	konzerninternen	intercompanyen	konzerninternen	▁70
18	versionshistorei	versionshistorei	versionshistorei	verlauf	versionshistorei	verlauf
19	version	version	version	release	version	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	▁7
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	nbereinstimmungsschwellen	nbereinstimmungsschwellen	nbereinstimmungsschwellen	abschnitt	nbereinstimmungsschwellen	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	version	version	release	version	release
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherkontingent	speicherressourcen	speicherkontingent	speicherressourcen	speicherkontingent	▁131
29	speicherplatz	bereich	speicherplatz	bereich	speicherplatz	▁125
30	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	bereich	bereich	bereich	bereich	bereich	▁125
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁113
40	klauseltyp	klauseltyp	klauseltyp	typ|type|typus	klauseltyp	art
41	annahme	annahme	annahme	annahme	annahme	▁6
42	bereich	bereich	bereich	bereich	bereich	▁125
43	revision	revision	revision	revision	revision	▁112
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startzeitpunkt	startzeitpunkt	startzeitpunkt	bestand	startzeitpunkt	▁129
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁95
47	datenebenobjekten	datenebenobjekten	datenebenobjekten	datenebenobjekten	datenebenobjekten	▁73
48	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
49	bereich	bereich	bereich	bereich	bereich	▁125
50	skalentyp	klauseltyp	skalentyp	typ|type|typus	skalentyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungsübersichten	zusammenfassung	▁134
53	bereich	bereich	bereich	bereich	bereich	▁125
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	anweisung	triggerbasieren	anweisung	anweisung	anweisung	▁142
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	analyse	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁71
60	speicherplatz	bereich	speicherplatz	bereich	speicherplatz	▁125
61	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	konnektor	konnektorinstanzen	konnektor	konnektor	konnektor	konnektor
65	release	version	release	release	release	release
66	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁123
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁3
70	speicherallokation	speicherallokation	speicherallokation	allokationsschreiten	speicherallokation	▁10
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	version	version	version	release	version	release
73	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
74	bereich	bereich	bereich	bereich	bereich	▁125
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
