	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	platz
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁71
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	triggerbasieren	triggerbasieren	triggerbasieren	auslöser	triggerbasieren	auslöser
7	konnektor	konnektor	konnektor	cloud	konnektor	konnektor
8	kreditor	kreditor	kreditor	kunde	kreditor	▁19
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	belenngsindikatoren	hauptindikator	▁32
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	space	space	space	space	platz
17	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	unternehmensübergreifenden	buchungskreisübergreifen	▁36
18	release	release	release	aufbewahrungszeitraumen	release	verlauf
19	release	release	release	release	release	freigabe
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	release	release	release	release	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherkontingent	speicherressourcen	speicherkontingent	speicherressourcen	speicherkontingent	▁71
29	platz	space	platz	space	platz	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
34	space	space	space	space	space	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitraum	periode	periode	periode	periode
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁58
40	klauseltyp	klauseltyp	klauseltyp	art	klauseltyp	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	space	space	space	space	platz
43	revision	revision	revision	revision	revision	▁57
44	datenprovidern	datenprovider	datenprovidern	datenprovider	datenprovidern	datenanbieter
45	startzeitpunkt	startzeitpunkt	startzeitpunkt	startdatum	startzeitpunkt	▁69
