	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	bereich	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁121
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁11
6	triggerbasieren	triggerbasieren	triggerbasieren	anweisung	triggerbasieren	auslöser
7	connector	connector	connector	anschlussstecker	connector	▁31
8	kunde	kunde	kunde	kunde	kunde	▁34
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁125
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁37
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenpanel	seitenpanel	seitenpanel	seitenleisten	seitenpanel	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	aktitätsanzeigern	hauptindikator	▁64
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	raum	bereich	bereich	bereich	space
17	konzerninternen	konzerninternen	konzerninternen	intercompanyen	konzerninternen	▁68
18	versionshistorei	versionshistorei	versionshistorei	historie	versionshistorei	▁58
19	versionshistorei	versionshistorei	versionshistorei	veröffentlichung	versionshistorei	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	versionshistorei	version	veröffentlichung	version	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherkontingent	speicherressourcen	speicherkontingent	speicherressourcen	speicherkontingent	▁121
29	speicherplatz	raum	speicherplatz	bereich	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
34	space	raum	space	bereich	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁107
40	klauselart	klauselart	klauselart	typ|type|typus	klauselart	typ
41	annahme	annahme	annahme	annahme	annahme	▁5
42	bereich	raum	bereich	bereich	bereich	space
43	revision	revision	revision	revision	revision	▁106
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenanbieter
45	startzeitpunkt	startzeitpunkt	startzeitpunkt	startdatum	startzeitpunkt	▁119
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁91
47	datenebene	datenebene	datenebene	datenebene	datenebene	▁72
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	bereich	raum	space
50	skalentyp	klauselart	skalentyp	typ|type|typus	skalentyp	typ
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungsübersichten	zusammenfassung	▁124
53	bereich	raum	bereich	bereich	bereich	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	anweisung	triggerbasieren	anweisung	anweisung	anweisung	auslöser
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	client	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁69
60	bereich	raum	bereich	bereich	bereich	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	connectoren	connector	connectoren	anschlussstecker	connectoren	▁31
65	veröffentlichung	versionshistorei	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherallokation	speicherallokation	speicherallokation	allokationsschreiten	speicherallokation	▁7
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	version	versionshistorei	version	veröffentlichung	version	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
74	speicherplatz	raum	speicherplatz	bereich	speicherplatz	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	speicherplatz	raum	speicherplatz	bereich	speicherplatz	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	vorfall	vorfall	vorfall	vorfall	vorfall	▁62
84	geschäftsbezeichningen	geschäftsbezeichningen	geschäftsbezeichningen	geschäftsbezeichningen	geschäftsbezeichningen	▁20
