	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁30
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	desglose
7	agregar	agregar	agregar	añadir	agregar	agregar
8	cantidad	cantidad	cantidad	rango	cantidad	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incident	incident	incident	incidente	incident	▁54
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	amortización	amortización	amortización	amortización	amortización	▁95
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁75
22	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁22
24	horario	horario	horario	horario	horario	programación
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	▁28
27	pausa	pausa	pausa	pausar	pausa	▁62
28	uso	uso	uso	utilizar	uso	uso
29	planificación	horario	planificación	horario	planificación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	horario	programación	horario	programación	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁32
34	intervalo	cantidad	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁91
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁71
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	▔	▁3	▔	predeterminado	▔	▁37
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	▔	▁4	▔	▁3	▔	▁73
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	tarea	tarea	tarea	tarea	tarea
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁71
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completado	completado	completado	completado	▁28
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁78
56	programado	horario	programado	horario	programado	programación
57	trabajo	tarea	trabajo	tarea	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁32
59	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁71
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁83
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁46
63	cliente	cliente	cliente	cliente	cliente	▁32
64	generar	generar	generar	generar	generar	▁21
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁80
68	cambio	cambio	cambio	cambio	cambio	▁24
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predeterminado	▁3	predeterminado	predeterminado	predeterminado	▁37
74	anular	amortización	anular	amortización	anular	▁95
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁87
77	cliente	cliente	cliente	cliente	cliente	▁32
78	registros	registros	registros	registros	registros	▁70
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁52
80	rendimiento	rendimiento	rendimiento	ejecución	rendimiento	rendimiento
81	lista de tarea	lista de tarea	lista de tarea	lista	lista de tarea	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programación	horario	programación	horario	programación	programación
85	lista	lista de tarea	lista	lista	lista	lista de trabajo
86	agregar	agregar	agregar	añadir	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁10
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁10
90	socio	socio	socio	socio	socio	socio
91	incidente	incident	incidente	incidente	incidente	▁54
92	consumo	consumo	consumo	consumo	consumo	▁29
93	asignación	asignación	asignación	asignación	asignación	▁10
94	ensamblado	ensamblado	ensamblado	ensamblado	ensamblado	▁13
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁81
98	tarea	tarea	tarea	tarea	tarea	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	trabajo	tarea	trabajo	tarea	trabajo	tarea
102	activar	activar	activar	activar	activar	▁89
103	tipo	procedimiento	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁3	predeterminado	predeterminado	predeterminado	▁37
106	utilizar	uso	utilizar	utilizar	utilizar	uso
107	cuota	cuota	cuota	cuota	cuota	▁47
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁10
110	cliente	cliente	cliente	cliente	cliente	▁32
111	elemento	elemento	elemento	elemento	elemento	elemento
112	incidente	incident	incidente	incidente	incidente	▁54
113	▔	socio	▔	socio	▔	socio
114	tipo de producto	tipo de producto	tipo de producto	tipo de producto	tipo de producto	▁67
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	publicación	problema	problema
119	salida	salida	salida	salida	salida	▁61
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	uso	utilizar	utilizar	utilizar	uso
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	comprobando	revisión	▁25
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁23
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁53
127	ámbito	ámbito	ámbito	alcance	ámbito	alcance
128	utilizar	uso	utilizar	utilizar	utilizar	uso
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	necesidad	necesidad	necesidad	requisito	necesidad	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	▁20
135	tiempo	tiempo	tiempo	duración	tiempo	tiempo
136	horario	horario	horario	horario	horario	programación
137	fuente	origen	fuente	origen	fuente	fuente
138	uso	uso	uso	uso	uso	▁92
139	métrica	medida	métrica	medida	métrica	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	completado	completado	completado	completado	completado	▁27
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁16
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁65
148	paso proceso	paso proceso	paso proceso	etapa de proceso	paso proceso	paso de proceso
149	cronograma	horario	cronograma	horario	cronograma	programación
150	requisito	necesidad	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	comprobando	revisión	comprobando	comprobando	comprobando	▁25
153	suplementario	suplementario	suplementario	suplementario	suplementario	▁84
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	ejecución	rendimiento	ejecución	ejecución	ejecución	rendimiento
157	ejecución	ejecución	ejecución	ejecución	ejecución	ejecutar
158	añadir	agregar	añadir	añadir	añadir	agregar
159	botón	botón	botón	botón	botón	▁20
160	verifique	revisión	verifique	comprobando	verifique	▁25
161	lista de programación	lista de tarea	lista de programación	lista	lista de programación	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	basar	basar	basar	basar	basar	▁38
165	etapa de proceso	paso proceso	etapa de proceso	etapa de proceso	etapa de proceso	paso de proceso
166	▔	▁0	▔	▁0	▔	▁3
167	menú	menú	menú	menú	menú	▁64
168	socio	socio	socio	socio	socio	socio
169	añadir	agregar	añadir	añadir	añadir	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
174	asignación	asignación	asignación	asignación	asignación	▁10
175	asignación	asignación	asignación	asignación	asignación	▁10
176	rescisión	rescisión	rescisión	rescisión	rescisión	rescisión
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	▁93
178	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
179	origen	origen	origen	origen	origen	fuente
180	rango	cantidad	rango	rango	rango	intervalo
181	paso de proceso	paso proceso	paso de proceso	etapa de proceso	paso de proceso	paso de proceso
182	defecto	▁3	defecto	predeterminado	defecto	▁37
183	conjunto de elemento	conjunto de elemento	conjunto de elemento	conjunto de elemento	conjunto de elemento	▁56
184	explosión	explosión	explosión	explosión	explosión	desglose
185	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
186	lista	lista de tarea	lista	lista	lista	lista de trabajo
187	lista de trabajo	lista de tarea	lista de trabajo	lista	lista de trabajo	lista de trabajo
188	responsable dato	responsable dato	responsable dato	responsable dato	responsable dato	▁34
189	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente
190	tipo de vista	tipo de vista	tipo de vista	tipo de vista	tipo de vista	▁94
191	guardar	guardar	guardar	guardar	guardar	guardar
192	tarea	tarea	tarea	tarea	tarea	tarea
193	medida	medida	medida	medida	medida	medida
194	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
195	asignación	asignación	asignación	asignación	asignación	▁10
196	fase	fase	fase	fase	fase	fase
197	asignación	asignación	asignación	asignación	asignación	▁10
198	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
199	eliminar	eliminar	eliminar	eliminar	eliminar	▁72
200	añadir	agregar	añadir	añadir	añadir	agregar
201	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial
202	añadir	agregar	añadir	añadir	añadir	agregar
203	socio	socio	socio	socio	socio	socio
204	adquisición	adquisición	adquisición	adquisición	adquisición	▁6
205	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
206	elemento	elemento	elemento	elemento	elemento	elemento
207	clase	clase	clase	clase	clase	clase
208	inventario	inventario	inventario	inventario	inventario	▁55
209	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
210	temporal	tiempo	temporal	duración	temporal	tiempo
211	▔	▁2	▔	▁2	▔	▁36
212	launchpad	launchpad	launchpad	launchpad	launchpad	▁57
213	actualización	actualización	actualización	actualización	actualización	▁90
214	elemento	elemento	elemento	elemento	elemento	elemento
215	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
216	predeterminado	▁3	predeterminado	predeterminado	predeterminado	▁37
217	guardar	guardar	guardar	guardar	guardar	guardar
218	tipo	procedimiento	tipo	tipo	tipo	tipo
219	compartición	compartición	compartición	compartición	compartición	compartición
220	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
221	mosaico	guardar como	mosaico	guardar como	mosaico	guardar como
222	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
223	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁80
224	plantilla de rol	plantilla de rol	plantilla de rol	plantilla de rol	plantilla de rol	plantilla de rol
225	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
226	elemento	elemento	elemento	elemento	elemento	elemento
227	agregar	agregar	agregar	añadir	agregar	agregar
228	uso	uso	uso	uso	uso	▁92
229	endpoint	endpoint	endpoint	endpoint	endpoint	▁45
230	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
