	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁8
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	artículo
6	desglose	desglose	desglose	desglose	desglose	desglose
7	agregar	agregar	agregar	añadir	agregar	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	origen	origen	origen	origen	origen	fuente
10	modelo	modelo	modelo	plantilla	modelo	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	anulación
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	interlocutor
21	norma	norma	norma	norma	norma	▁23
22	restablecer	restablece	restablecer	restablecer	restablecer	anulación
23	tipo	tipo	tipo	tipo	tipo	tipo
24	programación	programación	programación	programación	programación	calendario
25	encabezado	editar	encabezado	editar	encabezado	editar
26	concluir	concluir	concluir	concluir	concluir	concluir
27	interrumper	interrumper	interrumper	detener	interrumper	detener
28	utilización	utilización	utilización	utilizar	utilización	uso
29	programación	programación	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programación	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁10
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁30
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	▔	programación	▔	programación	▔	calendario
42	guardar	guardar	guardar	guardar	guardar	guardar
43	▔	▁1	▔	predeterminado	▔	valor predeterminado
44	restablecer	restablece	restablecer	restablecer	restablecer	anulación
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	plantilla	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	trabajo	trabajo	tarea
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
