	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁30
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	desglose
7	añadir	añadir	añadir	agregar	añadir	agregar
8	rango	rango	rango	rango	rango	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicia	reinicia	reinicia	restablecer	reinicia	restablecer
14	añadir	añadir	añadir	agregar	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁52
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	amortización	amortización	amortización	amortización	amortización	▁89
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁72
22	restablecer	reinicia	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁25
24	horario	horario	horario	horario	horario	programación
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	completar
27	pausa	pausa	pausa	pausar	pausa	▁59
28	uso	uso	uso	utilizar	uso	uso
29	planificación	horario	planificación	horario	planificación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	cronograma	horario	cronograma	horario	cronograma	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁32
34	intervalo	rango	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁85
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁68
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	▔	▁1	▔	predeterminado	▔	▁36
44	restablecer	reinicia	restablecer	restablecer	restablecer	restablecer
45	▔	▁2	▔	▁1	▔	▁70
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	tarea	trabajo	tarea
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁68
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completado	completado	completado	completado	completar
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁76
56	programado	horario	programado	horario	programado	programación
57	trabajo	tarea	trabajo	tarea	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁32
59	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁68
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	funcionalidad	función	▁45
63	cliente	cliente	cliente	cliente	cliente	▁32
64	fuente	fuente	fuente	fuente	fuente	▁24
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁78
68	cambio	cambio	cambio	cambio	cambio	▁27
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	agregar	añadir	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinido	▁1	predefinido	predeterminado	predefinido	▁36
74	bajo	amortización	bajo	amortización	bajo	▁89
75	medida	medida	medida	medida	medida	indicador
76	transacción	transacción	transacción	transacción	transacción	▁83
77	cliente	cliente	cliente	cliente	cliente	▁32
78	registros	registros	registros	registros	registros	▁67
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁50
80	rendimiento	rendimiento	rendimiento	desempeño	rendimiento	rendimiento
81	lista de tarea	lista de tarea	lista de tarea	lista	lista de tarea	▁88
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	horario	horario	horario	horario	horario	programación
85	lista	lista de tarea	lista	lista	lista	▁88
86	añadir	añadir	añadir	agregar	añadir	agregar
87	asignación	asignación	asignación	asignación	asignación	▁11
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁11
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁52
92	consumo	consumo	consumo	consumo	consumo	▁29
93	asignación	asignación	asignación	asignación	asignación	▁11
94	ensamblado	ensamblado	ensamblado	ensamblado	ensamblado	▁14
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	ordenación	ordenación	ordenación	ordenación	ordenación	▁79
98	tarea	tarea	tarea	tarea	tarea	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	tarea	tarea	tarea	tarea	tarea	tarea
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	sector	procedimiento	sector	tipo	sector	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	▁36
106	utilizar	uso	utilizar	utilizar	utilizar	uso
107	cuota	cuota	cuota	cuota	cuota	▁46
108	confirmación servicio	confirmación servicio	confirmación servicio	confirmación de servicio	confirmación servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁11
110	cliente	cliente	cliente	cliente	cliente	▁32
111	elemento	elemento	elemento	elemento	elemento	elemento
112	incidente	incidente	incidente	incidente	incidente	▁52
113	▔	socio	▔	socio	▔	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁63
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	emisión	problema	problema
119	salida	salida	salida	salida	salida	▁58
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	uso	utilizar	utilizar	utilizar	uso
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	revisión	revisión	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁26
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁51
127	ámbito	ámbito	ámbito	ámbito	ámbito	▁75
128	utilizar	uso	utilizar	utilizar	utilizar	uso
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	necesidad	necesidad	necesidad	requisito	necesidad	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	botón
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	calendario	horario	calendario	horario	calendario	programación
137	origen	origen	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	▁86
139	indicador	medida	indicador	medida	indicador	indicador
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	indicador
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	completo	completo	completo	completar	completo	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁20
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁61
148	paso proceso	paso proceso	paso proceso	paso de proceso	paso proceso	paso de proceso
149	planificación	horario	planificación	horario	planificación	programación
150	requisito	necesidad	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	indicador
152	verificar	revisión	verificar	revisión	verificar	verificar
153	suplementario	suplementario	suplementario	suplementario	suplementario	▁80
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	desempeño	rendimiento	desempeño	desempeño	desempeño	rendimiento
157	ejecutas	ejecutas	ejecutas	ejecutar	ejecutas	ejecutar
158	agregar	añadir	agregar	agregar	agregar	agregar
159	botón	botón	botón	botón	botón	botón
160	verifique	revisión	verifique	revisión	verifique	verificar
161	lista de tarea	lista de tarea	lista de tarea	lista	lista de tarea	▁88
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	basar	basar	basar	basar	basar	▁37
165	paso de proceso	paso proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁3
167	menú	menú	menú	menú	menú	▁60
168	socio	socio	socio	socio	socio	socio
169	agregar	añadir	agregar	agregar	agregar	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
174	asignación	asignación	asignación	asignación	asignación	▁11
175	asignación	asignación	asignación	asignación	asignación	▁11
176	rescisión	rescisión	rescisión	rescisión	rescisión	rescisión
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso
178	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
179	origen	origen	origen	origen	origen	fuente
180	rango	rango	rango	rango	rango	intervalo
181	paso de proceso	paso proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
182	defecto	▁1	defecto	predeterminado	defecto	▁36
183	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición
184	explosión	explosión	explosión	explosión	explosión	desglose
185	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
186	lista de programación	lista de tarea	lista de programación	lista	lista de programación	▁88
187	lista	lista de tarea	lista	lista	lista	▁88
188	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento	responsable de tratamiento
189	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente
190	tipo de vista	tipo de vista	tipo de vista	tipo de vista	tipo de vista	▁87
191	guardar	guardar	guardar	guardar	guardar	guardar
192	tarea	tarea	tarea	tarea	tarea	tarea
193	medida	medida	medida	medida	medida	indicador
194	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
195	asignación	asignación	asignación	asignación	asignación	▁11
196	fase	fase	fase	fase	fase	fase
197	asignación	asignación	asignación	asignación	asignación	▁11
198	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
199	eliminar	eliminar	eliminar	eliminar	eliminar	▁69
200	añadir	añadir	añadir	agregar	añadir	agregar
201	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial	actividad empresarial
202	agregar	añadir	agregar	agregar	agregar	agregar
203	socio	socio	socio	socio	socio	socio
204	adquisición	adquisición	adquisición	adquisición	adquisición	▁6
205	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
206	elemento	elemento	elemento	elemento	elemento	elemento
207	clase	clase	clase	clase	clase	clase
208	inventario	inventario	inventario	inventario	inventario	▁53
209	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
210	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
211	▔	▁0	▔	▁0	▔	▁35
212	launchpad	launchpad	launchpad	launchpad	launchpad	▁54
213	actualización	actualización	actualización	actualización	actualización	▁84
214	elemento	elemento	elemento	elemento	elemento	elemento
215	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
216	predeterminado	▁1	predeterminado	predeterminado	predeterminado	▁36
217	guardar	guardar	guardar	guardar	guardar	guardar
218	ejecución	procedimiento	ejecución	tipo	ejecución	tipo
219	compartición	compartición	compartición	compartición	compartición	compartición
220	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
221	mosaico	guardar como	mosaico	guardar como	mosaico	guardar como
222	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
223	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁78
224	plantilla de rol	plantilla de rol	plantilla de rol	plantilla	plantilla de rol	plantilla de rol
225	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
226	artículo	elemento	artículo	elemento	artículo	elemento
227	agregar	añadir	agregar	agregar	agregar	agregar
228	uso	uso	uso	uso	uso	▁86
229	punto	punto	punto	punto	punto	▁44
