	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁67
1	контракт	контракт	контракт	контракт	контракт	контракт
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁89
4	обновление	обновление	обновление	обновить	обновление	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	▁56
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	публичный	публичный	▁75
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	входной	входной	входной	входной	входной	▁56
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁71
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	акт	акт	акт	акт	акт	▁80
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	входной	входной	входной	входной	входной	▁56
25	результат	результат	результат	вывод	результат	вывод
26	выставление	выставление	выставление	выставление	выставление	▁15
27	разбор	разбор	разбор	разбор	разбор	▁46
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	тип
31	контрактный	контракт	контрактный	контракт	контрактный	контракт
32	область	область	область	область	область	▁95
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁1	▔	сопоставление	▔	сопоставление
35	обзор	обзор	обзор	сводка	обзор	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁50
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	спейс	место	спейс	пространство	спейс	пространство
40	расписание	расписание	расписание	расписание	расписание	запланировать
41	дать	входной	дать	входной	дать	▁56
42	запись услуга	запись услуга	запись услуга	запись услуга	запись услуга	▁97
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	период	интервал	период	интервал	период	интервал
46	входной	входной	входной	входной	входной	▁56
47	тип	тип	тип	тип	тип	тип
48	расписание	расписание	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
50	период хранение	период хранение	период хранение	период пребывание	период хранение	▁84
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁105
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁1	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁41
57	пометить	пометить	пометить	пометить	пометить	▁106
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁67
62	период пребывание	период хранение	период пребывание	период пребывание	период пребывание	▁84
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁14
67	копировать	копировать	копировать	копировать	копировать	▁32
68	начисление	начисление	начисление	начисление	начисление	▁4
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁114
71	тип	тип	тип	тип	тип	тип
72	график	расписание	график	расписание	график	запланировать
73	▔	тип	▔	тип	▔	тип
74	выходной	результат	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁56
76	тип	тип	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	распределение
78	контракт	контракт	контракт	контракт	контракт	контракт
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁35
81	вход	входной	вход	входной	вход	▁56
82	▔	▁0	▔	▁	▔	▁59
83	пространство	место	пространство	пространство	пространство	пространство
84	начисление	начисление	начисление	начисление	начисление	▁4
85	срок они нахождение	период хранение	срок они нахождение	период пребывание	срок они нахождение	▁84
86	контракт	контракт	контракт	контракт	контракт	контракт
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	▁32
89	расписание	расписание	расписание	расписание	расписание	запланировать
90	начисление	начисление	начисление	начисление	начисление	▁4
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист регистрация услуга	запись услуга	лист регистрация услуга	запись услуга	лист регистрация услуга	▁97
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	расписание	расписание	расписание	расписание	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁68
98	содержимое	содержимое	содержимое	содержание	содержимое	▁29
99	настройка	настройка	настройка	настройка	настройка	▁98
100	поток	поток	поток	поток	поток	▁108
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁70
