	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁63
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁87
4	обновить	обновить	обновить	обновить	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	▁52
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁72
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	входной	входной	входной	входной	входной	▁52
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁68
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	нормативный	нормативный	нормативный	нормативный	нормативный	▁77
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	▔	входной	▔	входной	▔	▁52
25	результат	результат	результат	вывод	результат	вывод
26	выставление	выставление	выставление	выставление	выставление	▁15
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁42
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	контрактный	контракт	контрактный	контракт	контрактный	договор
32	область	область	область	область	область	▁93
33	add-on	add-on	add-on	add-on	add-on	▁6
34	▔	▁1	▔	сопоставление	▔	сопоставление
35	обзор	обзор	обзор	сводка	обзор	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁46
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	расписание	расписание	расписание
41	дать	входной	дать	входной	дать	▁52
42	лист запись обслуживание	лист запись обслуживание	лист запись обслуживание	лист ввод сервисный	лист запись обслуживание	▁95
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	диапазон	▔	интервал
46	входной	входной	входной	входной	входной	▁52
47	тип	тип	тип	тип	тип	вид
48	расписание	расписание	расписание	расписание	расписание	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁31
50	период хранение	период хранение	период хранение	период пребывание	период хранение	▁82
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁103
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁1	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁38
57	пометить	пометить	пометить	пометить	пометить	▁104
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁63
62	период пребывание	период хранение	период пребывание	период пребывание	период пребывание	▁82
63	часть	часть	часть	часть	часть	▁64
64	интервал	диапазон	интервал	диапазон	интервал	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁14
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	разграничение	разграничение	разграничение	начисление	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	▁112
71	тип	тип	тип	тип	тип	вид
72	расписание	расписание	расписание	расписание	расписание	расписание
73	▔	тип	▔	тип	▔	вид
74	выходной	результат	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁52
76	тип	тип	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	распределение
78	контракт	контракт	контракт	контракт	контракт	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	▁32
81	вход	входной	вход	входной	вход	▁52
82	▔	▁0	▔	▁	▔	▁55
83	пространство	место	пространство	пространство	пространство	пространство
84	начисление	разграничение	начисление	начисление	начисление	разграничение
85	срок пребывание данные	период хранение	срок пребывание данные	период пребывание	срок пребывание данные	▁82
86	контракт	контракт	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	расписание	расписание	расписание	расписание	расписание	расписание
90	начисление	разграничение	начисление	начисление	начисление	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод сервисный	лист запись обслуживание	лист ввод сервисный	лист ввод сервисный	лист ввод сервисный	▁95
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	расписание	расписание	расписание	расписание	расписание
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
98	содержимое	содержимое	содержимое	содержание	содержимое	▁29
99	настроить	настроить	настроить	настроить	настроить	▁96
