	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	lagerressourcen	lagerressourcen	lagerressourcen	lagerressourcen	lagerressourcen	▁169
2	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	teilnehmen	▔ertrat<sos>	▁158
3	beschränkung	beschränkung	beschränkung	beschränkung	beschränkung	▁48
4	schaffen	schaffen	schaffen	▔ertrat<sos>	schaffen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁18
6	trigger	trigger	trigger	trigger	trigger	▁189
7	anschluss	anschluss	anschluss	anschluss	anschluss	▁47
8	kunde	kunde	kunde	ioon	kunde	▁52
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁176
10	demand	demand	demand	demand	demand	▁58
11	schaffen	schaffen	schaffen	▔ertrat<sos>	schaffen	erstellen
12	seitenkapelle	seitenkapelle	seitenkapelle	▔ertrat<sos>	seitenkapelle	▁159
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	query	query	query	frage	query	▁131
15	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter
16	raum	raum	raum	raum	raum	space
17	interunternehmen	interunternehmen	interunternehmen	▔ertrat<sos>	interunternehmen	▁90
18	freigabe	freigabe	freigabe	freigabe	freigabe	▁81
19	freigabe	freigabe	freigabe	veröffentlichung	freigabe	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	▁54
21	datenzugang	datenzugang	datenzugang	datensicherung	datenzugang	▁10
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	▁54
23	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁154
24	anbieter	▔ertrat<sos>	anbieter	anbieter	anbieter	anbieter
25	anbieter	▔ertrat<sos>	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	freigabe	veröffentlichung	veröffentlichung	veröffentlichung	release
27	zuordnen	zuordnen	zuordnen	produktweisingen	zuordnen	▁20
28	speicherkapazität	lagerressourcen	speicherkapazität	lagerressourcen	speicherkapazität	▁169
29	gelände	raum	gelände	raum	gelände	space
30	vorjahr	vorjahr	vorjahr	stunde	vorjahr	▁121
31	provider	datenanbieter	provider	datenanbieter	provider	▁54
32	cricinfo	schaffen	cricinfo	▔ertrat<sos>	cricinfo	erstellen
33	provider	datenanbieter	provider	datenanbieter	provider	▁54
34	weltraum	raum	weltraum	raum	weltraum	space
35	anbieter	datenanbieter	anbieter	datenanbieter	anbieter	▁54
36	konsummodell	konsummodell	konsummodell	konsummodell	konsummodell	▁49
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	stunde	vorjahr	stunde	stunde	stunde	▁121
39	wurfwegen	wurfwegen	wurfwegen	wurfwegen	wurfwegen	▁147
