	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raumschiff	raumschiff	raumschiff	space	raumschiff	platz
1	speicherressourcen	speicherressourcen	speicherressourcen	speicher	speicherressourcen	speicher
2	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	freigeben
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	bremser	bremser	bremser	auslöser	bremser	auslöser
7	konnektor	konnektor	konnektor	konnektor	konnektor	konnektor
8	kreditgeber	kreditgeber	kreditgeber	customer	kreditgeber	customer
9	kreditgeber	kreditgeber	kreditgeber	kreditgeber	kreditgeber	▁48
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	indikator	indikator	indikator	indikator	indikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	raumschiff	space	space	space	platz
17	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend	unternehmensübergreifen	buchungskreisübergreifend	buchungskreisübergreifend
18	verlauf	verlauf	verlauf	verlauf	verlauf	verlauf
19	freigabe	freigabe	freigabe	release	freigabe	freigabe
20	datenanbietung	datenanbietung	datenanbietung	datenanbieter	datenanbietung	▁12
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	▔ertrat<sos>	datenanbietung	▔ertrat<sos>	datenanbieter	▔ertrat<sos>	▁12
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	freigabe	release	release	release	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicher	speicherressourcen	speicher	speicher	speicher	speicher
29	platz	raumschiff	platz	space	platz	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
32	datenblatten	erstellen	datenblatten	erstellen	datenblatten	anlegen
33	datenvermittlingen	datenanbietung	datenvermittlingen	datenanbieter	datenvermittlingen	▁12
34	weltraum	raumschiff	weltraum	space	weltraum	platz
35	datenanbieters	datenanbietung	datenanbieters	datenanbieter	datenanbieters	▁12
36	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitraum	periode	periode	periode	periode
39	stamm	stamm	stamm	stamm	stamm	stamm
40	art	art	art	typ	art	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	raumschiff	space	space	space	platz
43	überarbeiten	überarbeiten	überarbeiten	überarbeiten	überarbeiten	▁41
44	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
45	start	start	start	start	start	start
46	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum
47	schicht	schicht	schicht	layer	schicht	layer
48	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
49	space	raumschiff	space	space	space	platz
50	wert	art	wert	typ	wert	art
51	zeitplan	zeitplan	zeitplan	terminplan	zeitplan	dokument
52	übersicht	übersicht	übersicht	zusammenfassung	übersicht	zusammenfassung
53	weltraum	raumschiff	weltraum	space	weltraum	platz
54	berichtnnsfristen	berichtnnsfristen	berichtnnsfristen	bericht	berichtnnsfristen	bericht
55	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	verbrauchsmodell
56	auslöser	bremser	auslöser	auslöser	auslöser	auslöser
57	orden	orden	orden	auftrag	orden	auftrag
58	client	client	client	client	client	client
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁28
60	raum	raumschiff	raum	space	raum	platz
61	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
62	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	▁49
63	provider	provider	provider	provider	provider	anbieter
64	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor
65	release	freigabe	release	release	release	freigabe
66	befehl	befehl	befehl	befehl	befehl	▁42
67	provider	provider	provider	provider	provider	anbieter
68	datenvermittlingen	datenanbietung	datenvermittlingen	datenanbieter	datenvermittlingen	▁12
69	menü	menü	menü	menü	menü	menü
70	zuordnung	zuordnung	zuordnung	verrechnung	zuordnung	verrechnung
71	datenvermittler	datenanbietung	datenvermittler	datenanbieter	datenvermittler	▁12
72	veröffentlichung	freigabe	veröffentlichung	release	veröffentlichung	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
74	platz	raumschiff	platz	space	platz	platz
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
77	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
78	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
79	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
80	space	raumschiff	space	space	space	platz
81	klickpfaden	klickpfaden	klickpfaden	klickpfaden	klickpfaden	▁6
82	provider	provider	provider	provider	provider	anbieter
83	meldung	meldung	meldung	meldung	meldung	meldung
84	betriebswirtschaftlichern name	betriebswirtschaftlichern name	betriebswirtschaftlichern name	betriebswirtschaftlich name	betriebswirtschaftlichern name	betriebswirtschaftlichern name
85	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz
86	residenzzeien	residenzzeien	residenzzeien	residenzzeien	residenzzeien	residenzzeien
87	auslöser	bremser	auslöser	auslöser	auslöser	auslöser
88	identifikatorisch	identifikatorisch	identifikatorisch	identifikatorisch	identifikatorisch	▁24
89	identifikatorisch	identifikatorisch	identifikatorisch	identifikatorisch	identifikatorisch	▁0
90	start	start	start	start	start	start
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	artikel	element	artikel
94	mindest	mindest	mindest	mindest	mindest	mindest
95	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
96	space	raumschiff	space	space	space	platz
97	weltraumdaten	raumschiff	weltraumdaten	space	weltraumdaten	platz
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	mindest	mindest	mindest	mindest	mindest	mindest
100	aktions	aktions	aktions	aktions	aktions	action
101	aktions	aktions	aktions	aktions	aktions	action
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	anforderung	anforderung	anforderung	kompliance	anforderung	compliance
104	datenvermittlingen	datenanbietung	datenvermittlingen	datenanbieter	datenvermittlingen	▁12
105	▔ertrat<sos>	freigabe	▔ertrat<sos>	release	▔ertrat<sos>	freigabe
106	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
107	privileg	art	privileg	typ	privileg	art
108	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor
109	space	raumschiff	space	space	space	platz
110	zeitplan	zeitplan	zeitplan	terminplan	zeitplan	dokument
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebnis	ergebnis	ergebnis	ergebnis	ergebnis	warengruppe
113	dienstleistung	dienstleistung	dienstleistung	dienst	dienstleistung	dienst
114	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
115	zuständig	zuweisen	zuständig	zuweisen	zuständig	zuweisen
116	platz	raumschiff	platz	space	platz	platz
117	unternehmensanalysen	unternehmensanalysen	unternehmensanalysen	analysen	unternehmensanalysen	▁26
118	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
119	raum	raumschiff	raum	space	raum	platz
120	speicher	speicherressourcen	speicher	speicher	speicher	speicher
121	freigeben	▔ertrat<sos>	freigeben	▔ertrat<sos>	freigeben	freigeben
122	release	freigabe	release	release	release	freigabe
123	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
124	datenbegrenzungen	datenbegrenzungen	datenbegrenzungen	einschränkung	datenbegrenzungen	einschränkung
125	snapshot	snapshot	snapshot	snapshot	snapshot	snapshot
126	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁27
127	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
128	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
129	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
130	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	verweis	▔ertrat<sos>	verweis
131	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
132	release	freigabe	release	release	release	freigabe
133	datum	datenanbietung	datum	datenanbieter	datum	▁12
134	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
135	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren
136	ressource	befehl	ressource	befehl	ressource	▁42
137	feedback	feedback	feedback	feedback	feedback	feedback
138	datenvermittlingen	datenanbietung	datenvermittlingen	datenanbieter	datenvermittlingen	▁12
139	einfügen	einfügen	einfügen	einfügen	einfügen	einfügen
140	tabelle	tabelle	tabelle	tabelle	tabelle	tabelle
141	analysen	unternehmensanalysen	analysen	analysen	analysen	▁26
142	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
143	space	raumschiff	space	space	space	platz
144	datum	datum	datum	personenbezogen datum	datum	personenbezogen datum
145	arbeitsplatzaufnehme	arbeitsplatz	arbeitsplatzaufnehme	arbeitsplatz	arbeitsplatzaufnehme	arbeitsplatz
146	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
147	release	freigabe	release	release	release	freigabe
148	space	raumschiff	space	space	space	platz
149	geschäftlich	geschäftlich	geschäftlich	geschäftlich	geschäftlich	geschäftlich
150	unternehmenssmodell	konsumsmodell	unternehmenssmodell	konsumsmodell	unternehmenssmodell	verbrauchsmodell
151	problem	problem	problem	problem	problem	problem
152	verbrauchsmodellen	konsumsmodell	verbrauchsmodellen	konsumsmodell	verbrauchsmodellen	verbrauchsmodell
153	beginn	start	beginn	start	beginn	start
154	namespacen	namespacen	namespacen	namespacen	namespacen	namespacen
155	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
156	job	job	job	job	job	job
157	raum	raumschiff	raum	space	raum	platz
158	weltraumdaten	raumschiff	weltraumdaten	space	weltraumdaten	platz
159	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	▁5
160	kontrakt	kontrakt	kontrakt	kontrakt	kontrakt	kontrakt
161	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	terminierungsklauseln	▔ertrat<sos>	▁40
162	datenanbieter	datenanbietung	datenanbieter	datenanbieter	datenanbieter	▁12
163	space	raumschiff	space	space	space	platz
164	platz	raumschiff	platz	space	platz	platz
165	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
166	einschlägig	datenbegrenzungen	einschlägig	einschränkung	einschlägig	einschränkung
167	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	transfer
168	terminierungsklauseln	▔ertrat<sos>	terminierungsklauseln	terminierungsklauseln	terminierungsklauseln	▁40
169	konzernmodellen	konsumsmodell	konzernmodellen	konsumsmodell	konzernmodellen	verbrauchsmodell
170	raum	raumschiff	raum	space	raum	platz
171	dienst	dienst	dienst	dienst	dienst	dienst
172	dienst	dienstleistung	dienst	dienst	dienst	dienst
173	verweis	▔ertrat<sos>	verweis	verweis	verweis	verweis
174	element	element	element	artikel	element	artikel
175	weltraumdankatken	raumschiff	weltraumdankatken	space	weltraumdankatken	platz
176	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
177	creator	creator	creator	creator	creator	creator
178	grafisch view	grafisch view	grafisch view	grafisch view	grafisch view	grafisch view
179	frage	problem	frage	problem	frage	problem
180	fenster	fenster	fenster	bereich	fenster	bereich
181	bucken	bucken	bucken	bucken	bucken	▁7
182	skript	skript	skript	skript	skript	skript
183	aktualisierungs	aktualisieren	aktualisierungs	aktualisieren	aktualisierungs	aktualisieren
184	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
185	space	raumschiff	space	space	space	platz
186	auslöser	bremser	auslöser	auslöser	auslöser	auslöser
187	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
188	crew	erstellen	crew	erstellen	crew	anlegen
189	arts	art	arts	typ	arts	art
190	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
191	nummer	orden	nummer	auftrag	nummer	auftrag
192	meldung	meldung	meldung	meldung	meldung	meldung
193	sitzung	sitzung	sitzung	sitzung	sitzung	sitzung
194	dokument	zeitplan	dokument	terminplan	dokument	dokument
195	beleg	beleg	beleg	beleg	beleg	beleg
196	terminplan	zeitplan	terminplan	terminplan	terminplan	dokument
197	diagramm	diagramm	diagramm	diagramm	diagramm	diagramm
198	freigabebescheinigehen	freigabe	freigabebescheinigehen	release	freigabebescheinigehen	freigabe
199	art	art	art	typ	art	art
200	beleg	beleg	beleg	beleg	beleg	beleg
201	überarbeitet	überarbeiten	überarbeitet	überarbeiten	überarbeitet	▁41
202	datenvermittlingen	datenanbietung	datenvermittlingen	datenanbieter	datenvermittlingen	▁12
203	benachrichrichreichen	benachrichrichreichen	benachrichrichreichen	benachrichrichreichen	benachrichrichreichen	benachrichtigung
204	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	transfer
205	eigen	erstellen	eigen	erstellen	eigen	anlegen
206	heimatseien	heimatseien	heimatseien	heimatseien	heimatseien	▁34
207	restreiken	datenbegrenzungen	restreiken	einschränkung	restreiken	einschränkung
208	über	über	über	über	über	über
209	compliance	anforderung	compliance	kompliance	compliance	compliance
210	tabellenansicht	tabellenansicht	tabellenansicht	kabeln view	tabellenansicht	tabellenansicht
211	weiterleitung	weiterleitung	weiterleitung	weiterführend	weiterleitung	weiterleitung
212	speichertyp	speichertyp	speichertyp	speichertyp	speichertyp	speichertyp
213	client	client	client	client	client	client
214	prüfung	prüfung	prüfung	prüfung	prüfung	prüfung
215	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	konsumsmodell	verbrauchsmodell
216	terminplan	zeitplan	terminplan	terminplan	terminplan	dokument
217	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
218	raum	raumschiff	raum	space	raum	platz
219	einsatz	einsatz	einsatz	einsatz	einsatz	einsatz
220	warteschlange	warteschlange	warteschlange	warteschlange	warteschlange	warteschlange
221	projekt	projekt	projekt	projekt	projekt	▁37
222	work	work	work	work	work	work
223	kunst	art	kunst	typ	kunst	art
224	artikel	element	artikel	artikel	artikel	artikel
225	aktions	aktions	aktions	aktions	aktions	action
226	aktions	aktions	aktions	aktions	aktions	action
227	terminplan	zeitplan	terminplan	terminplan	terminplan	dokument
228	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
229	unternehmensübergreifend	buchungskreisübergreifend	unternehmensübergreifend	unternehmensübergreifen	unternehmensübergreifend	buchungskreisübergreifend
230	nutzung	nutzung	nutzung	nutzung	nutzung	nutzung
231	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen
232	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen
233	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen
234	belegung	belegung	belegung	belegung	belegung	▁2
235	geschlossen	raumschiff	geschlossen	space	geschlossen	platz
236	typ|type|typus	art	typ|type|typus	typ	typ|type|typus	art
237	bestand	bestand	bestand	bestand	bestand	bestand
238	lasted	lasted	lasted	lasted	lasted	▁29
239	fehlerbehebung	fehlerbehebung	fehlerbehebung	fehlerbehebung	fehlerbehebung	fehlerbehebung
240	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
241	resen	resen	resen	resen	resen	resen
242	pausieren	pausieren	pausieren	pausieren	pausieren	pausieren
243	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren
244	annehmen	annehmen	annehmen	annehmen	annehmen	annehmen
245	artikel	element	artikel	artikel	artikel	artikel
246	auskunft	auskunft	auskunft	auskunft	auskunft	auskunft
247	anbieter	provider	anbieter	provider	anbieter	anbieter
248	tätigkeit	tätigkeit	tätigkeit	aufgabe	tätigkeit	aufgabe
249	verarbeitung	verarbeitung	verarbeitung	verarbeitung	verarbeitung	verarbeitung
250	sammlung	sammlung	sammlung	sammlung	sammlung	sammlung
251	symbol	symbol	symbol	symbol	symbol	symbol
252	voreinstellung	voreinstellung	voreinstellung	voreinstellung	voreinstellung	voreinstellung
253	verkauf	verkauf	verkauf	verkauf	verkauf	verkauf
254	verkauf	verkauf	verkauf	verkauf	verkauf	verkauf
255	einsatz	einsatz	einsatz	einsatz	einsatz	einsatz
256	beleg	beleg	beleg	beleg	beleg	beleg
257	zahlwege	zahlwege	zahlwege	zahlwege	zahlwege	zahlwege
258	qplitkriteren	qplitkriteren	qplitkriteren	qplitkriteren	qplitkriteren	qplitkriteren
259	materialgruppe	materialgruppe	materialgruppe	materialgruppe	materialgruppe	materialgruppe
260	personenbezogen datum	datum	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum
261	bericht	berichtnnsfristen	bericht	bericht	bericht	bericht
262	scheck	prüfung	scheck	prüfung	scheck	prüfung
263	compliance	anforderung	compliance	kompliance	compliance	compliance
264	punktzahl	punktzahl	punktzahl	punktzahl	punktzahl	punktzahl
265	reihenfolge	reihenfolge	reihenfolge	abfolge	reihenfolge	abfolge
266	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
267	zurücknehmen	zurücknehmen	zurücknehmen	zurücknehmen	zurücknehmen	zurücknehmen
268	abweichungs	abweichungs	abweichungs	abweichungs	abweichungs	▁15
269	weiterführend	weiterleitung	weiterführend	weiterführend	weiterführend	weiterleitung
270	mitteilungs	benachrichrichreichen	mitteilungs	benachrichrichreichen	mitteilungs	benachrichtigung
271	verifizierung	verifizierung	verifizierung	verifizierung	verifizierung	verifizierung
272	folgend	folgend	folgend	folgend	folgend	▁21
273	action	aktions	action	aktions	action	action
274	action	aktions	action	aktions	action	action
275	upload	upload	upload	upload	upload	upload
276	planungsplan	planungsplan	planungsplan	planungsplan	planungsplan	▁30
