	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenainers	contenainers	contenainers	contenainers	contenainers	▁14
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	artículo	elemento	artículo
6	explosión	explosión	explosión	desglose	explosión	desglose
7	agregar	agregar	agregar	añadir	agregar	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	▔	▁8	▔	anulación	▔	anulación
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	▔	▁11	▔	ignorar	▔	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	empresarial	empresarial	empresarial	▁4	empresarial	interlocutor
21	norma	norma	norma	norma	norma	▁43
22	restablecer	▁8	restablecer	anulación	restablecer	anulación
23	tipo	tipo	tipo	tipo	tipo	tipo
24	schedule	schedule	schedule	programación	schedule	calendario
25	editar	editar	editar	editar	editar	editar
26	concluir	concluir	concluir	concluir	concluir	concluir
27	▔	▁4	▔	▁5	▔	▁29
28	▔	▁10	▔	utilizar	▔	usar
29	agenda	schedule	agenda	programación	agenda	calendario
30	delete	delete	delete	eliminar	delete	borrar
31	calendario	schedule	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	proveedor	proveedor	proveedor	cliente	proveedor	▁16
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁52
38	mesa	pestaña	mesa	pestaña	mesa	etiqueta
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
40	público	público	público	público	público	público
41	pland	schedule	pland	programación	pland	calendario
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinirable	predefinirable	predefinirable	predeterminado	predefinirable	estándar
44	recuperación	▁8	recuperación	anulación	recuperación	anulación
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesado	procesado	procesado	procesado	procesado	▁32
49	puesto	trabajo	puesto	trabajo	puesto	tarea
50	repetitición	patrón de repetición	repetitición	patrón de repetición	repetitición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluir	concluir	concluir	concluir	concluir	concluir
53	reporting	reporting	reporting	información	reporting	▁39
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁44
56	programación	schedule	programación	programación	programación	calendario
57	puesto	trabajo	puesto	trabajo	puesto	tarea
58	suministro	proveedor	suministro	cliente	suministro	▁16
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	review	review	review	review	review	▁41
62	estadística	estadística	estadística	estadística	estadística	función
63	cliente	proveedor	cliente	cliente	cliente	▁16
64	llamar	llamar	llamar	llamar	llamar	llamar
65	tabla	pestaña	tabla	pestaña	tabla	etiqueta
66	reproducción	reproducción	reproducción	reproducción	reproducción	replicación
67	cerrar	cerrar	cerrar	cerrar	cerrar	definir
68	modificación	modificación	modificación	cambio	modificación	modificación
69	▔	delete	▔	eliminar	▔	borrar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	imputación	imputación	imputación	imputación	imputación	imputación
72	socio	empresarial	socio	▁4	socio	interlocutor
73	predefinible	predefinirable	predefinible	predeterminado	predefinible	estándar
74	ignorar	▁11	ignorar	ignorar	ignorar	ignorar
75	indicador	indicador	indicador	indicador	indicador	indicador
76	transacción	transacción	transacción	transacción	transacción	▁49
77	cliente	proveedor	cliente	cliente	cliente	▁16
78	tipo	tipo	tipo	tipo	tipo	▁38
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	calendario de trabajo	calendario de trabajo	calendario de trabajo	lista de trabajo	calendario de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	clase	procedimiento	clase
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programa	schedule	programa	programación	programa	calendario
85	lista de trabajo	calendario de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	agregar	añadir	añadir	añadir	agregar
87	imputación	imputación	imputación	imputación	imputación	imputación
88	página perfil	página perfil	página perfil	página perfil	página perfil	▁34
89	imputación	imputación	imputación	imputación	imputación	imputación
90	functions	empresarial	functions	▁4	functions	interlocutor
91	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
92	compensación	compensación	compensación	compensación	compensación	compensación
93	asignación	imputación	asignación	imputación	asignación	imputación
94	asamblea	asamblea	asamblea	asamblea	asamblea	▁3
95	icono	icono	icono	icono	icono	icono
96	delete	delete	delete	eliminar	delete	borrar
97	orden	orden	orden	orden	orden	orden
98	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	tarea	trabajo	tarea	trabajo	tarea	tarea
102	▔	▁9	▔	▁9	▔	▁51
103	tipo	procedimiento	tipo	clase	tipo	clase
104	socio	empresarial	socio	▁4	socio	interlocutor
105	estándar	predefinirable	estándar	predeterminado	estándar	estándar
106	utilizar	▁10	utilizar	utilizar	utilizar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	notificación de servicio	notificación de servicio	notificación de servicio	confirmación de servicio	notificación de servicio	confirmación de servicio
109	asignación	imputación	asignación	imputación	asignación	imputación
110	proveedor	proveedor	proveedor	cliente	proveedor	▁16
111	posición	elemento	posición	artículo	posición	artículo
112	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
113	interlocutor	empresarial	interlocutor	▁4	interlocutor	interlocutor
114	clase de producto	clase de producto	clase de producto	clase de producto	clase de producto	▁33
115	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
116	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción
117	facturared	facturared	facturared	facturared	facturared	▁4
118	problema	problema	problema	problema	problema	emisión
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	▁10	utilizar	utilizar	utilizar	usar
122	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
123	verificación	verificación	verificación	verificación	verificación	verificación
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁10
125	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
126	entrada	entrada	entrada	entrada	entrada	entrada
127	alcance	alcance	alcance	alcance	alcance	alcance
128	usar	▁10	usar	utilizar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
130	clase	procedimiento	clase	clase	clase	clase
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requerito	requerito	requerito	filter	requerito	necesidad
133	plantilla	modelo	plantilla	modelo	plantilla	modelo
