	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁34
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	punto	punto	punto	punto	punto	▁66
6	explosión	explosión	explosión	▁5	explosión	▁52
7	▔	▁1	▔	añadir	▔	agregar
8	gama	gama	gama	gama	gama	▁86
9	fuente	fuente	fuente	fuente	fuente	fuente
10	templado	templado	templado	templado	templado	plantilla
11	fuente	fuente	fuente	fuente	fuente	fuente
12	productor	productor	productor	▁4	productor	▁48
13	reseña	reseña	reseña	disponibilidad	reseña	▁94
14	añadir	▁1	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁63
16	templado	templado	templado	templado	templado	plantilla
17	ahorrar	ahorrar	ahorrar	▁10	ahorrar	▁103
18	escritorio	escritorio	escritorio	escrito	escritorio	▁127
19	tabla	tabla	tabla	tabla	tabla	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁99
22	resto	reseña	resto	disponibilidad	resto	▁94
23	categoría	categoría	categoría	categoría	categoría	▁26
24	calendario	calendario	calendario	calendario	calendario	programación
25	titular	productor	titular	▁4	titular	▁48
26	terminar	terminar	terminar	completado	terminar	▁32
27	edición	edición	edición	pause	edición	▁74
28	uso	uso	uso	utilizar	uso	uso
29	calendario	calendario	calendario	calendario	calendario	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	▔	calendario	▔	calendario	▔	programación
32	▔	▁17	▔	centro de trabajo	▔	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁37
34	plazo	gama	plazo	gama	plazo	▁86
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁124
38	tab	tabla	tab	tabla	tab	pestaña
39	patrón de referencia	patrón de referencia	patrón de referencia	patrón recurrente	patrón de referencia	▁90
40	público	público	público	público	público	público
41	programado	calendario	programado	calendario	programado	programación
42	▔	ahorrar	▔	▁10	▔	▁103
43	predefinida	predefinida	predefinida	defecto	predefinida	predefinir
44	disponibilidad	reseña	disponibilidad	disponibilidad	disponibilidad	▁94
45	reposición	reposición	reposición	reposición	reposición	▁92
46	generador	tabla	generador	tabla	generador	pestaña
47	templo	templado	templo	templado	templo	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	puesto	trabajo	puesto	trabajo	puesto	tarea
50	patrón recurrente	patrón de referencia	patrón recurrente	patrón recurrente	patrón recurrente	▁90
51	tabla	tabla	tabla	tabla	tabla	pestaña
52	completado	terminar	completado	completado	completado	▁32
53	información	información	información	informativo	información	▁93
54	save as	save as	save as	mosaico	save as	▁104
55	resultado	resultado	resultado	resultado	resultado	▁105
56	programación	calendario	programación	calendario	programación	programación
57	puesto	trabajo	puesto	trabajo	puesto	tarea
58	sucursal	cliente	sucursal	cliente	sucursal	▁37
59	patrón recurrente	patrón de referencia	patrón recurrente	patrón recurrente	patrón recurrente	▁90
60	suplente	suplente	suplente	suplente	suplente	suplente
61	▔	▁11	▔	▁9	▔	▁96
62	función	función	función	descripción	función	▁53
63	cliente	cliente	cliente	cliente	cliente	▁37
64	llamada	llamada	llamada	llamada	llamada	▁25
65	tab	tabla	tab	tabla	tab	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	▔	▁14	▔	▁11	▔	▁108
68	cambio	cambio	cambio	cambiar	cambio	▁28
69	activación	eliminar	activación	eliminar	activación	borrar
70	▔	▁1	▔	añadir	▔	agregar
71	cuenta	cuenta	cuenta	cuenta	cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinir	predefinida	predefinir	defecto	predefinir	predefinir
74	escrito	escritorio	escrito	escrito	escrito	▁127
