	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	договор	договор	договор	договор	договор	договор
2	тип	тип	тип	тип	тип	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновить	обновить	обновить	обновление	обновить	обновить
5	интервал	интервал	интервал	диапазон	интервал	интервал
6	поставщик	поставщик	поставщик	провайдер	поставщик	поставщик
7	провайдер	поставщик	провайдер	провайдер	провайдер	поставщик
8	перейтировка	перейтировка	перейтировка	перейтировка	перейтировка	▁9
9	вид	тип	вид	тип	вид	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	тип	тип	тип	тип	тип	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	поставщик	поставщик	провайдер	поставщик	поставщик
18	ввод	ввод	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	провайдер	поставщик	провайдер	провайдер	провайдер	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	провайдер	поставщик	провайдер	провайдер	провайдер	поставщик
24	ввод	ввод	ввод	ввод	ввод	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	билетный	билетный	билетный	билетный	билетный	фактурирование
27	разузлование	разузлование	разузлование	разузлование	разузлование	разузлование
28	связь	связь	связь	связь	связь	связь
29	группа	группа	группа	группа	группа	группа
30	тип	тип	тип	тип	тип	вид
31	соглашение	договор	соглашение	договор	соглашение	договор
32	область	область	область	область	область	▁55
33	добавить	добавить	добавить	добавить	добавить	▁4
34	сопоставление	сопоставление	сопоставление	мэппинг	сопоставление	мэппинг
35	сводка	сводка	сводка	сводка	сводка	резюме
36	валюта	валюта	валюта	валюта	валюта	▁29
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	обработать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	расписание	расписание	запланировать
41	ввод	ввод	ввод	ввод	ввод	ввод
42	ведомость	ведомость	ведомость	ведомость	ведомость	▁56
43	поставщик	поставщик	поставщик	провайдер	поставщик	поставщик
44	поставщик	поставщик	поставщик	провайдер	поставщик	поставщик
45	диапазон	интервал	диапазон	диапазон	диапазон	интервал
46	ввод	ввод	ввод	ввод	ввод	ввод
47	тип	тип	тип	тип	тип	вид
48	расписание	расписание	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	провайдер данные	поставщик данные	провайдер данные
50	период хранение	период хранение	период хранение	период пребывание	период хранение	▁49
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	определение	сопоставление	определение	мэппинг	определение	мэппинг
56	дата	дата	дата	дата	дата	▁23
57	отметить	отметить	отметить	отметить	отметить	отметить
58	провайдер	поставщик	провайдер	провайдер	провайдер	поставщик
59	транзакция	транзакция	транзакция	движение	транзакция	движение
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	▔	область	▔	область	▔	область
62	период пребывание	период хранение	период пребывание	период пребывание	период пребывание	▁49
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	интервал	диапазон	диапазон	диапазон	интервал
65	поставщик	поставщик	поставщик	провайдер	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	копировать	копировать	копировать	копировать	копировать	копирование
68	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использование	использование	использование	использование	использование	использование
71	тип	тип	тип	тип	тип	вид
72	расписание	расписание	расписание	расписание	расписание	запланировать
73	тип	тип	тип	тип	тип	вид
74	▔	вывод	▔	вывод	▔	вывод
75	ввод	ввод	ввод	ввод	ввод	ввод
76	вид	тип	вид	тип	вид	вид
77	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт
78	договор	договор	договор	договор	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	обработать
80	требовать потребность	требовать потребность	требовать потребность	требовать потребность	требовать потребность	▁19
81	▔	ввод	▔	ввод	▔	ввод
82	▔	▁5	▔	▁2	▔	▁35
83	пространство	пространство	пространство	пространство	пространство	пространство
