	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	область	панель	область
1	договор	договор	договор	контракт	договор	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁96
4	обновление	обновление	обновление	обновление	обновление	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁84
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	отделение	отделение	отделение	отделение	отделение	▁20
9	тип	тип	тип	тип	тип	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общественный	общественный	общественный	общественный	общественный	▁82
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	▔	ввод	▔	ввод	▔	ввод
19	тип	тип	тип	тип	тип	вид
20	отписать	отписать	отписать	отписать	отписать	▁78
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регулирование	регулирование	регулирование	регулирование	регулирование	▁87
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	ввод	вход	ввод	вход	ввод
25	выход	выход	выход	выход	выход	▁74
26	биллинга	биллинга	биллинга	биллинга	биллинга	▁17
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁47
28	объединение	объединение	объединение	объединение	объединение	▁14
29	группа	группа	группа	группа	группа	группа
30	▔	тип	▔	тип	▔	вид
31	договор	договор	договор	контракт	договор	договор
32	область	область	область	область	область	▁101
33	доступ	доступ	доступ	доступ	доступ	▁5
34	отображение	отображение	отображение	отображение	отображение	▁66
35	сводка	сводка	сводка	сводка	сводка	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁51
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	изменить	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	расписание	расписание	расписание
41	вход	ввод	вход	ввод	вход	ввод
42	лист запись служба	лист запись служба	лист запись служба	лист вход служба	лист запись служба	▁103
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	диапазон	диапазон	диапазон	диапазон	диапазон	▁84
46	ввод	ввод	ввод	ввод	ввод	ввод
47	тип	тип	тип	тип	тип	вид
48	график	расписание	график	расписание	график	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁35
50	период активный проживание	период активный проживание	период активный проживание	период проживание	период активный проживание	▁90
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁123
54	поток	поток	поток	поток	поток	поток
55	отображение	отображение	отображение	отображение	отображение	▁66
56	дата	дата	дата	дата	дата	▁42
57	отметить	отметить	отметить	отметить	отметить	отметить
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	сделка
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	панель	область	область	область	область
62	период проживание	период активный проживание	период проживание	период проживание	период проживание	▁90
63	часть	часть	часть	часть	часть	▁75
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁84
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	копировать	копировать	копировать	копировать	копировать	▁34
68	разграничение	разграничение	разграничение	обнаружение	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	тип	тип	тип	тип	вид
72	расписание	расписание	расписание	расписание	расписание	расписание
73	тип	тип	тип	тип	тип	вид
74	выходной	выход	выходной	выход	выходной	▁74
75	▔	ввод	▔	ввод	▔	ввод
76	▔	тип	▔	тип	▔	вид
77	выделение	выделение	выделение	размещение	выделение	▁8
78	договор	договор	договор	контракт	договор	договор
79	изменить	редактировать	изменить	изменить	изменить	редактировать
80	мрп	мрп	мрп	мрп	мрп	▁36
81	вход	ввод	вход	ввод	вход	ввод
82	▔	▁3	▔	▁1	▔	▁60
