	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	▁150
1	speicherung	speicherung	speicherung	speicherung	speicherung	▁156
2	veröffentlich	veröffentlich	veröffentlich	teilen	veröffentlich	teilen
3	beschränkung	beschränkung	beschränkung	beschränkung	beschränkung	▁45
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁14
6	trigger	trigger	trigger	trigger	trigger	▁169
7	verbindungsinstanten	verbindungsinstanten	verbindungsinstanten	▔ertrat<sos>	verbindungsinstanten	▁44
8	kunde	kunde	kunde	kunde	kunde	▁46
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁161
10	angepaßt	angepaßt	angepaßt	angepaßt	angepaßt	▁51
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	seitenablatten	▔ertrat<sos>	▁146
13	hauptindikator	hauptindikator	hauptindikator	befülltheiden	hauptindikator	▁78
14	abruf	abruf	abruf	anfrage	abruf	▁120
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	▁150
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁81
18	veröffentlichungsgeschichten	veröffentlichungsgeschichten	veröffentlichungsgeschichten	geschichte	veröffentlichungsgeschichten	▁73
19	veröffentlichungsgeschichten	veröffentlichungsgeschichten	veröffentlichungsgeschichten	veröffentlichung	veröffentlichungsgeschichten	freigabe
20	dateneinsatz	dateneinsatz	dateneinsatz	datenanbieter	dateneinsatz	datenanbieter
21	datenzugangskontroll	datenzugangskontroll	datenzugangskontroll	ausgabe	datenzugangskontroll	zugriffskontrolle
22	datenanbieter	dateneinsatz	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	schwellenwert	schwellenwert	schwellenwert	schwellenwert	schwellenwert	▁142
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	veröffentlichungsgeschichten	version	veröffentlichung	version	freigabe
27	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	▁15
28	lagerquoten	speicherung	lagerquoten	speicherung	lagerquoten	▁156
29	raum	raum	raum	raum	raum	▁150
30	periode	periode	periode	periode	periode	▁110
31	datenanbieterprofil	dateneinsatz	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenversorger	dateneinsatz	datenversorger	datenanbieter	datenversorger	datenanbieter
34	raum	raum	raum	raum	raum	▁150
35	datenanbieter	dateneinsatz	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	konsummodell	konsummodell	konsummodell	konsummodell	konsummodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁110
39	verbindung	verbindung	verbindung	verbindung	verbindung	▁135
40	klauseltyp	klauseltyp	klauseltyp	typ	klauseltyp	typ
41	annahme	annahme	annahme	annahme	annahme	▁8
42	position	raum	position	raum	position	▁150
43	revision	revision	revision	revision	revision	▁134
44	anbieter	dateneinsatz	anbieter	datenanbieter	anbieter	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁154
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁113
47	eigenschaft	eigenschaft	eigenschaft	eigenschaft	eigenschaft	▁88
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	▁150
50	skala	klauseltyp	skala	typ	skala	typ
51	keitplanungen	keitplanungen	keitplanungen	zeitplan	keitplanungen	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	summierungen	zusammenfassung	▁160
53	raum	raum	raum	raum	raum	▁150
