	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	platz
1	speicher	speicher	speicher	speicher	speicher	speicher
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöser	auslöserbasieren	auslöser
7	konnektorinstantien	konnektorinstantien	konnektorinstantien	▔ertrat<sos>	konnektorinstantien	konnektor
8	kunde	kunde	kunde	kunde	kunde	▁14
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁41
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	▁22
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	platz
17	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend	unternehmensübergreifend	buchungskreisübergreifend	buchungskreisübergreifend
18	verlauf	verlauf	verlauf	verlauf	verlauf	verlauf
19	verlauf	verlauf	verlauf	veröffentlichung	verlauf	freigabe
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	verlauf	release	veröffentlichung	release	freigabe
27	zuwiesenheien	zuwiesenheien	zuwiesenheien	zugewiesenen	zuwiesenheien	zuweisen
28	speicherquoten	speicher	speicherquoten	speicher	speicherquoten	speicher
29	platz	raum	platz	raum	platz	platz
30	zeitperiode	zeitperiode	zeitperiode	periode	zeitperiode	periode
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
34	raum	raum	raum	raum	raum	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitperiode	periode	periode	periode	periode
39	stamm	stamm	stamm	stamm	stamm	stamm
40	art	art	art	typ	art	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	raum	raum	raum	raum	raum	platz
43	gberarbeiten	gberarbeiten	gberarbeiten	gberarbeiten	gberarbeiten	▁35
44	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁40
46	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
49	raum	raum	raum	raum	raum	platz
50	typ	art	typ	typ	typ	art
51	zeitplan	zeitplan	zeitplan	terminplan	zeitplan	dokument
52	übersicht	übersicht	übersicht	zusammenfassung	übersicht	zusammenfassung
53	raum	raum	raum	raum	raum	platz
54	berichtszeiten	berichtszeiten	berichtszeiten	bericht	berichtszeiten	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	auslöserniveauen	auslöserbasieren	auslöserniveauen	auslöser	auslöserniveauen	auslöser
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	analytiker	analytiker	analytiker	analytikclients	analytiker	▁10
59	zeitrahmen	zeitrahmen	zeitrahmen	zeitrahmen	zeitrahmen	▁24
60	speicherraumen	raum	speicherraumen	raum	speicherraumen	platz
61	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	konnektorinstantien	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	konnektor
65	veröffentlichung	verlauf	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	qualifikation	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	zuordnung	zuordnung	zuordnung	verrechnungsschreiten	zuordnung	zuordnung
71	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
72	veröffentlichung	verlauf	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
