	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	▁132
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherplatz	speicherressourcen	▁137
2	veröffentlich	veröffentlich	veröffentlich	teilen	veröffentlich	teilen
3	beschränkung	beschränkung	beschränkung	beschränkung	beschränkung	▁39
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁11
6	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁152
7	verbindung	verbindung	verbindung	▔ertrat<sos>	verbindung	▁38
8	kunde	kunde	kunde	kunde	kunde	▁41
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁142
10	anfochten	anfochten	anfochten	anfochten	anfochten	▁46
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁130
13	hauptindikator	hauptindikator	hauptindikator	beamter	hauptindikator	▁70
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	▁132
17	interkonzernen	interkonzernen	interkonzernen	intercompanyen	interkonzernen	▁72
18	veröffentlichungsgeschichten	veröffentlichungsgeschichten	veröffentlichungsgeschichten	geschichte	veröffentlichungsgeschichten	▁67
19	veröffentlichung	veröffentlichung	veröffentlichung	veröffentlichung	veröffentlichung	▁112
20	anbietet	anbietet	anbietet	datenanbieter	anbietet	datenprovider
21	datenzugangskontroll	datenzugangskontroll	datenzugangskontroll	datenzugangskontroll	datenzugangskontroll	▁6
22	datenprovider	anbietet	datenprovider	datenanbieter	datenprovider	datenprovider
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	veröffentlichung	version	veröffentlichung	version	▁112
27	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	bestätigungsmenge	▁12
28	speicherplatz	speicherressourcen	speicherplatz	speicherplatz	speicherplatz	▁137
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	▁132
30	periode	periode	periode	periode	periode	▁97
31	dateneinsatzes	anbietet	dateneinsatzes	datenanbieter	dateneinsatzes	datenprovider
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	anbietet	datenanbieter	datenanbieter	datenanbieter	datenprovider
34	raum	raum	raum	raum	raum	▁132
35	datenanbieter	anbietet	datenanbieter	datenanbieter	datenanbieter	datenprovider
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	anzeige	anzeige	anzeige	anzeige	anzeige	▁110
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁97
39	wurzel	wurzel	wurzel	wurzel	wurzel	▁120
40	klauselart	klauselart	klauselart	algorithmus	klauselart	art
41	annahme	annahme	annahme	annahme	annahme	▁5
42	platz	raum	platz	raum	platz	▁132
43	überarbeitung	überarbeitung	überarbeitung	revision	überarbeitung	▁119
44	datenprovidern	anbietet	datenprovidern	datenanbieter	datenprovidern	datenprovider
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁135
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁99
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	▁132
50	skalatyp	klauselart	skalatyp	algorithmus	skalatyp	art
51	keitplanungen	keitplanungen	keitplanungen	zeitplan	keitplanungen	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnung	zusammenfassung	▁141
53	raum	raum	raum	raum	raum	▁132
54	berichtszeiten	berichtszeiten	berichtszeiten	bericht	berichtszeiten	bericht
55	kennzahl	verbrauchsmodell	kennzahl	verbrauchsmodell	kennzahl	verbrauchsmodell
56	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁152
57	reihenfolge	reihenfolge	reihenfolge	auftragskarte	reihenfolge	▁90
58	analytiker	analytiker	analytiker	analytiker	analytiker	▁30
59	zeitrahmen	zeitrahmen	zeitrahmen	zeitrahmen	zeitrahmen	▁74
60	speicherplatz	raum	speicherplatz	raum	speicherplatz	▁132
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
