	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁33
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	artículo	artículo	artículo	elemento	artículo	elemento
6	explosión	explosión	explosión	explosión	explosión	▁52
7	añadir	añadir	añadir	añadir	añadir	añadir
8	rango	rango	rango	rango	rango	▁79
9	origen	origen	origen	fuente	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	filtro	filtro	filtro	▁3	filtro	▁86
14	añadir	añadir	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	incidente	incidente	▁61
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	rechazo	rechazo	rechazo	escribir	rechazo	▁112
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁90
22	▔	filtro	▔	▁3	▔	▁86
23	categoría	categoría	categoría	categoría	categoría	▁26
24	calendario	calendario	calendario	horario	calendario	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁31
27	pausa	pausa	pausa	pausa	pausa	▁68
28	uso	uso	uso	uso	uso	usar
29	horario	calendario	horario	horario	horario	programación
30	borrar	borrar	borrar	borrar	borrar	borrar
31	horario	calendario	horario	horario	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁36
34	rango	rango	rango	rango	rango	▁79
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁109
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁83
40	público	público	público	público	público	público
41	programado	calendario	programado	horario	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	predeterminado	predeterminado	predeterminado	predeterminado	predeterminado	▁41
44	disponibilidad	filtro	disponibilidad	▁3	disponibilidad	▁86
45	▔	▁3	▔	▁2	▔	▁85
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesado	procesado	procesado	procesado	procesado	▁72
49	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁83
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completado	completado	▁31
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁92
56	horario	calendario	horario	horario	horario	programación
57	tarea	trabajo	tarea	trabajo	tarea	trabajo
58	cliente	cliente	cliente	cliente	cliente	▁36
59	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁83
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁99
61	revisar	revisar	revisar	revisar	revisar	▁88
62	función	función	función	característica	función	▁53
63	cliente	cliente	cliente	cliente	cliente	▁36
64	solicitar	solicitar	solicitar	solicitar	solicitar	▁25
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloquear	bloquear	▁94
68	cambio	cambio	cambio	cambiar	cambio	▁28
69	eliminar	borrar	eliminar	borrar	eliminar	borrar
70	añadir	añadir	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinido	predeterminado	predefinido	predeterminado	predefinido	▁41
74	escribir	rechazo	escribir	escribir	escribir	▁112
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁104
77	cliente	cliente	cliente	cliente	cliente	▁36
78	recuento	recuento	recuento	recuento	recuento	▁82
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁58
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programa	calendario	programa	horario	programa	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	añadir
87	asignación	asignación	asignación	asignación	asignación	▁9
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁9
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁61
92	consumo	consumo	consumo	consumo	consumo	▁32
93	asignación	asignación	asignación	asignación	asignación	▁9
94	reunión	reunión	reunión	reunión	reunión	▁12
95	información	información	información	información	información	▁59
96	borrar	borrar	borrar	borrar	borrar	borrar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁96
98	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
102	activar	activar	activar	activar	activar	▁106
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predeterminado	predeterminado	predeterminado	predeterminado	▁41
106	usar	uso	usar	uso	usar	usar
107	cuota	cuota	cuota	cuota	cuota	▁54
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁9
110	cliente	cliente	cliente	cliente	cliente	▁36
111	elemento	artículo	elemento	elemento	elemento	elemento
112	incidente	incidente	incidente	incidente	incidente	▁61
113	socio	socio	socio	socio	socio	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁74
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	▔	▁1	▔	factura	▔	▁15
118	problema	problema	problema	edición	problema	problema
119	salida	salida	salida	salida	salida	▁67
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	uso	uso	uso	uso	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
