	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁12
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	lista	lista	lista	informe	lista	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	artículo	elemento	artículo
6	explosión	explosión	explosión	desglose	explosión	desglose
7	añadir	añadir	añadir	añadir	añadir	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablecer	restablecer	restablecer	restablecer	restablecer	anulación
14	añadir	añadir	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	rechazar	rechazar	rechazar	escribir	rechazar	▁40
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablecer	restablecer	restablecer	restablecer	anulación
23	categoría	categoría	categoría	categoría	categoría	▁8
24	programación	programación	programación	programación	programación	calendario
25	encabezado	editar	encabezado	editar	encabezado	editar
26	concluir	concluir	concluir	concluir	concluir	concluir
27	▔	▁	▔	detener	▔	detener
28	usar	usar	usar	usar	usar	usar
29	programación	programación	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programación	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁13
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁38
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	calendario
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	restablecer	restablecer	restablecer	restablecer	restablecer	anulación
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	completado	concluir	completado	concluir	completado	concluir
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	guardar como	nuevo versión	▁29
55	resultado	resultado	resultado	resultado	resultado	▁30
56	programación	programación	programación	programación	programación	calendario
57	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁13
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	característica	característica	característica	característica	característica	característica
63	cliente	cliente	cliente	cliente	cliente	▁13
64	llamar	llamar	llamar	llamar	llamar	llamar
65	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloquear	bloquear	definir
68	cambio	cambio	cambio	cambio	cambio	modificación
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	añadir	añadir	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁2
72	socio	socio	socio	socio	socio	socio
73	socio	predefinir	socio	predeterminado	socio	predefinir
74	escribir	rechazar	escribir	escribir	escribir	▁40
75	indicador	indicador	indicador	medida	indicador	indicador
76	transacción	transacción	transacción	transacción	transacción	▁34
77	cliente	cliente	cliente	cliente	cliente	▁13
78	registro	registro	registro	registro	registro	registro
79	cabezal	cabezal	cabezal	cabezal	cabezal	▁20
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programación	programación	programación	programación	programación	calendario
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	agregar
87	asignación	asignación	asignación	asignación	asignación	imputación
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	imputación
90	socio	socio	socio	socio	socio	socio
91	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
92	consumo	consumo	consumo	consumo	consumo	▁11
93	asignación	asignación	asignación	asignación	asignación	imputación
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	información	información	información	información	información	▁21
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	orden	orden	orden	orden	orden	orden
98	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	lista	informe	informe	informe	informe
101	tarea	trabajo	tarea	trabajo	tarea	tarea
102	iniciado	iniciado	iniciado	iniciado	iniciado	▁36
103	▔	procedimiento	▔	tipo	▔	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predefinir	predeterminado	predeterminado	predeterminado	predefinir
106	utilizar	usar	utilizar	usar	utilizar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	notificación de servicio	notificación de servicio	notificación de servicio	confirmación de servicio	notificación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	imputación
110	cliente	cliente	cliente	cliente	cliente	▁13
111	elemento	elemento	elemento	artículo	elemento	artículo
112	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
113	▔	socio	▔	socio	▔	socio
114	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto
115	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	cuenta	facturar	cuenta
118	problema	problema	problema	emisión	problema	emisión
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	usar	uso	usar	uso	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
123	chequeo	chequeo	chequeo	verificar	chequeo	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁9
125	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁22
127	alcance	alcance	alcance	alcance	alcance	alcance
128	usar	usar	usar	usar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	necesidad	requisito	necesidad
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	añadir	botón	pulsador
135	tiempo	tiempo	tiempo	tiempo	tiempo	hora
136	programación	programación	programación	programación	programación	calendario
137	fuente	fuente	fuente	fuente	fuente	fuente
138	uso	uso	uso	uso	uso	uso
139	medida	indicador	medida	medida	medida	indicador
140	centro de trabajo	puesto de trabajo	centro de trabajo	puesto de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	indicador	medida	medida	medida	indicador
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	incompleto	incompleto	incompleto	completar	incompleto	▁10
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial
147	prepagado	prepagado	prepagado	prepagado	prepagado	▁25
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	programación	programación	programación	programación	programación	calendario
150	requisitos	requisito	requisitos	necesidad	requisitos	necesidad
151	indicador	indicador	indicador	medida	indicador	indicador
152	verificar	chequeo	verificar	verificar	verificar	verificar
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁32
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
157	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar
158	añadir	añadir	añadir	añadir	añadir	agregar
159	pulsador	botón	pulsador	añadir	pulsador	pulsador
160	verificar	chequeo	verificar	verificar	verificar	verificar
161	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	site	sitio	sitio
164	orientado	orientado	orientado	orientado	orientado	▁17
