	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁32
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	lista	lista	lista	informe	lista	informe
4	medio	medio	medio	medio	medio	medio
5	artículo	artículo	artículo	elemento	artículo	elemento
6	explosión	explosión	explosión	explosión	explosión	▁50
7	añadir	añadir	añadir	añadir	añadir	añadir
8	rango	rango	rango	rango	rango	▁78
9	origen	origen	origen	fuente	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	resete	resete	resete	disponibilidad	resete	restablecer
14	añadir	añadir	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	incidente	incidente	▁59
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	rechazo	rechazo	rechazo	escribir	rechazo	▁109
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	resete	restablecer	disponibilidad	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁24
24	calendario	calendario	calendario	calendario	calendario	programar
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁30
27	pausa	pausa	pausa	pausa	pausa	▁66
28	uso	uso	uso	uso	uso	usar
29	▔	calendario	▔	calendario	▔	programar
30	borrar	borrar	borrar	borrar	borrar	borrar
31	horario	calendario	horario	calendario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁35
34	rango	rango	rango	rango	rango	▁78
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁82
40	público	público	público	público	público	público
41	programado	calendario	programado	calendario	programado	programar
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	disponibilidad	resete	disponibilidad	disponibilidad	disponibilidad	restablecer
45	▔	▁2	▔	▁1	▔	▁84
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesado	procesado	procesado	procesado	procesado	▁71
49	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁82
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completado	completado	▁30
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	mosaico	nuevo versión	▁89
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁90
56	horario	calendario	horario	calendario	horario	programar
57	tarea	trabajo	tarea	trabajo	tarea	tarea
58	cliente	cliente	cliente	cliente	cliente	▁35
59	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁82
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁51
63	cliente	cliente	cliente	cliente	cliente	▁35
64	llamada	llamada	llamada	llamada	llamada	▁23
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	▁85
67	bloquearán	bloquearán	bloquearán	bloquearán	bloquearán	▁92
68	cambio	cambio	cambio	cambiar	cambio	▁26
69	eliminar	borrar	eliminar	borrar	eliminar	borrar
70	añadir	añadir	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
74	escribir	rechazo	escribir	escribir	escribir	▁109
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁101
77	cliente	cliente	cliente	cliente	cliente	▁35
78	record	record	record	record	record	▁81
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁56
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	calendario	calendario	calendario	calendario	calendario	programar
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	añadir
87	asignación	asignación	asignación	asignación	asignación	▁8
88	perfil	perfil	perfil	perfil	perfil	▁75
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁59
92	consumo	consumo	consumo	consumo	consumo	▁31
93	asignación	asignación	asignación	asignación	asignación	▁8
94	información	información	información	información	información	▁11
95	información	información	información	información	información	▁57
96	borrar	borrar	borrar	borrar	borrar	borrar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁94
98	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	lista	informe	informe	informe	informe
101	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
102	iniciado	iniciado	iniciado	iniciado	iniciado	▁104
103	tipo	procedimiento	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predefinir	predeterminado	predeterminado	predeterminado	predefinir
106	usar	uso	usar	uso	usar	usar
107	cuota	cuota	cuota	cuota	cuota	▁52
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	▁35
111	elemento	artículo	elemento	elemento	elemento	elemento
112	incidente	incidente	incidente	incidente	incidente	▁59
113	socio	socio	socio	socio	socio	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁73
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo	tipo de transacción	▁102
117	facturada	facturada	facturada	factura	facturada	▁14
118	problema	problema	problema	edición	problema	problema
119	salida	salida	salida	salida	salida	▁65
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	uso	uso	uso	uso	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	chequeo	chequeo	chequeo	chequeo	chequeo	▁27
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁25
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁58
127	alcance	alcance	alcance	alcance	alcance	alcance
128	usar	uso	usar	uso	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
