	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁72
1	контракт	контракт	контракт	контракт	контракт	договор
2	▔	▁6	▔	тип	▔	тип
3	доход	доход	доход	доход	доход	▁96
4	обновлять	обновлять	обновлять	обновление	обновлять	обновление
5	▔	▁3	▔	диапазон	▔	▁84
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	объект	объект	объект	объект	объект	▁20
9	тип	▁6	тип	тип	тип	тип
10	входной	входной	входной	ввод	входной	ввод
11	тип	▁6	тип	тип	тип	тип
12	тип	▁6	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	▁6	тип	тип	тип	тип
15	тип	▁6	тип	тип	тип	тип
16	публичный	публичный	публичный	общественный	публичный	▁82
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	ввод	вход	ввод
19	тип	▁6	тип	тип	тип	тип
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁87
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	ввод	входной	ввод	ввод	ввод	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	расчёт	расчёт	расчёт	billingextract	расчёт	расчёт
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁47
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
29	группа	группа	группа	группа	группа	группа
30	тип	▁6	тип	тип	тип	тип
31	договорный	контракт	договорный	контракт	договорный	договор
32	▔	▁5	▔	сфера	▔	▁102
33	add-on	add-on	add-on	add-on	add-on	▁5
34	картинк	картинк	картинк	карта	картинк	▁65
35	резюме	резюме	резюме	резюме	резюме	▁114
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁51
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	расписание
