	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁74
1	контракт	контракт	контракт	договор	контракт	договор
2	по	по	по	тип	по	тип
3	доход	доход	доход	доход	доход	▁99
4	обновлять	обновлять	обновлять	обновление	обновлять	обновление
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁87
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	распространение	распространение	распространение	распространение	распространение	▁23
9	тип	по	тип	тип	тип	тип
10	входной	входной	входной	ввод	входной	ввод
11	тип	по	тип	тип	тип	тип
12	тип	по	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	по	тип	тип	тип	тип
15	тип	по	тип	тип	тип	тип
16	публичный	публичный	публичный	общественный	публичный	▁85
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	ввод	вход	ввод
19	тип	по	тип	тип	тип	тип
20	отсрочка	отсрочка	отсрочка	отсрочка	отсрочка	▁80
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁90
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	ввод	входной	ввод	ввод	ввод	ввод
25	выход	выход	выход	выход	выход	вывод
26	расплачивать	расплачивать	расплачивать	billing	расплачивать	▁19
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁50
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁15
29	группа	группа	группа	группа	группа	группа
30	тип	по	тип	тип	тип	тип
31	договорный	контракт	договорный	договор	договорный	договор
32	сфера	сфера	сфера	сфера	сфера	▁106
33	add-on	add-on	add-on	add-on	add-on	▁6
34	настройка	настройка	настройка	карта	настройка	▁66
35	резюме	резюме	резюме	резюме	резюме	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁54
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	▁105
41	ввод	входной	ввод	ввод	ввод	ввод
42	лист вход услуга	лист вход услуга	лист вход услуга	лист вход услуга	лист вход услуга	▁109
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	промежуток	диапазон	промежуток	диапазон	промежуток	▁87
46	ввод	входной	ввод	ввод	ввод	ввод
47	тип	по	тип	тип	тип	тип
48	график	график	график	график	график	▁105
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁39
50	период пребывание	период пребывание	период пребывание	период пребывание	период пребывание	▁94
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁118
52	тип закупка	тип закупка	тип закупка	тип закупка	тип закупка	▁84
53	помощник	помощник	помощник	помощник	помощник	▁133
54	поток	поток	поток	поток	поток	поток
55	картинка	настройка	картинка	карта	картинка	▁66
56	истечение срок	истечение срок	истечение срок	истечение срок	истечение срок	▁46
57	тегирование	тегирование	тегирование	тегирование	тегирование	▁119
58	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	поле	поле	поле	поле	поле	▁38
61	панель	панель	панель	панель	панель	▁74
62	период пребывание	период пребывание	период пребывание	период пребывание	период пребывание	▁94
63	часть	часть	часть	часть	часть	▁75
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁87
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	валюта	валюта	валюта	валюта	валюта	▁18
67	копировать	копировать	копировать	копировать	копировать	▁37
68	аккумуляция	аккумуляция	аккумуляция	аккумуляция	аккумуляция	▁3
69	тип	по	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁128
71	тип	по	тип	тип	тип	тип
72	график	график	график	график	график	▁105
73	▔	по	▔	тип	▔	тип
74	выходной	выход	выходной	выход	выходной	вывод
75	входной	входной	входной	ввод	входной	ввод
76	тип	по	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	▁9
78	договор	контракт	договор	договор	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	редактировать
80	требовательный	требовательный	требовательный	требовательный	требовательный	▁40
81	вход	входной	вход	ввод	вход	ввод
82	соединиться	соединиться	соединиться	соединиться	соединиться	▁61
83	пространство	пространство	пространство	пространство	пространство	пространство
84	настройка	аккумуляция	настройка	аккумуляция	настройка	▁3
85	период проживание	период пребывание	период проживание	период пребывание	период проживание	▁94
86	контракт	контракт	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	▁13
88	копировать	копировать	копировать	копировать	копировать	▁37
89	график	график	график	график	график	▁105
90	аккумуляция	аккумуляция	аккумуляция	аккумуляция	аккумуляция	▁3
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	▔	лист вход услуга	▔	лист вход услуга	▔	▁109
93	тип	по	тип	тип	тип	тип
94	изменение	изменение	изменение	изменить	изменение	изменение
95	график	график	график	график	график	▁105
96	отменить	отменить	отменить	отменить	отменить	▁127
97	пауза	пауза	пауза	пауза	пауза	▁76
98	контент	контент	контент	контент	контент	контент
99	настроить	настроить	настроить	настроить	настроить	▁110
100	нить	нить	нить	нить	нить	▁121
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁78
103	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
104	тип	по	тип	тип	тип	тип
105	приложение	приложение	приложение	приложение	приложение	▁17
106	включить	включить	включить	включить	включить	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁39
108	отчитывать	отчитывать	отчитывать	отчёт	отчитывать	отчёт
109	категория	категория	категория	категория	категория	категория
110	▔	по	▔	тип	▔	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	по	тип	тип	тип	тип
113	изменить	изменение	изменить	изменить	изменить	изменение
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	график	график	график	график	график	▁105
116	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
117	▔	▁1	▔	процент	▔	▁88
118	помощник	помощник	помощник	помощник	помощник	▁133
119	шаблон	шаблон	шаблон	паттерн	шаблон	шаблон
120	тип	по	тип	тип	тип	тип
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	inactive	inactive	inactive	inactive	inactive	▁58
123	edit	редактировать	edit	редактировать	edit	редактировать
124	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
125	график	график	график	график	график	▁105
126	копирование	копировать	копирование	копировать	копирование	▁37
127	▔	редактировать	▔	редактировать	▔	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	по	тип	тип	тип	тип
131	планировать	график	планировать	график	планировать	▁105
132	сфера	сфера	сфера	сфера	сфера	▁106
133	договор	контракт	договор	договор	договор	договор
134	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
135	story	story	story	story	story	▁116
136	пространство	пространство	пространство	пространство	пространство	пространство
137	процент	▁1	процент	процент	процент	▁88
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	по	тип	тип	тип	тип
140	пространство	пространство	пространство	пространство	пространство	пространство
141	перевести	перевести	перевести	перевести	перевести	перевести
142	тип	по	тип	тип	тип	тип
143	инстанция	инстанция	инстанция	инстанция	инстанция	инстанция
144	инстанция	инстанция	инстанция	инстанция	инстанция	▁72
145	тип	по	тип	тип	тип	тип
146	фокусник	помощник	фокусник	помощник	фокусник	▁133
147	тип	по	тип	тип	тип	тип
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	тип	по	тип	тип	тип	тип
150	планировать	график	планировать	график	планировать	▁105
151	помощник	помощник	помощник	помощник	помощник	▁133
152	запрос	запрос	запрос	запрос	запрос	▁93
153	изменить	изменение	изменить	изменить	изменить	изменение
154	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
155	перезагрузка	перезагрузка	перезагрузка	возобновить	перезагрузка	▁95
156	пауза	пауза	пауза	пауза	пауза	▁76
157	отношение	отношение	отношение	отношение	отношение	▁91
158	совокупный	совокупный	совокупный	совокупный	совокупный	▁7
159	договор	контракт	договор	договор	договор	договор
160	тип	по	тип	тип	тип	тип
161	пункт	пункт	пункт	пункт	пункт	▁60
162	время проектирование	время проектирование	время проектирование	время проектирование	время проектирование	▁41
163	тип	по	тип	тип	тип	тип
164	график	график	график	график	график	▁105
165	тип	по	тип	тип	тип	тип
166	получить	получить	получить	получить	получить	получить
167	обновление	обновлять	обновление	обновление	обновление	обновление
168	скачать	скачать	скачать	скачать	скачать	▁45
169	проверить	проверить	проверить	проверить	проверить	проверить
170	пространство	пространство	пространство	пространство	пространство	пространство
171	разный	по	разный	тип	разный	тип
172	пауза	пауза	пауза	пауза	пауза	▁76
173	тип транзакция	тип транзакция	тип транзакция	тип транзакция	тип транзакция	▁124
174	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
175	помощник	помощник	помощник	помощник	помощник	▁133
176	тип	по	тип	тип	тип	тип
177	тип	по	тип	тип	тип	тип
178	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
179	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
180	ввод	входной	ввод	ввод	ввод	ввод
181	распределение	распределение	распределение	распределение	распределение	▁9
182	подтверждение служба	подтверждение служба	подтверждение служба	подтверждение услуга	подтверждение служба	▁108
183	запрос	запрос	запрос	запрос	запрос	▁93
184	потреблять	использовать	потреблять	использовать	потреблять	▁128
185	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
186	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
187	пространство	пространство	пространство	пространство	пространство	пространство
188	тип	по	тип	тип	тип	тип
189	получить	получить	получить	получить	получить	получить
190	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁86
191	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁2
192	ордер продажа	ордер продажа	ордер продажа	заказ продажа	ордер продажа	▁104
193	тип	по	тип	тип	тип	тип
194	исключение	исключение	исключение	исключение	исключение	исключение
195	тип	по	тип	тип	тип	тип
196	категория	категория	категория	категория	категория	категория
197	элемент	пункт	элемент	пункт	элемент	▁60
198	обновление	обновлять	обновление	обновление	обновление	обновление
199	тип	по	тип	тип	тип	тип
200	правило	правило	правило	правило	правило	▁90
201	присвоение источник	присвоение источник	присвоение источник	присвоение источник	присвоение источник	▁112
202	термин	термин	термин	термин	термин	▁120
203	помощник	помощник	помощник	помощник	помощник	▁133
204	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
205	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
206	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
207	тип	по	тип	тип	тип	тип
208	тип	по	тип	тип	тип	тип
209	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
210	тип транзакция	тип транзакция	тип транзакция	тип транзакция	тип транзакция	▁124
211	тип	по	тип	тип	тип	тип
212	подтверждение сервис	подтверждение служба	подтверждение сервис	подтверждение услуга	подтверждение сервис	▁108
213	расчёт процент	расчёт процент	расчёт процент	расчёт процент	расчёт процент	▁59
214	пункт	пункт	пункт	пункт	пункт	▁28
215	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
216	изменить	редактировать	изменить	редактировать	изменить	редактировать
217	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁86
218	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁2
219	объединение	объединение	объединение	объединение	объединение	▁68
220	пакет работа	пакет работа	пакет работа	пакет работа	пакет работа	▁134
221	тип	по	тип	тип	тип	тип
222	график	график	график	график	график	▁105
223	пауза	пауза	пауза	пауза	пауза	▁76
224	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁15
225	тип	по	тип	тип	тип	тип
226	обновление	обновлять	обновление	обновление	обновление	обновление
227	акция	акция	акция	акция	акция	▁4
228	тип	по	тип	тип	тип	тип
229	список использовать	список использовать	список использовать	список использовать	список использовать	▁131
230	запись	запись	запись	записываться	запись	запись
231	ремонт	ремонт	ремонт	ремонт	ремонт	ремонт
232	контракт	контракт	контракт	договор	контракт	договор
233	система окружающий среда , здоровье и безопасность	система окружающий среда , здоровье и безопасность	система окружающий среда , здоровье и безопасность	система окружающий среда , здоровье и безопасность	система окружающий среда , здоровье и безопасность	▁0
234	тип	по	тип	тип	тип	тип
235	запросить	запрос	запросить	запрос	запросить	▁93
236	агент	агент	агент	агент	агент	агент
237	запрос	запрос	запрос	запрос	запрос	▁93
238	запустить	запустить	запустить	запустить	запустить	▁102
239	подтверждение услуга	подтверждение служба	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁108
240	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
241	характер	характер	характер	характер	характер	характеристика
242	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
243	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик
244	подтверждение обслуживание	подтверждение служба	подтверждение обслуживание	подтверждение услуга	подтверждение обслуживание	▁108
245	использовать	использовать	использовать	использовать	использовать	▁128
246	тип транспорт	тип транспорт	тип транспорт	тип транспорт	тип транспорт	▁125
247	тип	по	тип	тип	тип	тип
248	контракт	контракт	контракт	договор	контракт	договор
249	заказ продажа	ордер продажа	заказ продажа	заказ продажа	заказ продажа	▁104
250	выпустить	выпустить	выпустить	выпуск	выпустить	▁92
251	дом очистка	дом очистка	дом очистка	дом очистка	дом очистка	▁27
252	дом очистка	дом очистка	дом очистка	дом очистка	дом очистка	▁27
253	сокращение	резюме	сокращение	резюме	сокращение	резюме
254	изменить	изменение	изменить	изменить	изменить	изменение
255	открытый	инстанция	открытый	инстанция	открытый	▁72
256	отследить	отследить	отследить	отследить	отследить	▁69
257	тип	по	тип	тип	тип	тип
258	тип событие	тип событие	тип событие	тип событие	тип событие	▁48
259	установить	настроить	установить	настроить	установить	▁110
260	категория	по	категория	тип	категория	тип
261	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
262	график	график	график	график	график	▁105
263	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
264	тип	по	тип	тип	тип	тип
265	тип	по	тип	тип	тип	тип
266	отчёт	отчитывать	отчёт	отчёт	отчёт	отчёт
