	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	окно	окно	окно	окно	окно	▁75
1	контракт	контракт	контракт	контракт	контракт	договор
2	по	по	по	тип	по	тип
3	доход	доход	доход	доход	доход	▁100
4	обновлять	обновлять	обновлять	обновление	обновлять	обновление
5	▔	▁2	▔	диапазон	▔	▁88
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	распространение	распространение	распространение	распространение	распространение	▁22
9	тип	по	тип	тип	тип	тип
10	входной	входной	входной	ввод	входной	ввод
11	тип	по	тип	тип	тип	тип
12	тип	по	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	по	тип	тип	тип	тип
15	тип	по	тип	тип	тип	тип
16	публичный	публичный	публичный	общественный	публичный	▁86
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	ввод	вход	ввод
19	тип	по	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁81
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁91
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	ввод	входной	ввод	ввод	ввод	ввод
25	выходной	выходной	выходной	выход	выходной	вывод
26	расплачивать	расплачивать	расплачивать	billingextract	расплачивать	▁18
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁50
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁14
29	группа	группа	группа	группа	группа	группа
30	тип	по	тип	тип	тип	тип
31	договорный	контракт	договорный	контракт	договорный	договор
32	сфера	сфера	сфера	сфера	сфера	▁106
33	add-on	add-on	add-on	add-on	add-on	▁5
34	настройка	настройка	настройка	карта	настройка	▁68
35	описание	описание	описание	описание	описание	▁117
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁55
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	расписание
41	ввод	входной	ввод	ввод	ввод	ввод
42	лист входной данные	лист входной данные	лист входной данные	лист входной данные	лист входной данные	▁109
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	промежуток	▁2	промежуток	диапазон	промежуток	▁88
46	ввод	входной	ввод	ввод	ввод	ввод
47	▔	по	▔	тип	▔	тип
48	график	график	график	график	график	расписание
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁38
50	период пребывание	период пребывание	период пребывание	период проживание	период пребывание	▁95
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁118
52	тип закупка	тип закупка	тип закупка	тип закупка	тип закупка	▁85
53	помощник	помощник	помощник	помощник	помощник	▁135
54	flow	flow	flow	flow	flow	▁52
55	определение	настройка	определение	карта	определение	▁68
56	срок назначение	срок назначение	срок назначение	срок назначение	срок назначение	▁46
57	тегирование	тегирование	тегирование	тегирование	тегирование	▁119
58	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
59	ссылка	ссылка	ссылка	транзакция	ссылка	▁124
60	поле	поле	поле	поле	поле	▁37
61	панель	окно	панель	окно	панель	▁75
62	период проживание	период пребывание	период проживание	период проживание	период проживание	▁95
63	часть	часть	часть	часть	часть	▁76
64	диапазон	▁2	диапазон	диапазон	диапазон	▁88
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	▔	▁0	▔	▁0	▔	▁17
67	копировать	копировать	копировать	копировать	копировать	▁36
68	аккумуляция	аккумуляция	аккумуляция	аккумуляция	аккумуляция	▁2
69	тип	по	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁129
71	тип	по	тип	тип	тип	тип
72	график	график	график	график	график	расписание
73	тип	по	тип	тип	тип	тип
74	выходной	выходной	выходной	выход	выходной	вывод
75	входной	входной	входной	ввод	входной	ввод
76	тип	по	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	▁8
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	запрос на mrp	запрос на mrp	запрос на mrp	запрос на mrp	запрос на mrp	▁40
81	вход	входной	вход	ввод	вход	ввод
82	соединиться	соединиться	соединиться	соединиться	соединиться	▁63
83	пространство	пространство	пространство	пространство	пространство	пространство
84	сборный	аккумуляция	сборный	аккумуляция	сборный	▁2
85	период проживание	период пребывание	период проживание	период проживание	период проживание	▁95
86	контракт	контракт	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	▁12
88	копировать	копировать	копировать	копировать	копировать	▁36
89	график	график	график	график	график	расписание
90	аккумуляция	аккумуляция	аккумуляция	аккумуляция	аккумуляция	▁2
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	▔	лист входной данные	▔	лист входной данные	▔	▁109
93	тип	по	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	график	график	график	график	график	расписание
96	отключение	отключение	отключение	отключение	отключение	▁128
97	перерыв	перерыв	перерыв	перерыв	перерыв	▁78
98	контент	контент	контент	контент	контент	контент
99	настроить	настроить	настроить	настроить	настроить	▁110
100	нить	нить	нить	нить	нить	▁121
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
102	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	▔	по	▔	тип	▔	тип
105	приложение	приложение	приложение	приложение	приложение	▁16
106	включить	включить	включить	включить	включить	активировать
