	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表
1	新興經濟體	新興經濟體	新興經濟體	新興市場	新興經濟體	新興市場
2	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
3	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數
4	資金外流	資金外流	資金外流	資金外流	資金外流	資金外流
5	新興經濟體	新興經濟體	新興經濟體	新興 市場 經濟體	新興經濟體	新興經濟體
6	新興市場	新興市場	新興市場	新興市場	新興市場	新興市場
7	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟
8	股市	股市	股市	股市	股市	股市
9	10年期美國國庫券收益率	10年期美國國庫券收益率	10年期美國國庫券收益率	10年期美國國庫券收益率	10年期美國國庫券收益率	▁0
10	道指	道指	道指	道指	道指	道指
11	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
12	美國國庫券	美國國庫券	美國國庫券	美國國庫券	美國國庫券	美國國庫券
13	資產市場波動	資產市場波動	資產市場波動	資產市場波動	資產市場波動	資產市場波動
14	資金外流	資金外流	資金外流	資金外流	資金外流	資金外流
15	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
16	資金流向	資金流向	資金流向	資金流向	資金流向	資金流向
17	市值	市值	市值	市值	市值	▁91
18	股市	股市	股市	股市	股市	股市
19	▔	▁1	▔	銀行體系	▔	銀行體系
20	抗禦能力	抗禦能力	抗禦能力	抗禦能力	抗禦能力	抗禦能力
21	銀行體系	▁1	銀行體系	銀行體系	銀行體系	銀行體系
22	金管局	金管局	金管局	金管局	金管局	金管局
23	逆周期措施	逆周期措施	逆周期措施	逆周期措施	逆周期措施	逆周期措施
24	信用風險	信用風險	信用風險	信用風險	信用風險	信用風險
25	供款與入息比率	供款與入息比率	供款與入息比率	供款與入息比率	供款與入息比率	供款與入息比率
26	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
27	按揭成數	按揭成數	按揭成數	按揭成數	按揭成數	按揭成數
28	樓市	樓市	樓市	樓市	樓市	樓市
29	風險管控措施	風險管控措施	風險管控措施	風險管控措施	風險管控措施	風險管控措施
30	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室	處置機制辦公室
31	金融危機	金融危機	金融危機	金融危機	金融危機	金融危機
32	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
33	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
34	環球金融危機	環球金融危機	環球金融危機	全球金融危機	環球金融危機	環球金融危機
35	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準	國際訂立的標準
36	銀行體系	▁1	銀行體系	銀行體系	銀行體系	銀行體系
37	資本充足率	資本充足率	資本充足率	資本 充足	資本充足率	▁15
38	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
39	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
40	銀行業	銀行業	銀行業	銀行業	銀行業	銀行業
41	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率
42	流動性	流動性	流動性	流動性	流動性	流動性
43	流動性比率	流動性比率	流動性比率	流動性比率	流動性比率	流動性比率
44	零售銀行	零售銀行	零售銀行	零售銀行	零售銀行	零售銀行
45	股東權益回報率	股東權益回報率	股東權益回報率	股東權益回報率	股東權益回報率	股東權益回報率
46	法定要求	法定要求	法定要求	法定要求	法定要求	法定要求
47	貸款總額	貸款總額	貸款總額	貸款總額	貸款總額	貸款總額
48	穩善金融	穩善金融	穩善金融	穩善金融	穩善金融	穩善金融
49	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
50	獨立非執行董事研討會	獨立非執行董事研討會	獨立非執行董事研討會	獨立非執行董事研討會	獨立非執行董事研討會	獨立非執行董事研討會
51	金管局	金管局	金管局	金管局	金管局	金管局
52	▔	▁8	▔	▁10	▔	▁73
53	獨立非執行董事	獨立非執行董事	獨立非執行董事	獨立非執行董事	獨立非執行董事	獨立非執行董事
54	穩善金融	穩善金融	穩善金融	穩善金融	穩善金融	穩善金融
55	企業文化	企業文化	企業文化	企業文化	企業文化	企業文化
56	金融危機	金融危機	金融危機	金融危機	金融危機	金融危機
57	環球金融危機	環球金融危機	環球金融危機	全球金融危機	環球金融危機	環球金融危機
58	獎勵制度	獎勵制度	獎勵制度	獎勵制度	獎勵制度	獎勵制度
59	利潤	利潤	利潤	利潤	利潤	盈利
