	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	總裁 報告	總裁 報告	總裁 報告	總裁 報告	總裁 報告	▁63
1	新冠病毒	新冠病毒	新冠病毒	新冠疫情	新冠病毒	新冠病毒
2	營運韌性	營運韌性	營運韌性	營運韌性	營運韌性	▁331
3	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
4	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢	地緣政治緊張局勢
5	金融環境	金融環境	金融環境	全球金融狀況	金融環境	全球金融狀況
6	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈	全球供應鏈
7	通脹壓力	通脹壓力	通脹壓力	通脹壓力	通脹壓力	通脹壓力
8	變異株	變異株	變異株	變異株	變異株	變異株
9	疫情	疫情	疫情	疫情	疫情	疫情
10	韌性	韌性	韌性	韌性	韌性	▁387
11	新冠	新冠病毒	新冠	新冠疫情	新冠	新冠病毒
12	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗	新冠疫苗
13	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	抗疫 困 措施	▁205
14	香港經濟	香港經濟	香港經濟	香港經濟	香港經濟	香港經濟
15	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策	貨幣及財政政策
16	抗疫	疫情	抗疫	疫情	抗疫	疫情
17	困 措施	困 措施	困 措施	紓困措施	困 措施	紓困措施
18	疫苗接種計劃	疫苗接種計劃	疫苗接種計劃	疫苗接種計劃	疫苗接種計劃	疫苗接種計劃
19	金融科技	金融科技	金融科技	金融科技	金融科技	金融科技
20	香港作為內地市場門戶	香港作為內地市場門戶	香港作為內地市場門戶	香港作為內地市場門戶	香港作為內地市場門戶	▁230
21	內地	內地	內地	內地	內地	內地
22	內地 市場 機遇	內地 市場 機遇	內地 市場 機遇	內地 市場 機遇	內地 市場 機遇	▁299
23	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定	貨幣穩定
24	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定	金融及貨幣穩定
25	綠色金融	綠色金融	綠色金融	綠色金融	綠色金融	綠色金融
26	策略重點	策略重點	策略重點	策略重點	策略重點	▁423
27	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
28	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
29	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系
30	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
31	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
32	新冠疫情	新冠病毒	新冠疫情	新冠疫情	新冠疫情	新冠病毒
33	新冠疫情	新冠疫情	新冠疫情	新冠疫情	新冠疫情	▁96
34	金融體系	金融體系	金融體系	香港金融體系	金融體系	香港金融體系
35	▔	▁21	▔	▁19	▔	▁282
36	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
37	美國貨幣政策收緊	美國貨幣政策收緊	美國貨幣政策收緊	美國貨幣政策收緊	美國貨幣政策收緊	美國收緊貨幣政策
38	匯率及貨幣市場	匯率及貨幣市場	匯率及貨幣市場	外匯及貨幣市場	匯率及貨幣市場	外匯及貨幣市場
39	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
40	貨幣市場	貨幣市場	貨幣市場	貨幣市場	貨幣市場	貨幣市場
41	疫情	疫情	疫情	疫情	疫情	疫情
42	外部部門報告	外部部門報告	外部部門報告	外部部門報告	外部部門報告	▁158
43	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
44	▔	▁21	▔	▁19	▔	▁282
45	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備	財政及外匯儲備
46	財政框架	財政框架	財政框架	財政框架	財政框架	▁178
47	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	審慎 財政 框架	▁367
48	全面性分析	全面性分析	全面性分析	全面性分析	全面性分析	▁81
49	數據分析	數據分析	數據分析	數據分析	數據分析	數據分析
50	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
51	宏觀審慎監察	宏觀審慎監察	宏觀審慎監察	宏觀審慎監察	宏觀審慎監察	宏觀審慎監察
52	公眾 市場 參	公眾 市場 參	公眾 市場 參	公眾 市場 參	公眾 市場 參	▁370
53	監察	監察	監察	監察	監察	監察
54	科技及數據分析	科技及數據分析	科技及數據分析	科技及數據分析	科技及數據分析	▁440
55	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
56	新冠疫情	新冠病毒	新冠疫情	新冠疫情	新冠疫情	新冠病毒
