	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	▁0
1	▔	▁21	▔	內地	▔	內地
2	中國內地	中國內地	中國內地	中國內地	中國內地	中國內地
3	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	▁244
4	中東	中東	中東	中東	中東	中東
5	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	▁346
6	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	▁38
7	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長
10	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢
11	利率前景	利率前景	利率前景	利率前景	利率前景	利率前景
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁247
13	貨幣條件	貨幣條件	貨幣條件	貨幣條件	貨幣條件	▁261
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁387
15	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行
16	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行
17	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	▁158
18	香港金融管理局	香港金融管理局	香港金融管理局	金管局	香港金融管理局	金管局
19	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	本地生產總值	本地生產總值	本地生產總值	本地生產總值	本地生產總值	本地生產總值
23	入境旅遊	入境旅遊	入境旅遊	入境旅遊	入境旅遊	▁202
24	勞動市場	勞動市場	勞動市場	勞工市場	勞動市場	勞工市場
25	新常態	新常態	新常態	新常態	新常態	新常態
26	私人消費	私人消費	私人消費	私人消費	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	金管局	香港金融管理局	金管局	金管局	金管局	金管局
29	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	▁237
32	貨幣及銀行體系穩定	貨幣及銀行體系穩定	貨幣及銀行體系穩定	貨幣 銀行 穩定	貨幣及銀行體系穩定	▁259
33	▔	▁0	▔	▁3	▔	▁17
34	▔	▁11	▔	▁9	▔	▁118
35	▔	▁12	▔	余偉文	▔	余偉文
36	金管局	香港金融管理局	金管局	金管局	金管局	金管局
37	唐英年	唐英年	唐英年	唐英年	唐英年	唐英年
38	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區
39	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華
40	▔	▁18	▔	▁16	▔	▁218
41	先生	先生	先生	先生	先生	▁277
42	先生	先生	先生	先生	先生	▁291
43	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	▁393
44	政府	政府	政府	政府	政府	政府
45	▔	▁19	▔	▁17	▔	▁224
46	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
47	▔	▁19	▔	▁17	▔	▁224
48	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
49	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
50	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系	貨幣及金融體系
51	金管局	香港金融管理局	金管局	金管局	金管局	金管局
52	▔	▁19	▔	▁17	▔	▁224
53	數據分析	數據分析	數據分析	數據分析	數據分析	▁107
54	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
55	緻	緻	緻	緻	緻	▁167
56	貨幣體系	貨幣體系	貨幣體系	貨幣體系	貨幣體系	▁262
57	持份者	持份者	持份者	持份者	持份者	持份者
58	交易資料庫	交易資料庫	交易資料庫	交易資料庫	交易資料庫	▁403
59	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
60	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
61	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝
62	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境
63	流動性	流動性	流動性	流動性	流動性	流動性
64	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝
65	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率
66	內地	▁21	內地	內地	內地	內地
67	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
68	銀行業	銀行業	銀行業	銀行業	銀行業	▁35
69	分類貸款比率	分類貸款比率	分類貸款比率	分類貸款比率	分類貸款比率	▁67
70	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	▁92
71	流動性	流動性	流動性	流動性	流動性	流動性
72	期 歷史 平均	期 歷史 平均	期 歷史 平均	期 歷史 平均	期 歷史 平均	▁231
73	房地產開發商	房地產開發商	房地產開發商	房地產開發商	房地產開發商	▁318
74	風險管理	風險管理	風險管理	風險管理	風險管理	風險管理
75	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求
76	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	2008年環球金融危機	▁0
77	金管局	香港金融管理局	金管局	金管局	金管局	金管局
78	銀行業	銀行業	銀行業	銀行業	銀行業	▁35
79	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	銀行業動盪	▁38
80	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝	資本及流動性緩衝
81	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
82	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
83	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場
84	內部檢討	內部檢討	內部檢討	內部檢討	內部檢討	內部檢討
85	流動性	流動性	流動性	流動性	流動性	流動性
86	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝
87	溢出 效應	溢出 效應	溢出 效應	溢出 效應	溢出 效應	▁364
88	監管效能	監管效能	監管效能	監管效能	監管效能	▁376
89	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁387
90	金管局	香港金融管理局	金管局	金管局	金管局	金管局
91	銀行業	銀行業	銀行業	銀行業	銀行業	▁35
92	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	▁92
93	風險管理	風險管理	風險管理	風險管理	風險管理	風險管理
94	中小企	中小企	中小企	中小企	中小企	中小企
95	金管局	香港金融管理局	金管局	金管局	金管局	金管局
96	樓市	樓市	樓市	物業市場	樓市	物業市場
97	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	▁86
98	利率壓力測試要求	利率壓力測試要求	利率壓力測試要求	利率壓力測試要求	利率壓力測試要求	▁211
99	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限
100	物業發展和投資	物業發展和投資	物業發展和投資	物業發展和投資	物業發展和投資	▁319
