	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	bereich	bereich	bereich	bereich	bereich	space
1	storage	storage	storage	speicherbereich	storage	▁126
2	teil|teilen	teil|teilen	teil|teilen	freigeben	teil|teilen	▁118
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	anlegen	anlegen	anlegen	erstellen	anlegen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁15
6	triggerbasieren	triggerbasieren	triggerbasieren	trigger	triggerbasieren	▁135
7	connector	connector	connector	connector	connector	connector
8	kunde	kunde	kunde	kunde	kunde	▁36
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁130
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁39
11	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
12	seitenpanel	seitenpanel	seitenpanel	seitenbereich	seitenpanel	seitenbereich
13	hauptkennzahlen	hauptkennzahlen	hauptkennzahlen	hauptkennzahlen	hauptkennzahlen	▁66
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	bereich	bereich	bereich	bereich	space
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁70
18	versionshistorei	versionshistorei	versionshistorei	historie	versionshistorei	▁62
19	version	version	version	release	version	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	version	release	release	release	release
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	▁17
28	speicherbereich	storage	speicherbereich	speicherbereich	speicherbereich	▁126
29	speicherbereich	bereich	speicherbereich	bereich	speicherbereich	space
30	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
31	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
32	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenanbieter	provider	datenanbieter
34	space	bereich	space	bereich	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	konsummodell	konsummodell	konsummodell	konsummodell	konsummodell	verbrauchsmodell
37	referenzgröße	referenzgröße	referenzgröße	referenzgröße	referenzgröße	▁101
38	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁110
40	satztyp	satztyp	satztyp	arbeitsaufgabentypen	satztyp	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	bereich	space	bereich	space	space
43	revision	revision	revision	revision	revision	▁109
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	beginn	startdatum	▁124
46	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	▁93
47	layer	layer	layer	ebene	layer	▁73
48	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
49	bereich	bereich	bereich	bereich	bereich	space
50	skalierungstyp	satztyp	skalierungstyp	arbeitsaufgabentypen	skalierungstyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungsübersichten	zusammenfassung	▁129
53	space	bereich	space	bereich	space	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	konsummodell	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell
56	statement	triggerbasieren	statement	trigger	statement	▁135
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	client	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁71
60	bereich	bereich	bereich	bereich	bereich	space
61	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
62	tasken	tasken	tasken	tasken	tasken	▁131
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	connector	▔ertrat<sos>	connector	▔ertrat<sos>	connector
65	veröffentlichung	version	veröffentlichung	release	veröffentlichung	release
66	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁119
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	▁11
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	release	version	release	release	release	release
73	meldung	meldung	meldung	nachricht	meldung	nachricht
74	bereich	bereich	bereich	bereich	bereich	space
75	endbenutzeranwendung	endbenutzeranwendung	endbenutzeranwendung	endanwender	endbenutzeranwendung	▁49
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
78	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
79	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
80	raumpriorität	bereich	raumpriorität	bereich	raumpriorität	space
81	breadcrumb	breadcrumb	breadcrumb	breadcrumb	breadcrumb	▁22
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	incident	incident	incident	incident	incident	▁64
84	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	▁25
85	arbeitszentrum	arbeitszentrum	arbeitszentrum	arbeitsbereich	arbeitszentrum	▁143
86	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	▁108
87	trigger	triggerbasieren	trigger	trigger	trigger	▁135
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁63
89	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁2
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	beginn	▔ertrat<sos>	▁124
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	item	item	item	element	item	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁78
95	seitenpanel	seitenpanel	seitenpanel	seitenbereich	seitenpanel	seitenbereich
96	raum|räumen	bereich	raum|räumen	bereich	raum|räumen	space
97	space	bereich	space	bereich	space	space
98	zulassen	zulassen	zulassen	zulassen	zulassen	▁12
99	mindestwert	mindestpunktzahl	mindestwert	mindestpunktzahl	mindestwert	▁78
100	schnellaktion	schnellaktion	schnellaktion	schnellaktion	schnellaktion	▁9
101	schnellaktion	schnellaktion	schnellaktion	schnellaktion	schnellaktion	▁1
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	compliance	compliance	compliance	compliance	compliance	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
105	release	version	release	release	release	release
106	▔ertrat<sos>	anlegen	▔ertrat<sos>	erstellen	▔ertrat<sos>	erstellen
107	berechtigungstypen	satztyp	berechtigungstypen	arbeitsaufgabentypen	berechtigungstypen	art
108	connector	connector	connector	connector	connector	connector
109	space	bereich	space	bereich	space	space
110	terminplan	zeitplan	terminplan	zeitplan	terminplan	zeitplan
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁28
113	dienstleistung	dienstleistung	dienstleistung	service	dienstleistung	service
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
115	zuwiesen	zuordnen	zuwiesen	zuordnen	zuwiesen	▁17
116	speicherbereich	bereich	speicherbereich	bereich	speicherbereich	space
117	erkenntnis	erkenntnis	erkenntnis	erkenntnis	erkenntnis	▁68
118	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
119	bereich	bereich	bereich	bereich	bereich	space
120	speicherressourcen	storage	speicherressourcen	speicherbereich	speicherressourcen	▁126
121	weitergeben	teil|teilen	weitergeben	freigeben	weitergeben	▁118
122	version	version	version	release	version	release
123	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
124	datenrestriktion	datenrestriktion	datenrestriktion	beschränkung	datenrestriktion	beschränkung
125	snapshot	snapshot	snapshot	snapshot	snapshot	snapshot
126	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle
127	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
128	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁40
129	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
130	referenzdaten	referenzdaten	referenzdaten	referenzdaten	referenzdaten	▁99
131	bereitstellungen	bereitstellung	bereitstellungen	bereitstellung	bereitstellungen	▁40
132	release	version	release	release	release	release
133	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
134	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁40
135	datum	datum	datum	datum	datum	▁138
136	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁119
137	rückmeldung	rückmeldung	rückmeldung	rückmeldung	rückmeldung	▁53
138	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
139	insert	insert	insert	insert	insert	▁67
140	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	spaltentabellen	▔ertrat<sos>	▁6
141	erkenntnis	erkenntnis	erkenntnis	erkenntnis	erkenntnis	▁68
142	bereitstellungsen	bereitstellung	bereitstellungsen	bereitstellung	bereitstellungsen	▁40
143	speicherbereich	bereich	speicherbereich	bereich	speicherbereich	space
144	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum
145	arbeitsbereich	arbeitszentrum	arbeitsbereich	arbeitsbereich	arbeitsbereich	▁143
146	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
147	release	version	release	release	release	release
