	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	platz
1	speicher	speicher	speicher	speicher	speicher	speicher
2	teilen	teilen	teilen	teilen	teilen	freigeben
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	auslöser	auslöser	auslöser	auslöser	auslöser	auslöser
7	konnektor	konnektor	konnektor	konnektor	konnektor	konnektor
8	debitor	debitor	debitor	customer	debitor	customer
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁27
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	space	space	space	space	platz
17	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	▁29
18	verlauf	verlauf	verlauf	verlauf	verlauf	history
19	release	release	release	release	release	release
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle	datenzugriffskontrollen	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	release	release	release	release	release
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherlimit	speicher	speicherlimit	speicher	speicherlimit	speicher
29	platz	space	platz	space	platz	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	provider	datenprovider	provider	datenprovider	provider	datenanbieter
34	space	space	space	space	space	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitraum	periode	periode	periode	periode
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁46
40	satzart	satzart	satzart	art	satzart	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	space	space	space	space	platz
