	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	bereich	bereich	bereich	space	bereich	space
1	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	speicherplatz	▔ertrat<sos>	▁120
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	anlegen	anlegen	anlegen	erstellen	anlegen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁15
6	triggerbasieren	triggerbasieren	triggerbasieren	trigger	triggerbasieren	▁130
7	connector	connector	connector	▔ertrat<sos>	connector	▁36
8	debitor	debitor	debitor	customer	debitor	customer
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁125
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenbereich	seitenleisten	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	▁64
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	bereich	bereich	space	bereich	space
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁67
18	versionshistorei	versionshistorei	versionshistorei	verlauf	versionshistorei	verlauf
19	versionshistorei	versionshistorei	versionshistorei	release	versionshistorei	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	▁8
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenprovider
23	abgleich	abgleich	abgleich	abgleich	abgleich	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	versionshistorei	release	release	release	release
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	▁16
28	speicherplatz	▔ertrat<sos>	speicherplatz	speicherplatz	speicherplatz	▁120
29	speicherbereich	bereich	speicherbereich	space	speicherbereich	space
30	periode	periode	periode	periode	periode	▁87
31	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
32	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
34	space	bereich	space	space	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
36	consumption model	consumption model	consumption model	consumption model	consumption model	verbrauchsmodell
37	referenzgröße	referenzgröße	referenzgröße	referenzgröße	referenzgröße	▁98
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁87
39	root	root	root	root	root	▁106
40	klauselart	klauselart	klauselart	art	klauselart	art
41	annahme	annahme	annahme	annahme	annahme	▁7
42	space	bereich	space	space	space	space
43	revision	revision	revision	revision	revision	▁105
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenprovider
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁118
46	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	preisfestlegungsdatum	▁89
47	data	data	data	data	data	▁70
48	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
49	space	bereich	space	space	space	space
50	staffeltyp	klauselart	staffeltyp	art	staffeltyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungsübersichten	zusammenfassung	▁124
53	space	bereich	space	space	space	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	consumption model	verbrauchsmodell	consumption model	verbrauchsmodell	verbrauchsmodell
56	trigger	triggerbasieren	trigger	trigger	trigger	▁130
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	client	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁68
60	bereich	bereich	bereich	space	bereich	space
61	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	connector	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁36
65	veröffentlichung	versionshistorei	veröffentlichung	release	veröffentlichung	release
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenprovider
69	menü	menü	menü	menü	menü	menü
70	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	▁11
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
72	release	versionshistorei	release	release	release	release
73	meldung	meldung	meldung	nachricht	meldung	nachricht
74	space	bereich	space	space	space	space
75	endnutzer	endnutzer	endnutzer	endanwender	endnutzer	▁48
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
77	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
78	▔ertrat<sos>	anlegen	▔ertrat<sos>	erstellen	▔ertrat<sos>	erstellen
79	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
80	raum	bereich	raum	space	raum	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	incident	incident	incident	incident	incident	▁62
84	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	benutzerfreundlichen bezeichnung	▁24
85	arbeitsbereich	arbeitsbereich	arbeitsbereich	arbeitsbereich	arbeitsbereich	▁138
86	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	▁103
87	leeren	triggerbasieren	leeren	trigger	leeren	▁130
88	bezeichner	bezeichner	bezeichner	bezeichner	bezeichner	▁61
89	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁1
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	startdatum	▔ertrat<sos>	▁118
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁74
95	seitenbereich	seitenleisten	seitenbereich	seitenbereich	seitenbereich	seitenbereich
96	space	bereich	space	space	space	space
97	space	bereich	space	space	space	space
98	zulassen	zulassen	zulassen	zulassen	zulassen	▁12
99	mindestwert	mindestpunktzahl	mindestwert	mindestpunktzahl	mindestwert	▁74
