	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁32
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁16
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁47
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	filtro	filtro	filtro	filtro	filtro	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁57
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	bajo	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reinicia	filtro	reinicia	filtro	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁26
24	programa	programa	programa	cronograma	programa	programación
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	completar
27	pausa	pausa	pausa	pausar	pausa	▁63
28	▔	▁4	▔	utilizar	▔	uso
29	programación	programa	programación	cronograma	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	programa	programación	cronograma	programación	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	intervalo	rango	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁75
40	público	público	público	público	público	público
41	programado	programa	programado	cronograma	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	restablecer	filtro	restablecer	filtro	restablecer	restablecer
