	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	договор	контракт	договор
2	тип	тип	тип	тип	тип	тип
3	revenue	revenue	revenue	revenue	revenue	▁89
4	обновление	обновление	обновление	обновить	обновление	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁77
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁21
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	▁55
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	публичный	публичный	▁75
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	входной	вход	▁55
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁71
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	норматив	норматив	норматив	норматив	норматив	▁81
23	источник	поставщик	источник	поставщик	источник	поставщик
24	вход	входной	вход	входной	вход	▁55
25	вывод	вывод	вывод	вывод	вывод	вывод
26	▔	▁0	▔	▁0	▔	▁18
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁45
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁15
29	группировка	группировка	группировка	группировка	группировка	▁50
30	тип	тип	тип	тип	тип	тип
31	контрактный	контракт	контрактный	договор	контрактный	договор
32	область	область	область	область	область	▁93
33	add-on	add-on	add-on	add-on	add-on	▁8
34	▔	▁2	▔	сопоставление	▔	сопоставление
35	изложение	изложение	изложение	сводка	изложение	сводка
36	валюта	валюта	валюта	валюта	валюта	▁48
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	spaces	пространство	spaces	пространство	spaces	пространство
40	график	график	график	расписание	график	запланировать
41	дать	входной	дать	входной	дать	▁55
42	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁95
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	▔	диапазон	▔	диапазон	▔	▁77
46	входной	входной	входной	входной	входной	▁55
47	тип	тип	тип	тип	тип	тип
48	расписание	график	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
50	срок хранение	срок хранение	срок хранение	период проживание	срок хранение	▁84
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁103
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁118
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁2	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁41
57	связать	связать	связать	связать	связать	▁104
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	период проживание	срок хранение	период проживание	период проживание	период проживание	▁84
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁77
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁17
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	начисление	начисление	начисление	начисление	начисление	▁5
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁113
71	тип	тип	тип	тип	тип	тип
72	расписание	график	расписание	расписание	расписание	запланировать
73	тип	тип	тип	тип	тип	тип
74	выходной	вывод	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁55
76	тип	тип	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	распределение
78	договор	контракт	договор	договор	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	редактировать
80	управление по спрос	управление по спрос	управление по спрос	управление по спрос	управление по спрос	▁35
81	вход	входной	вход	входной	вход	▁55
82	join	join	join	join	join	▁59
83	спейс	пространство	спейс	пространство	спейс	пространство
84	начисление	начисление	начисление	начисление	начисление	▁5
85	период хранение	срок хранение	период хранение	период проживание	период хранение	▁84
86	контракт	контракт	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	расписание	график	расписание	расписание	расписание	запланировать
90	начисление	начисление	начисление	начисление	начисление	▁5
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист регистрация услуга	лист ввод услуга	лист регистрация услуга	лист ввод услуга	лист регистрация услуга	▁95
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	график	расписание	расписание	расписание	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁68
98	содержимое	содержимое	содержимое	содержимое	содержимое	▁31
99	настройка	настройка	настройка	настройка	настройка	▁96
100	поток	поток	поток	поток	поток	▁106
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁70
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁83
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	тип
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	график	график	график	расписание	график	запланировать
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
