	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	▔	▁2	▔	договор	▔	договор
2	тип	тип	тип	тип	тип	вид
3	revenue	revenue	revenue	revenue	revenue	▁85
4	обновить	обновить	обновить	обновить	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁73
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁19
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	▁52
11	тип	тип	тип	тип	тип	вид
12	▔	тип	▔	тип	▔	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	public	публичный	▁71
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	данные	входной	данные	входной	данные	▁52
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁68
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	норматив	норматив	норматив	норматив	норматив	▁77
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	▔	входной	▔	входной	▔	▁52
25	вывод	вывод	вывод	вывод	вывод	вывод
26	▔	▁0	▔	▁0	▔	▁16
27	explosion	explosion	explosion	explosion	explosion	▁43
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
29	group	group	group	group	group	группа
30	▔	тип	▔	тип	▔	вид
31	контрактный	▁2	контрактный	договор	контрактный	договор
32	область	область	область	область	область	▁89
33	add-on	add-on	add-on	add-on	add-on	▁6
34	▔	▁3	▔	mapping	▔	▁60
35	изложение	изложение	изложение	сводка	изложение	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁46
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	изменить	редактировать	редактировать
39	spaces	место	spaces	пространство	spaces	пространство
40	график	график	график	расписание	график	запланировать
41	дать	входной	дать	входной	дать	▁52
42	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁91
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	диапазон	▔	▁73
46	входной	входной	входной	входной	входной	▁52
47	тип	тип	тип	тип	тип	вид
48	расписание	график	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
50	активный срок хранение	активный срок хранение	активный срок хранение	период пребывание	активный срок хранение	▁80
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁99
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁115
54	поток	поток	поток	поток	поток	поток
55	mapping	▁3	mapping	mapping	mapping	▁60
56	срок исполнение	срок исполнение	срок исполнение	срок исполнение	срок исполнение	▁39
57	пометить	пометить	пометить	пометить	пометить	▁100
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	период пребывание	активный срок хранение	период пребывание	период пребывание	период пребывание	▁80
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁73
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁15
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	разграничение	разграничение	разграничение	начисление	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	▁109
71	тип	тип	тип	тип	тип	вид
72	расписание	график	расписание	расписание	расписание	запланировать
73	▔	тип	▔	тип	▔	вид
74	▔	вывод	▔	вывод	▔	вывод
75	входной	входной	входной	входной	входной	▁52
76	тип	тип	тип	тип	тип	вид
77	отнесение	отнесение	отнесение	распределение	отнесение	▁8
78	договор	▁2	договор	договор	договор	договор
79	отредактировать	редактировать	отредактировать	изменить	отредактировать	редактировать
80	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	ориентировать на спрос	▁33
81	вход	входной	вход	входной	вход	▁52
82	join	join	join	join	join	▁56
83	среда	место	среда	пространство	среда	пространство
84	начисление	разграничение	начисление	начисление	начисление	разграничение
85	период пребывание	активный срок хранение	период пребывание	период пребывание	период пребывание	▁80
86	контракт	▁2	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	расписание	график	расписание	расписание	расписание	запланировать
90	начисление	разграничение	начисление	начисление	начисление	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист регистрация услуга	лист ввод услуга	лист регистрация услуга	лист ввод услуга	лист регистрация услуга	▁91
93	▔	тип	▔	тип	▔	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	график	расписание	расписание	расписание	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
98	содержимое	содержимое	содержимое	содержимое	содержимое	▁30
99	установить	установить	установить	установить	установить	▁92
100	поток	поток	поток	поток	поток	▁102
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁67
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁79
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	график	график	график	расписание	график	запланировать
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	ставка	ставка	ставка	коэффициент	ставка	▁74
118	мастер	мастер	мастер	мастер	мастер	▁115
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	▔	тип	▔	тип	▔	вид
121	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁51
123	изменить	редактировать	изменить	изменить	изменить	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	расписание	график	расписание	расписание	расписание	запланировать
126	копировать	копировать	копировать	копировать	копировать	скопировать
127	изменить	редактировать	изменить	изменить	изменить	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	вид
131	запланировать	график	запланировать	расписание	запланировать	запланировать
132	область	область	область	область	область	▁89
133	контракт	▁2	контракт	договор	контракт	договор
134	▔	▁5	▔	срок хранение	▔	срок хранение
135	story	story	story	story	story	▁97
136	пространство	место	пространство	пространство	пространство	пространство
137	коэффициент	ставка	коэффициент	коэффициент	коэффициент	▁74
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	вид	тип	вид	тип	вид	вид
140	место	место	место	пространство	место	пространство
141	перенести	перенести	перенести	перенести	перенести	▁106
142	тип	тип	тип	тип	тип	вид
143	экземпляр	экземпляр	экземпляр	экземпляр	экземпляр	▁54
144	открыть	открыть	открыть	открытый	открыть	▁64
145	тип	тип	тип	тип	тип	вид
146	мастер	мастер	мастер	мастер	мастер	▁115
147	тип	тип	тип	тип	тип	вид
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	тип	тип	тип	тип	тип	вид
150	планировать	график	планировать	расписание	планировать	запланировать
151	мастер	мастер	мастер	мастер	мастер	▁115
152	заявка	заявка	заявка	запрос	заявка	заявка
153	изменить	изменить	изменить	изменить	изменить	изменить
154	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
155	возобновить	возобновить	возобновить	возобновить	возобновить	▁81
156	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
157	связь	связь	связь	связь	связь	связь
158	агрегировать	агрегировать	агрегировать	агрегировать	агрегировать	агрегировать
159	контракт	▁2	контракт	договор	контракт	договор
160	тип	тип	тип	тип	тип	вид
161	элемент	элемент	элемент	элемент	элемент	элемент
162	design time	design time	design time	design time	design time	▁34
163	тип	тип	тип	тип	тип	вид
164	расписание	график	расписание	расписание	расписание	запланировать
165	тип	тип	тип	тип	тип	вид
166	получить	получить	получить	получить	получить	получить
167	обновить	обновить	обновить	обновить	обновить	обновить
168	выгрузить	выгрузить	выгрузить	выгрузить	выгрузить	▁38
169	проверить	проверить	проверить	проверить	проверить	проверить
170	пространство	место	пространство	пространство	пространство	пространство
171	тип	тип	тип	тип	тип	вид
172	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
173	тип разграничение	тип разграничение	тип разграничение	тип разграничение	тип разграничение	▁105
174	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
175	мастер	мастер	мастер	мастер	мастер	▁115
176	тип	тип	тип	тип	тип	вид
177	тип	тип	тип	тип	тип	вид
178	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
179	редактирование	редактировать	редактирование	изменить	редактирование	редактировать
180	входной	входной	входной	входной	входной	▁52
181	распределение	отнесение	распределение	распределение	распределение	▁8
182	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁90
183	заявка	заявка	заявка	запрос	заявка	заявка
184	использовать	использовать	использовать	использовать	использовать	▁109
185	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
186	правка	редактировать	правка	изменить	правка	редактировать
187	пространство	место	пространство	пространство	пространство	пространство
188	тип	тип	тип	тип	тип	вид
189	получить	получить	получить	получить	получить	получить
190	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁72
191	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁2
