	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁136
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortung	verantwortung	verantwortung	verantwortung	verantwortung	▁13
6	trigger	trigger	trigger	trigger	trigger	▁151
7	connector	connector	connector	▔ertrat<sos>	connector	▁35
8	kunde	kunde	kunde	kunde	kunde	▁38
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁142
10	wählen	wählen	wählen	wählen	wählen	▁41
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁127
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁66
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	intercompansen	intercompansen	intercompansen	intercompanyen	intercompansen	▁70
18	versionsgeschichte	versionsgeschichte	versionsgeschichte	geschichte	versionsgeschichte	▁61
19	version	version	version	veröffentlichung	version	release
20	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁8
22	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	▁124
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	version	release	veröffentlichung	release	release
27	zuweisen	zuweisen	zuweisen	zuordnen	zuweisen	zuweisen
28	speicherlimen	speicherressourcen	speicherlimen	speicherressourcen	speicherlimen	▁136
29	bereich	raum	bereich	raum	bereich	space
30	periode	periode	periode	periode	periode	▁95
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenlieferanen	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenlieferanen	provider	datenanbieter
34	raum	raum	raum	raum	raum	space
35	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
36	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	verbrauchsmodellen	▔ertrat<sos>	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	periode	zeitraum	periode	zeitraum	▁95
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁116
40	typ	typ	typ	typ	typ	typ
41	annahme	annahme	annahme	annahme	annahme	▁7
42	raum	raum	raum	raum	raum	space
43	revisionsversionen	revisionsversionen	revisionsversionen	revisionsnummern	revisionsversionen	▁115
44	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
45	bestand	bestand	bestand	bestand	bestand	▁134
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁97
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalierungstyp	typ	skalierungstyp	typ	skalierungstyp	typ
51	terminplan	terminplan	terminplan	terminplan	terminplan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungszusammenfassungsten	zusammenfassung	▁141
53	raum	raum	raum	raum	raum	space
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	▁110
55	verbrauchsmustern	▔ertrat<sos>	verbrauchsmustern	verbrauchsmodellen	verbrauchsmustern	verbrauchsmodell
56	trigger	trigger	trigger	trigger	trigger	▁151
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	kunde	kunde	kunde	analyse	kunde	▁29
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁71
60	raum	raum	raum	raum	raum	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	connector	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁35
