	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁124
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	constraint	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	▁13
6	trigger	trigger	trigger	trigger	trigger	▁135
7	verbindung	verbindung	verbindung	▔ertrat<sos>	verbindung	▁33
8	debitor	debitor	debitor	kunde	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁129
10	wählen	wählen	wählen	wählen	wählen	▁39
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁117
13	indikator	indikator	indikator	busyen	indikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	intercompansen	intercompansen	intercompansen	intern	intercompansen	▁65
18	geschichte	geschichte	geschichte	geschichte	geschichte	▁58
19	release	release	release	veröffentlichung	release	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁8
22	datenprovider	datenanbieter	datenprovider	datenlieferanen	datenprovider	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	▁114
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	release	release	veröffentlichung	release	freigabe
27	zuweisen	zuweisen	zuweisen	zuordngsbestellpositionen	zuweisen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁124
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenanbieters	datenanbieter	datenanbieters	datenlieferanen	datenanbieters	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenlieferanen	provider	datenanbieter
34	raum	raum	raum	raum	raum	space
35	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
36	verbrauchsschemata	verbrauchsschemata	verbrauchsschemata	verbrauchsmodell	verbrauchsschemata	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁106
40	klauselart	klauselart	klauselart	art	klauselart	art
41	annahme	annahme	annahme	annahme	annahme	▁7
42	raum	raum	raum	raum	raum	space
43	revisions	revisions	revisions	revisions	revisions	▁105
44	datenprovidern	datenanbieter	datenprovidern	datenlieferanen	datenprovidern	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁122
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁87
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalierungstyp	klauselart	skalierungstyp	art	skalierungstyp	art
51	plan	plan	plan	plan	plan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung
53	raum	raum	raum	raum	raum	space
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	▁99
55	verbrauchsmodell	verbrauchsschemata	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	trigger	trigger	trigger	trigger	trigger	▁135
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	kunde	kunde	kunde	klient	kunde	▁28
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁66
60	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	verbindung	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁33
65	veröffentlichung	release	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenlieferanen	datenanbieter	datenlieferanen	datenlieferanen	datenlieferanen	datenanbieter
