	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	вкладка	панель	▁71
1	контракт	контракт	контракт	контракт	контракт	договор
2	▔	▁3	▔	тип	▔	вид
3	доход	доход	доход	доход	доход	▁93
4	изменить	изменить	изменить	обновление	изменить	обновить
5	диапазон	диапазон	диапазон	▁2	диапазон	▁83
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	ветвление	ветвление	ветвление	ветвление	ветвление	▁20
9	тип	▁3	тип	тип	тип	вид
10	входящий	входящий	входящий	вход	входящий	▁56
11	▔	▁3	▔	тип	▔	вид
12	тип	▁3	тип	тип	тип	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	▁3	тип	тип	тип	вид
15	тип	▁3	тип	тип	тип	вид
16	публичный	публичный	публичный	общественность	публичный	▁81
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входящий	вход	вход	вход	▁56
19	тип	▁3	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁77
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регламент	регламент	регламент	регламент	регламент	▁85
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входящий	вход	вход	вход	▁56
25	дать	дать	дать	выход	дать	▁70
26	оплачивать	оплачивать	оплачивать	оплачивать	оплачивать	▁17
27	детонация	детонация	детонация	детонация	детонация	▁46
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
29	group	group	group	group	group	группа
30	тип	▁3	тип	тип	тип	вид
31	контракт	контракт	контракт	контракт	контракт	договор
32	область	область	область	область	область	▁98
33	add-on	add-on	add-on	add-on	add-on	▁4
34	отображение	отображение	отображение	маппинг	отображение	▁64
35	описание	описание	описание	обзор	описание	▁110
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁50
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	схема	схема	схема	расписание	схема	планирование
41	дать	входящий	дать	вход	дать	▁56
42	лист ввод служба	лист ввод служба	лист ввод служба	лист ввод служба	лист ввод служба	▁101
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	▁2	▔	▁83
46	входящий	входящий	входящий	вход	входящий	▁56
47	тип	▁3	тип	тип	тип	вид
48	график	схема	график	расписание	график	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁35
50	активный срок пребывание	активный срок пребывание	активный срок пребывание	период пребывание	активный срок пребывание	▁88
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁111
52	project type	project type	project type	project type	project type	▁80
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	▔	отображение	▔	маппинг	▔	▁64
56	срок сдача	срок сдача	срок сдача	срок сдача	срок сдача	▁42
