	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	platz
1	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	speicherplatz	▔ertrat<sos>	▁70
2	teilen	teilen	teilen	teilen	teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	trigger	trigger	trigger	trigger	trigger	▁76
7	konnektor	konnektor	konnektor	konnektor	konnektor	konnektor
8	kreditor	kreditor	kreditor	kunde	kreditor	▁14
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁30
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	raum	space	raum	space	platz
17	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	intercompanyen	buchungskreisübergreifen	▁33
18	release	release	release	historie	release	verlauf
19	release	release	release	release	release	release
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	release	release	release	release	release
27	zuweisen	zuweisen	zuweisen	zuwiesen	zuweisen	zuweisen
28	speicherplatz	▔ertrat<sos>	speicherplatz	speicherplatz	speicherplatz	▁70
29	platz	raum	platz	raum	platz	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenanbieterprofilsen	datenprovider	datenanbieterprofilsen	datenprovider	datenanbieterprofilsen	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	provider	datenprovider	provider	datenprovider	provider	datenanbieter
34	raum	raum	raum	raum	raum	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitraum	periode	periode	periode	periode
39	stamm	stamm	stamm	stamm	stamm	stamm
40	klaustyp	klaustyp	klaustyp	typ	klaustyp	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	raum	space	raum	space	platz
43	überarbeitung	überarbeitung	überarbeitung	revisionsnummern	überarbeitung	▁59
44	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁68
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁50
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
49	raum	raum	raum	raum	raum	platz
50	skalierungstyp	klaustyp	skalierungstyp	typ	skalierungstyp	art
51	zeitplan	zeitplan	zeitplan	terminplan	zeitplan	dokument
52	übersicht	übersicht	übersicht	zusammenfassung	übersicht	zusammenfassung
53	raum	raum	raum	raum	raum	platz
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	erstellen	trigger	erstellen	trigger	erstellen	▁76
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	analyse	client	client
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁34
60	raum	raum	raum	raum	raum	platz
61	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	provider	provider	provider	provider	provider	anbieter
64	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor
65	release	release	release	release	release	release
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	provider	anbieter	provider	anbieter	anbieter
68	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	▁4
71	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
72	release	release	release	release	release	release
73	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
74	platz	raum	platz	raum	platz	platz
75	endbenutzers	endbenutzers	endbenutzers	endbenutzer	endbenutzers	endbenutzer
76	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
77	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
79	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
80	raum	raum	raum	raum	raum	platz
81	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁6
82	provider	provider	provider	provider	provider	anbieter
83	meldung	meldung	meldung	meldung	meldung	meldung
84	betriebswirtschaftlich name	betriebswirtschaftlich name	betriebswirtschaftlich name	betriebswirtschaftlich name	betriebswirtschaftlich name	▁8
85	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz
86	residenzzeien	residenzzeien	residenzzeien	residenzzeien	residenzzeien	residenzzeien
87	trigger	trigger	trigger	trigger	trigger	▁76
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁28
89	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁1
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	startdatum	▔ertrat<sos>	▁68
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	selection	selection	selection	selection	selection	▁15
93	item	item	item	artikel	item	artikel
94	mindest	mindest	mindest	mindest	mindest	mindest
95	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
96	raum|räumen	raum	raum|räumen	raum	raum|räumen	platz
97	space	raum	space	raum	space	platz
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	mindest	mindest	mindest	mindest	mindest	mindest
100	aktion	aktion	aktion	aktion	aktion	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	compliance	compliance	compliance	compliance	compliance	compliance
104	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
105	freigabe	release	freigabe	release	freigabe	release
106	freigabe	erstellen	freigabe	erstellen	freigabe	anlegen
107	privileg	klaustyp	privileg	typ	privileg	art
108	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor	▔ertrat<sos>	konnektor
109	space	raum	space	raum	space	platz
110	zeitplan	zeitplan	zeitplan	terminplan	zeitplan	dokument
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	warengruppe
113	dienst	dienst	dienst	dienst	dienst	dienst
114	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
115	zuwiesen	zuweisen	zuwiesen	zuwiesen	zuwiesen	zuweisen
116	platz	raum	platz	raum	platz	platz
117	analyse	analyse	analyse	analyse	analyse	analyse
118	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
119	space	raum	space	raum	space	platz
120	speicherressourcen	▔ertrat<sos>	speicherressourcen	speicherplatz	speicherressourcen	▁70
121	weitergeben	teilen	weitergeben	teilen	weitergeben	teilen
122	release	release	release	release	release	release
123	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
124	datenbeschränkung	datenbeschränkung	datenbeschränkung	einschränkung	datenbeschränkung	beschränkung
125	datensatz	datensatz	datensatz	datensatz	datensatz	▁65
126	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle
127	nachricht	nachricht	nachricht	nachricht	nachricht	meldung
128	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
129	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
130	referenzdaten	referenzdaten	referenzdaten	referenzdaten	referenzdaten	verweis
131	neuanordnehen	implementierung	neuanordnehen	implementierung	neuanordnehen	implementierung
132	release	release	release	release	release	release
133	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
134	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
135	aktualisierung	aktualisierung	aktualisierung	aktualisierung	aktualisierung	aktualisierung
136	fähigkeit	qualifikation	fähigkeit	fähigkeit	fähigkeit	qualifikation
137	feedback	feedback	feedback	feedback	feedback	feedback
138	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
139	einfugen	einfugen	einfugen	einfugen	einfugen	▁31
140	tabelle	tabelle	tabelle	spalte	tabelle	tabelle
141	einsicht	analyse	einsicht	analyse	einsicht	analyse
142	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
143	raum	raum	raum	raum	raum	platz
144	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	personenbezogen datum	▔ertrat<sos>	personenbezogen datum
145	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz	arbeitsplatz
146	anlegen	erstellen	anlegen	erstellen	anlegen	anlegen
147	release	release	release	release	release	release
148	raum	raum	raum	raum	raum	platz
149	schäftlichen	schäftlichen	schäftlichen	schäftlichen	schäftlichen	▁7
150	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
151	problem	problem	problem	problem	problem	problem
152	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
153	startdatum	startdatum	startdatum	startdatum	startdatum	▁68
154	trigger	trigger	trigger	trigger	trigger	▁40
155	implementierung	implementierung	implementierung	implementierung	implementierung	implementierung
156	job	job	job	job	job	job
