	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	вкладка	панель	▁69
1	контракт	контракт	контракт	контракт	контракт	договор
2	▔	▁5	▔	тип	▔	тип
3	доход	доход	доход	доход	доход	▁95
4	изменение	изменение	изменение	обновить	изменение	обновить
5	период	период	период	период	период	▁82
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	прямой	прямой	прямой	прямой	прямой	▁19
9	тип	▁5	тип	тип	тип	тип
10	входящий	входящий	входящий	входной	входящий	▁55
11	тип	▁5	тип	тип	тип	тип
12	тип	▁5	тип	тип	тип	тип
13	цель	цель	цель	назначение	цель	назначение
14	тип	▁5	тип	тип	тип	тип
15	тип	▁5	тип	тип	тип	тип
16	публичный	публичный	публичный	общественность	публичный	▁80
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входящий	вход	входной	вход	▁55
19	тип	▁5	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁75
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регламент	регламент	регламент	регламент	регламент	▁85
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входящий	вход	входной	вход	▁55
25	дать	дать	дать	выход	дать	▁68
26	учитываться	учитываться	учитываться	billing	учитываться	▁16
27	детонация	детонация	детонация	детонация	детонация	▁45
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	тип	▁5	тип	тип	тип	тип
31	контракт	контракт	контракт	контракт	контракт	договор
32	▔	▁3	▔	область	▔	▁101
33	add-on	add-on	add-on	add-on	add-on	▁5
34	отображение	отображение	отображение	▁2	отображение	▁62
35	свод	свод	свод	обзор	свод	▁113
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁49
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	схема	схема	схема	расписание	схема	запланировать
41	▔	входящий	▔	входной	▔	▁55
42	форма служебный запись	форма служебный запись	форма служебный запись	форма ввод	форма служебный запись	▁104
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	период	период	период	период	период	▁82
46	входной	входящий	входной	входной	входной	▁55
47	тип	▁5	тип	тип	тип	тип
48	расписание	схема	расписание	расписание	расписание	запланировать
49	данные продукт	данные продукт	данные продукт	поставщик данные	данные продукт	▁34
50	периодический пребывание	периодический пребывание	периодический пребывание	период пребывание	периодический пребывание	▁89
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁114
52	▔	▁2	▔	▁3	▔	▁79
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	▔	отображение	▔	▁2	▔	▁62
56	срок сдача	срок сдача	срок сдача	срок сдача	срок сдача	▁41
57	пометить	пометить	пометить	пометить	пометить	▁115
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	вкладка	панель	вкладка	вкладка	вкладка	▁69
62	период пребывание	периодический пребывание	период пребывание	период пребывание	период пребывание	▁89
63	элемент	элемент	элемент	элемент	элемент	▁70
64	▔	период	▔	период	▔	▁82
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁15
67	копировать	копировать	копировать	копия	копировать	скопировать
68	прибытие	прибытие	прибытие	аккумуляция	прибытие	▁3
69	тип	▁5	тип	тип	тип	тип
