	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁138
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	▁14
6	trigger	trigger	trigger	trigger	trigger	▁152
7	connector	connector	connector	▔ertrat<sos>	connector	▁37
8	kunde	kunde	kunde	kunde	kunde	▁41
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁144
10	demenden	demenden	demenden	demenden	demenden	▁44
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁129
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁69
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	intercompansen	intercompansen	intercompansen	intercompanyen	intercompansen	▁73
18	versionsgeschichte	versionsgeschichte	versionsgeschichte	geschichte	versionsgeschichte	▁64
19	versionsgeschichte	versionsgeschichte	versionsgeschichte	veröffentlichung	versionsgeschichte	release
20	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁9
22	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	▁126
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	versionsgeschichte	release	veröffentlichung	release	release
27	zuweisen	zuweisen	zuweisen	bestätigen	zuweisen	zuweisen
28	speicherlimen	speicherressourcen	speicherlimen	speicherressourcen	speicherlimen	▁138
29	bereich	raum	bereich	raum	bereich	space
30	periode	periode	periode	periode	periode	▁98
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenlieferanen	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenlieferanen	provider	datenanbieter
34	raum	raum	raum	raum	raum	space
35	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
36	konsumschemata	konsumschemata	konsumschemata	verbrauchsmodellen	konsumschemata	▁38
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	periode	zeitraum	periode	zeitraum	▁98
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁118
40	typ	typ	typ	typ	typ	typ
41	annahme	annahme	annahme	annahme	annahme	▁8
42	raum	raum	raum	raum	raum	space
43	revisionsversionen	revisionsversionen	revisionsversionen	revisionsnummern	revisionsversionen	▁117
44	datenlieferantum	datenanbieter	datenlieferantum	datenlieferanen	datenlieferantum	datenanbieter
45	startdatum	startdatum	startdatum	beginndatum	startdatum	▁136
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁100
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalierungstyp	typ	skalierungstyp	typ	skalierungstyp	typ
